LI,Class,FY,Metric Source,Metric,Value $M,Source PB
2013,Virginia,2022,P-5c,Technology Insertion,15.398,
2013,Virginia,2022,P-5c,Total Ship Estimate,6915.757,
2013,Virginia,2023,P-40,Procurement Quantity (Units in Each),2.000,PB2025
2013,Virginia,2023,P-40,Gross/Weapon System Cost ($ in Millions),7250.579,PB2025
2013,Virginia,2023,P-40,Gross/Weapon System Unit Cost ($ in Millions),3625.290,PB2025
2013,Virginia,2023,P-40,Less PY Advance Procurement ($ in Millions),1938.306,PB2025
2013,Virginia,2023,P-40,Plus CY Advance Procurement ($ in Millions),2025.651,PB2025
2013,Virginia,2023,P-40,Net Procurement (P-1) ($ in Millions),4534.184,PB2025
2013,Virginia,2023,P-40,Total Obligation Authority ($ in Millions),6864.537,PB2025
2013,Virginia,2023,P-5c,Basic Construction/Conversion,5095.448,
2013,Virginia,2023,P-5c,Plan Costs,192.169,
2013,Virginia,2023,P-5c,Propulsion Equipment,1083.115,
2013,Virginia,2023,P-5c,Electronics,551.346,
2013,Virginia,2023,P-5c,"Hull, Mechanical, and Electrical",141.566,
2013,Virginia,2023,P-5c,Other Cost,69.162,
2013,Virginia,2023,P-5c,Change Orders,102.067,
2013,Virginia,2023,P-5c,Technology Insertion,15.706,
2013,Virginia,2023,P-5c,Total Ship Estimate,7250.579,
2013,Virginia,2024,P-40,Procurement Quantity (Units in Each),2.000,PB2026
2013,Virginia,2024,P-40,Gross/Weapon System Cost ($ in Millions),11377.643,PB2026
2013,Virginia,2024,P-40,Gross/Weapon System Unit Cost ($ in Millions),5688.822,PB2026
2013,Virginia,2024,P-40,Less PY Advance Procurement ($ in Millions),2297.678,PB2026
2013,Virginia,2024,P-40,Plus CY Advance Procurement ($ in Millions),1998.745,PB2026
2013,Virginia,2024,P-40,Net Procurement (P-1) ($ in Millions),7129.965,PB2026
2013,Virginia,2024,P-40,Total Obligation Authority ($ in Millions),10656.927,PB2026
2013,Virginia,2024,P-5c,Basic Construction/Conversion,9070.762,
2013,Virginia,2024,P-5c,Plan Costs,207.166,
2013,Virginia,2024,P-5c,Propulsion Equipment,1121.470,
2013,Virginia,2024,P-5c,Electronics,562.372,
2013,Virginia,2024,P-5c,"Hull, Mechanical, and Electrical",144.189,
2013,Virginia,2024,P-5c,Other Cost,70.546,
2013,Virginia,2024,P-5c,Change Orders,185.118,
2013,Virginia,2024,P-5c,Technology Insertion,16.020,
2013,Virginia,2024,P-5c,Total Ship Estimate,11377.643,
2013,Virginia,2025,P-40,Procurement Quantity (Units in Each),1.000,PB2027
2013,Virginia,2025,P-40,Gross/Weapon System Cost ($ in Millions),9500.534,PB2027
2013,Virginia,2025,P-40,Gross/Weapon System Unit Cost ($ in Millions),9500.534,PB2027
2013,Virginia,2025,P-40,Less PY Advance Procurement ($ in Millions),1871.623,PB2027
2013,Virginia,2025,P-40,Plus CY Advance Procurement ($ in Millions),2421.954,PB2027
2013,Virginia,2025,P-40,Net Procurement (P-1) ($ in Millions),7356.904,PB2027
2013,Virginia,2025,P-40,Total Obligation Authority ($ in Millions),13320.211,PB2027
2013,Virginia,2025,P-5c,Basic Construction/Conversion,5326.544,
2013,Virginia,2025,P-5c,Plan Costs,2595.816,
2013,Virginia,2025,P-5c,Propulsion Equipment,1004.950,
2013,Virginia,2025,P-5c,Electronics,313.264,
2013,Virginia,2025,P-5c,"Hull, Mechanical, and Electrical",98.937,
2013,Virginia,2025,P-5c,Other Cost,35.978,
2013,Virginia,2025,P-5c,Change Orders,108.705,
2013,Virginia,2025,P-5c,Technology Insertion,16.340,
2013,Virginia,2025,P-5c,Total Ship Estimate,9500.534,
2013,Virginia,2026,P-40,Procurement Quantity (Units in Each),1.000,PB2027
2013,Virginia,2026,P-40,Gross/Weapon System Cost ($ in Millions),5389.109,PB2027
2013,Virginia,2026,P-40,Gross/Weapon System Unit Cost ($ in Millions),5389.109,PB2027
2013,Virginia,2026,P-40,Less PY Advance Procurement ($ in Millions),2052.212,PB2027
2013,Virginia,2026,P-40,Plus CY Advance Procurement ($ in Millions),2418.954,PB2027
2013,Virginia,2026,P-40,Net Procurement (P-1) ($ in Millions),2740.305,PB2027
2013,Virginia,2026,P-40,Total Obligation Authority ($ in Millions),6377.536,PB2027
2013,Virginia,2026,P-5c,Basic Construction/Conversion,3136.792,
2013,Virginia,2026,P-5c,Plan Costs,219.603,
2013,Virginia,2026,P-5c,Propulsion Equipment,1035.070,
2013,Virginia,2026,P-5c,Electronics,598.515,
2013,Virginia,2026,P-5c,"Hull, Mechanical, and Electrical",150.015,
2013,Virginia,2026,P-5c,Other Cost,73.395,
2013,Virginia,2026,P-5c,Change Orders,159.052,
2013,Virginia,2026,P-5c,Technology Insertion,16.667,
2013,Virginia,2026,P-5c,Total Ship Estimate,5389.109,
2013,Virginia,2027,P-40,Procurement Quantity (Units in Each),2.000,PB2027
2013,Virginia,2027,P-40,Gross/Weapon System Cost ($ in Millions),11437.036,PB2027
2013,Virginia,2027,P-40,Gross/Weapon System Unit Cost ($ in Millions),5718.518,PB2027
2013,Virginia,2027,P-40,Less PY Advance Procurement ($ in Millions),2202.170,PB2027
2013,Virginia,2027,P-40,Plus CY Advance Procurement ($ in Millions),4143.618,PB2027
2013,Virginia,2027,P-40,Net Procurement (P-1) ($ in Millions),8402.316,PB2027
2013,Virginia,2027,P-40,Total Obligation Authority ($ in Millions),13151.309,PB2027
2013,Virginia,2027,P-5c,Basic Construction/Conversion,8889.310,
2013,Virginia,2027,P-5c,Plan Costs,223.443,
2013,Virginia,2027,P-5c,Propulsion Equipment,1273.090,
2013,Virginia,2027,P-5c,Electronics,624.898,
2013,Virginia,2027,P-5c,"Hull, Mechanical, and Electrical",153.016,
2013,Virginia,2027,P-5c,Other Cost,74.863,
2013,Virginia,2027,P-5c,Change Orders,181.415,
2013,Virginia,2027,P-5c,Technology Insertion,17.001,
2013,Virginia,2027,P-5c,Total Ship Estimate,11437.036,
