Parent UEI or fallback key,Display name,Total $M,Sub action count,% of total
DKNUHVKSM6J3,THE CIANBRO COMPANIES,15.1,91,0.14%
GE4GA2B9JYF9,"MERRILL TECHNOLOGIES GROUP, INC.",14.4,55,0.14%
QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",14.29,42,0.14%
FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.",13.65,53,0.13%
WESDY4U81NP8,"TRIDENT MARITIME SYSTEMS - CAC, LLC",13.6,75,0.13%
NGTNPRCG6BE1,GENERAL ATOMICS,13.54,1,0.13%
CDVZLNCU7Z44,LEHIGH HEAVY FORGE CORP,13.51,15,0.13%
LL4CVJVLBGN1,"FOSTER-MILLER, INC.",13.44,21,0.13%
WLEATDDTMCT3,"GRAYCLIFF PARTNERS, LP",13.36,75,0.13%
DXM3GSLGH2Z5,"FAIRLEAD INTEGRATED, LLC",13.09,22,0.12%
ZFQBUPK552C3,"H. R. HILLERY COMPANY, THE",12.47,76,0.12%
V1MQFNQB56Z5,RIX INDUSTRIES,12.43,17,0.12%
SHDVJS6DKEX1,LAG INTERNATIONAL S.A.,11.92,1,0.11%
F1UZPBD1VBH9,"LYME COMPUTER SYSTEMS, INC.",11.65,66,0.11%
W3KUJLTCRLV1,AMMCON CORP.,11.51,182,0.11%
JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",11.45,44,0.11%
MKDGDE6K34N5,"D. W. CLARK, INC.",11.41,55,0.11%
GCWKULHML2S3,"DEFENSE MARITIME SOLUTIONS, INC.",11.37,16,0.11%
MENSE2ENG8J6,ARCLINE INVESTMENT MANAGEMENT LP,10.96,58,0.10%
R769GJRQF618,"KOIKE ARONSON, INC.",10.57,10,0.10%
KDNEW5AC1X41,AGI UK ACQUISITION LIMITED,10.49,6,0.10%
KAG7VEFLUZQ4,"SARGENT AEROSPACE & DEFENSE, LLC",10.16,25,0.10%
GL8XT6HAWLK1,BHI ENERGY I POWER SERVICES LLC,10.13,8,0.10%
HC6YKKPYB658,"AGGREKO, LLC",10.06,47,0.10%
WXRTZLL25AE5,"SEEMANN COMPOSITES, LLC",10.0,23,0.10%
FWF8QBPCGLG3,GENERAL TOOL COMPANY,9.74,45,0.09%
