Subawardee UEI,Program,Subawardee Vendor Name,Primary NAICS-6,NAICS-6 Description
Z85NS892LYA8,Virginia,CHROMALOX INC,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
W9MTG3DEVQN5,Virginia,VULCAN ELECTRIC COMPANY,,"n/a (long-tail, not researched)"
KEKTUBQDCZM7,Virginia,A & A SHEET METAL PRODUCTS INC,,"n/a (long-tail, not researched)"
EJ8LYVPT4KR9,Virginia,"WHITMOR COMPANY, INC., THE",335931,Current-Carrying Wiring Device Manufacturing
GK3DKPJRSUR3,Virginia,"HALE TRAILER BRAKE & WHEEL, INC.",,"n/a (long-tail, not researched)"
H5MUP1BXBAB1,Virginia,"Metro Business Systems, Inc.",,"n/a (long-tail, not researched)"
RQQYADH1UBU8,Virginia,AIR TOOL SALES & SERVICE CO INC,,"n/a (long-tail, not researched)"
Z6HMQ992QKJ7,Virginia,"SOUTHERN FASTENERS & SUPPLY, INC.",,"n/a (long-tail, not researched)"
LGL1LNBH8KM5,Virginia,"GRISWOLD INDUSTRIES, CO.",332911,Industrial Valve Manufacturing
Y4ESA8L3JAD9,Virginia,"GRAYBAR ELECTRIC COMPANY, INC",,"n/a (long-tail, not researched)"
NTP7NWDS9Y49,Virginia,"MSC INDUSTRIAL DIRECT CO., INC.",,"n/a (long-tail, not researched)"
HNAKLNNSE339,Virginia,"HOWELL LABORATORIES, INC.",332710,Machine Shops
C11GZDT8UL88,Virginia,"SILKTOWN ROOFING, INCORPORATED",,"n/a (long-tail, not researched)"
YS2TNLEU8EK3,Virginia,"LOCKHEED MARTIN SIPPICAN, INC.",,"n/a (long-tail, not researched)"
GNH1FJWKY3G3,Virginia,"WEST PHILA. BRONZE CO., INC",331529,Other Nonferrous Metal Foundries (except Die-Casting)
TF2HVUYPRMV1,Virginia,"CHASE SUPPLY, INC.",,"n/a (long-tail, not researched)"
XW6ZAJKNHM65,Virginia,VERSAMIL INC,,"n/a (long-tail, not researched)"
XJJ6S8U3NAR9,Virginia,Jules Borel & Co.,,"n/a (long-tail, not researched)"
QLNRJJK28MJ7,Virginia,"SYSTEMS ENGINEERING AND ANALYTICS, INC.",,"n/a (long-tail, not researched)"
SLTUM1DV4433,Virginia,"PARASENSE, INC",334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"
