supplier,n_blocks_served,blocks_served,reported_$m,n_subawards,top_swbs_system
"ASCO POWER TECHNOLOGIES, L.P.",2,FY13-17 MYP; FY18-22 MYP,6.8,14,(unmapped)
"IMECO, INC.",2,FY13-17 MYP; FY18-22 MYP,6.8,13,(unmapped)
BOGUE SYSTEMS INC,2,FY18-22 MYP; FY23-27 MYP,6.6,25,(unmapped)
HOWDEN NORTH AMERICA INC.,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,6.1,18,(unmapped)
"SOUTHCOAST WELDING & MANUFACTURING, LLC",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,6.0,34,(unmapped)
"LISTER CHAIN AND FORGE, INC.",2,FY13-17 MYP; FY18-22 MYP,5.9,13,(unmapped)
"WARTSILA DEFENSE, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,5.9,38,(unmapped)
AMERICAN METAL BEARING CO,2,FY18-22 MYP; FY23-27 MYP,5.7,8,(unmapped)
INDUSTRIAL CORROSION CONTROL INC,2,FY13-17 MYP; FY18-22 MYP,5.6,18,(unmapped)
"AQUA-CHEM, INC.",3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,5.5,13,(unmapped)
"DOVER PUMPS & PROCESS SOLUTIONS SEGMENT, INC.",2,FY13-17 MYP; FY18-22 MYP,5.5,16,(unmapped)
"MARK C. POPE ASSOCIATES, INC.",2,FY13-17 MYP; FY18-22 MYP,5.3,12,(unmapped)
"DOVER ENERGY, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,5.3,26,(unmapped)
"B.N.L. INDUSTRIES, INC.",2,FY13-17 MYP; FY18-22 MYP,5.3,46,(unmapped)
"CORNELL-CARR CO., INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,5.3,32,(unmapped)
GEMS SENSORS INC.,3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,5.3,26,(unmapped)
W.R. DAVIS ENGINEERING LIMITED,2,FY13-17 MYP; FY18-22 MYP,5.2,12,(unmapped)
"INDUSTRIAL CORROSION CONTROL, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,5.2,23,(unmapped)
WHITING DOOR MANUFACTURING CORP.,4,FY11 single-ship; FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,4.8,26,(unmapped)
CURTISS-WRIGHT FLOW CONTROL CORPORATION,2,FY18-22 MYP; FY23-27 MYP,4.5,9,(unmapped)
DANTE VALVE COMPANY,3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,4.5,34,(unmapped)
JA MOODY LLC,2,FY18-22 MYP; FY23-27 MYP,4.1,19,(unmapped)
"WILLIAM E WILLIAMS, VALVE CORP",2,FY13-17 MYP; FY18-22 MYP,3.9,28,(unmapped)
"NAG, LLC",2,FY13-17 MYP; FY18-22 MYP,3.8,13,(unmapped)
LEXAIR INC,2,FY18-22 MYP; FY23-27 MYP,3.8,2,(unmapped)
"MEGGITT DEFENSE SYSTEMS, INC.",2,FY13-17 MYP; FY18-22 MYP,3.5,14,(unmapped)
PIVOTAL POWER INC,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,3.4,57,(unmapped)
"ELLWOOD GROUP, INC.",2,FY13-17 MYP; FY18-22 MYP,3.4,10,(unmapped)
MIDE TECHNOLOGY CORPORATION,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,3.3,27,(unmapped)
