supplier,mock_pop_n_report_ids,date_span_months,first_subaward,last_subaward,reported_$m,n_blocks
HUNTINGTON INGALLS INCORPORATED,9,50,2013-06-21,2017-08-08,5.58,1
"AQUA-CHEM, INC.",13,129,2013-07-15,2024-04-30,5.51,3
"DOVER PUMPS & PROCESS SOLUTIONS SEGMENT, INC.",16,26,2021-07-20,2023-09-06,5.48,2
"MARK C. POPE ASSOCIATES, INC.",12,71,2020-01-10,2025-12-19,5.35,2
"DOVER ENERGY, INC.",26,81,2013-07-24,2020-04-14,5.34,3
"B.N.L. INDUSTRIES, INC.",46,107,2014-01-22,2022-12-12,5.34,2
"CORNELL-CARR CO., INC.",32,151,2013-04-18,2025-11-26,5.33,3
GEMS SENSORS INC.,26,126,2014-01-08,2024-07-09,5.28,3
South Florida Van Lines Inc,9,12,2013-06-26,2014-06-05,5.23,1
W.R. DAVIS ENGINEERING LIMITED,12,89,2013-07-24,2020-12-14,5.21,2
"INDUSTRIAL CORROSION CONTROL, INC.",23,83,2015-08-24,2022-07-22,5.19,3
GOODWIN STEEL CASTINGS LIMITED,2,1,2024-12-20,2025-01-30,5.07,1
"METALS USA PLATES AND SHAPES, INC.",1,0,2021-11-01,2021-11-01,4.92,1
WHITING DOOR MANUFACTURING CORP.,26,114,2016-06-13,2025-12-11,4.85,4
OLDENBURG GROUP INCORPORATED,23,47,2013-07-08,2017-06-09,4.76,1
CURTISS-WRIGHT FLOW CONTROL SERVICE CORPORATION,5,33,2013-07-31,2016-04-08,4.59,1
CURTISS-WRIGHT FLOW CONTROL CORPORATION,9,48,2021-05-27,2025-05-28,4.54,2
DANTE VALVE COMPANY,34,37,2022-08-03,2025-09-24,4.46,3
JA MOODY LLC,19,12,2024-11-05,2025-11-21,4.06,2
"WILLIAM E WILLIAMS, VALVE CORP",28,110,2014-05-16,2023-07-03,3.9,2
"NAG, LLC",13,106,2014-10-17,2023-08-08,3.85,2
LEXAIR INC,2,20,2023-09-15,2025-05-15,3.84,2
"BIRD-JOHNSON PROPELLER COMPANY, LLC",1,0,2001-10-22,2001-10-22,3.7,1
ESI ACQUISITION CORP,21,26,2022-08-16,2024-10-18,3.66,1
JUNIPER ELBOW CO INC,12,8,2023-03-29,2023-11-27,3.61,1
"MEGGITT DEFENSE SYSTEMS, INC.",14,74,2018-12-21,2025-02-19,3.53,2
"MARTIN ENERGY SERVICES, LLC",5,17,2024-08-01,2026-01-15,3.43,1
PIVOTAL POWER INC,57,147,2013-07-23,2025-10-28,3.42,3
"ELLWOOD GROUP, INC.",10,65,2013-07-29,2018-12-19,3.37,2
PRECISION PRODUCTS INC,26,40,2022-05-25,2025-09-30,3.3,1
MIDE TECHNOLOGY CORPORATION,27,116,2013-07-23,2023-03-16,3.29,3
"PRECISION PRODUCTS, INC.",26,52,2013-06-26,2017-10-24,3.28,2
PEERLESS MFG. CO.,5,40,2013-07-03,2016-11-30,3.28,1
"ACCU-FAB AND CONSTRUCTION, INC.",8,38,2021-01-08,2024-03-25,3.27,1
VELAN VALVE CORP.,23,44,2022-07-14,2026-03-02,3.23,2
"WESTLAND TECHNOLOGIES, INC.",26,148,2013-05-09,2025-09-30,3.11,3
Portland Valve LLC,5,5,2025-05-30,2025-10-16,3.09,2
"MMC METROLOGY LAB, INC",27,110,2013-05-14,2022-07-14,3.02,3
PACIFIC MARINE SYSTEMS CORP,21,58,2013-04-18,2018-02-08,3.0,2
HII FLEET SUPPORT GROUP LLC,5,15,2024-05-27,2025-08-15,2.98,1
"PACIFIC SHIPYARDS INTERNATIONAL, LLC",1,0,2024-12-20,2024-12-20,2.86,1
WARREN PUMPS LLC,5,20,2013-07-26,2015-03-31,2.85,1
"GLOBAL, INCORPORATED",25,93,2013-07-17,2021-04-13,2.83,2
"JGILS, LLC",33,61,2015-12-14,2021-01-14,2.83,2
"FCX SYSTEMS, INC.",2,13,2021-02-15,2022-03-11,2.75,1
CRANE PUMPS & SYSTEMS PFT CORP,13,22,2023-02-27,2024-12-20,2.74,2
M. T. DAVIDSON COMPANY,20,114,2013-06-25,2022-12-19,2.72,2
"COMSACO, INC.",11,74,2015-11-03,2022-01-14,2.71,2
"MILWAUKEE VALVE CO, INC",17,4,2025-03-25,2025-07-25,2.61,2
GREAT LAKES SOUND & VIBRATION INC,3,0,2024-07-24,2024-07-25,2.55,2
XCHANGER MANUFACTURING CORPORATION,11,131,2013-07-31,2024-06-20,2.55,3
RFD BEAUFORT INC.,10,139,2014-01-24,2025-08-20,2.53,3
DANTE VALVE COMPANY INC,37,91,2013-07-26,2021-02-11,2.53,2
"CAROLINA POWER SYSTEMS OF SUMTER, INC.",16,101,2013-07-15,2021-12-06,2.53,2
"ELECTRIC HEATER COMPANY, THE",14,112,2013-07-22,2022-11-22,2.5,2
"Setra Systems, Inc.",8,7,2025-03-14,2025-10-09,2.46,2
B N L INDUSTRIES INC,24,29,2023-02-15,2025-07-31,2.43,2
"Southcoast Welding & Manufacturing, LLC.",6,10,2025-03-18,2026-01-21,2.4,2
"GULF FASTENER, INC.",6,33,2021-01-08,2023-10-19,2.37,2
"U.S. PIONEER, L.L.C.",31,138,2013-08-16,2025-02-06,2.33,3
"MMC METROLOGY LAB, INC.",13,23,2023-08-25,2025-07-11,2.33,1
"M.S.M. INDUSTRIES, INC.",17,122,2013-09-18,2023-11-27,2.21,3
ENGINEERED COIL CO,5,4,2023-02-01,2023-06-08,2.19,1
MILWAUKEE VALVE CO INC,17,14,2023-08-29,2024-10-30,2.18,1
EVAC NORTH AMERICA INC,2,0,2024-04-09,2024-04-09,2.12,1
"CHAND, L.L.C.",28,123,2015-12-14,2026-03-06,2.09,3
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,13,13,2018-01-16,2019-02-18,1.99,1
"QUALITY PERFORMANCE, INC.",25,96,2013-08-07,2021-08-10,1.97,3
CUNICO CORPORATION,16,145,2013-08-20,2025-09-17,1.92,4
Mar-Vac Products Inc,25,90,2014-06-06,2021-12-07,1.85,2
"PHOENIX GROUP OF VIRGINIA, INC.",9,64,2017-03-29,2022-07-20,1.82,2
"MEGGITT (NORTH HOLLYWOOD), INC.",6,40,2013-07-31,2016-11-07,1.77,2
NAVAL ENGINEERING SUPPORT INC.,4,3,2023-08-15,2023-11-20,1.75,1
BLACK & DECKER (U.S.) INC.,8,145,2013-09-17,2025-10-01,1.74,3
"DEFENSE MARITIME SOLUTIONS, INC.",11,18,2024-08-28,2026-02-02,1.67,2
EVOQUA WATER TECHNOLOGIES LLC,13,76,2014-06-19,2020-10-01,1.66,3
"CHROMALOX, INC.",14,110,2013-04-15,2022-06-30,1.63,3
