program,vendor_uei,vendor_name,work_type,cut_profile,first_award,last_award,n_records,le_fy12,fy2013,fy2014,fy2015,fy2016,fy2017,fy2018,fy2019,fy2020,fy2021,fy2022,fy2023,fy2024,fy2025,fy2026,total
virginia,WA6MBG28BUQ5,"PPG INDUSTRIES, INC.",unbucketed,both,2016-02-22,2025-01-17,40,0.0,0.0,0.0,0.0,0.216,0.142,1.459,0.351,0.221,0.0,0.32,0.522,0.436,0.231,0.0,3.898
virginia,HPDLRXR4FYX5,BAE SYSTEMS PLC,structural,both,2024-09-10,2024-09-27,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.857,0.0,0.0,3.857
virginia,D1L2HV3GLLY3,TIOGA PIPE INC,piping,both,2024-06-04,2025-05-30,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,3.806,0.0,3.856
virginia,X6N2CNV552X7,"OCEANEERING INTERNATIONAL, INC.",structural,both,2021-11-24,2021-12-23,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.807,0.0,0.0,0.0,0.0,3.807
virginia,WJ1XMJMTSYL9,"PAROSCIENTIFIC, INC.",unbucketed,both,2016-09-22,2024-08-16,22,0.0,0.0,0.0,0.0,0.074,0.288,0.663,0.0,0.093,0.012,0.255,2.166,0.094,0.0,0.0,3.644
virginia,LC7UN8MJYCJ7,RBC BEARINGS INCORPORATED,unbucketed,both,2016-02-10,2022-02-03,19,0.0,0.0,0.0,0.0,0.581,0.288,1.741,0.09,0.0,0.834,0.087,0.0,0.0,0.0,0.0,3.621
virginia,E3YNKWRANZ18,"AQUA-CHEM, INC.",structural,both,2017-08-16,2024-11-22,6,0.0,0.0,0.0,0.0,0.0,0.105,0.314,0.256,0.0,0.305,0.0,0.0,0.0,2.63,0.0,3.609
virginia,LPY6KXBKHMK8,"RHOADS INDUSTRIES, INC.",structural,both,2021-05-05,2022-01-18,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623,2.967,0.0,0.0,0.0,0.0,3.59
virginia,MKXMUFJJYLY5,WARD LEONARD CT LLC,electrical,both,2021-02-18,2024-06-24,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202,0.227,1.662,1.428,0.0,0.0,3.52
virginia,CDP4EDVLFNX9,NORTECH SYSTEMS INC,electrical,Virginia-only,2022-06-22,2022-11-18,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.071,1.439,0.0,0.0,0.0,3.51
virginia,CVVANE9FWYN6,WARBURG PINCUS LLC,unbucketed,both,2018-06-05,2018-06-05,1,0.0,0.0,0.0,0.0,0.0,0.0,3.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.462
virginia,YVBHN7GKLQ44,"GLENAIR, INC.",unbucketed,both,2016-12-02,2025-08-11,32,0.0,0.0,0.0,0.0,0.0,0.241,1.826,1.214,0.021,0.0,0.059,0.045,0.0,0.034,0.0,3.44
virginia,ETWEE7EYY9G5,COGITIC CORPORATION,machining,both,2016-10-25,2020-05-04,14,0.0,0.0,0.0,0.0,0.0,0.085,0.028,1.329,1.836,0.0,0.0,0.0,0.0,0.0,0.0,3.277
virginia,CN4DJZSKM3Y3,"PENNSYLVANIA MACHINE WORKS, INC.",piping,both,2016-02-04,2022-03-21,101,0.0,0.0,0.0,0.0,0.081,0.0,0.112,1.96,0.426,0.24,0.453,0.0,0.0,0.0,0.0,3.272
virginia,JCXDK86FK3L5,FEDERAL METAL CO,unbucketed,Virginia-only,2025-04-16,2025-04-25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.236,0.0,3.236
virginia,GFCUEMH2CGN1,RIVERHEAD BUILDING SUPPLY CORP.,unbucketed,Virginia-only,2021-04-29,2024-10-18,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233,0.589,1.954,0.898,-0.448,0.0,3.227
virginia,N5KEKMFCWUR1,AMETEK INC.,unbucketed,both,2017-02-22,2023-07-28,18,0.0,0.0,0.0,0.0,0.0,0.302,0.284,1.048,0.0,0.412,0.192,0.926,0.0,0.0,0.0,3.164
virginia,HT2SC8NC87E1,ANIXTER INTERNATIONAL INC.,unbucketed,both,2016-02-26,2020-02-13,6,0.0,0.0,0.0,0.0,0.528,1.56,0.0,0.0,1.034,0.0,0.0,0.0,0.0,0.0,0.0,3.122
virginia,QT9LCNSYE637,MATERION CORPORATION,unbucketed,both,2018-04-03,2025-07-29,24,0.0,0.0,0.0,0.0,0.0,0.0,0.331,0.402,0.0,0.26,0.549,0.0,0.102,1.452,0.0,3.097
virginia,U5DDDFM4LJS3,"PRIME TECHNOLOGY, LLC",unbucketed,Virginia-only,2016-07-26,2025-08-15,16,0.0,0.0,0.0,0.0,0.193,0.48,1.879,0.198,0.071,0.0,0.0,0.133,0.0,0.122,0.0,3.078
virginia,TM8BK53JMDF4,LANXESS AG,unbucketed,Virginia-only,2017-01-20,2017-01-20,6,0.0,0.0,0.0,0.0,0.0,2.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.998
virginia,G319AMB56SW5,901 D LLC,piping,both,2021-10-05,2023-06-30,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.932,0.95,0.0,0.0,0.0,2.882
