piid,in_scope_17,records,total_dollars,eb_dollars,eb_pct,hii_dollars,hii_pct,other_us_dollars,other_us_pct,foreign_dollars,foreign_pct,unknown_dollars,unknown_pct,top_pop_state,top_pop_state_pct,top_pop_city,top_pop_city_pct
N6449822C4005,no,2,4330000.0,0,0.0,0,0.0,4330000.0,100.0,0,0.0,0,0.0,IL,100.0,"SPRING GROVE, IL",100.0
N0016424FJ119,no,2,4274933.88,0,0.0,0,0.0,4274933.88,100.0,0,0.0,0,0.0,OH,100.0,"FAIRBORN, OH",100.0
N4033918CF011,no,16,4265951.0,0,0.0,0,0.0,0,0.0,4265951.0,100.0,0,0.0,,0.0,,0.0
N0010418CFA58,no,7,4246460.0,0,0.0,0,0.0,4246460.0,100.0,0,0.0,0,0.0,PA,100.0,"ERIE, PA",100.0
N0002424F5330,no,2,4235950.43,0,0.0,0,0.0,4235950.43,100.0,0,0.0,0,0.0,KY,100.0,"LOUISVILLE, KY",100.0
N0002421C2212,no,6,4207437.0,0,0.0,0,0.0,4207437.0,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N0010422FU100,no,5,4194280.0,0,0.0,0,0.0,4194280.0,100.0,0,0.0,0,0.0,PA,100.0,"ERIE, PA",100.0
M6785422F0063,no,4,4188919.72,0,0.0,0,0.0,4188919.72,100.0,0,0.0,0,0.0,VA,100.0,"STAFFORD, VA",100.0
N0001922F2229,no,7,4029589.53,0,0.0,0,0.0,0,0.0,4029589.53,100.0,0,0.0,,0.0,,0.0
N6600118P7422,no,4,3984776.17,0,0.0,0,0.0,3984776.17,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
M6785421F0025,no,1,3979698.12,0,0.0,0,0.0,3979698.12,100.0,0,0.0,0,0.0,VA,100.0,"STAFFORD, VA",100.0
M6785422F0031,no,3,3979698.12,0,0.0,0,0.0,3979698.12,100.0,0,0.0,0,0.0,VA,100.0,"STAFFORD, VA",100.0
M6785423F0038,no,3,3979698.12,0,0.0,0,0.0,3979698.12,100.0,0,0.0,0,0.0,VA,100.0,"STAFFORD, VA",100.0
M6785424F0041,no,3,3979698.12,0,0.0,0,0.0,3979698.12,100.0,0,0.0,0,0.0,VA,100.0,"STAFFORD, VA",100.0
M6785425F0074,no,3,3979698.12,0,0.0,0,0.0,3979698.12,100.0,0,0.0,0,0.0,VA,100.0,"STAFFORD, VA",100.0
M6890925P7602,no,5,3975458.0,0,0.0,0,0.0,3975458.0,100.0,0,0.0,0,0.0,CA,100.0,"CAMP PENDLETON, CA",100.0
N0038323FZ50J,no,1,3967335.0,0,0.0,0,0.0,3967335.0,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
M6785421F0067,no,3,3930933.99,0,0.0,0,0.0,3930933.99,100.0,0,0.0,0,0.0,VA,100.0,"STAFFORD, VA",100.0
M6785417F7850,no,7,3923965.12,0,0.0,0,0.0,3923965.12,100.0,0,0.0,0,0.0,NC,100.0,"CAMP LEJEUNE, NC",100.0
N0002424F8306,no,3,3911960.0,0,0.0,0,0.0,3911960.0,100.0,0,0.0,0,0.0,PA,100.0,"UNIVERSITY PARK, PA",100.0
0023,no,20,3893804.59,0,0.0,0,0.0,3893804.59,100.0,0,0.0,0,0.0,KY,99.03,"LOUISVILLE, KY",99.03
N0038323FZ500,no,4,3846926.0,0,0.0,0,0.0,3846926.0,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0002419F5304,no,7,3833728.59,0,0.0,0,0.0,3833728.59,100.0,0,0.0,0,0.0,MN,105.26,"MINNEAPOLIS, MN",105.26
N0010424PJA32,no,4,3815474.58,0,0.0,0,0.0,3815474.58,100.0,0,0.0,0,0.0,VA,100.0,"CHESAPEAKE, VA",100.0
N0010419CFA27,no,3,3796863.8,0,0.0,0,0.0,3796863.8,100.0,0,0.0,0,0.0,PA,100.0,"ERIE, PA",100.0
N0010418CFA37,no,25,3790000.0,0,0.0,0,0.0,3790000.0,100.0,0,0.0,0,0.0,PA,100.0,"BETHLEHEM, PA",100.0
N0010425PJD21,no,1,3779762.2,0,0.0,0,0.0,3779762.2,100.0,0,0.0,0,0.0,CA,100.0,"CHULA VISTA, CA",100.0
N0017819FG301,no,3,3773930.0,0,0.0,0,0.0,3773930.0,100.0,0,0.0,0,0.0,MN,100.0,"MINNEAPOLIS, MN",100.0
M6785413F7500,no,5,3762428.73,0,0.0,0,0.0,3762428.73,100.0,0,0.0,0,0.0,GA,100.0,"ALBANY, GA",100.0
N0016424F0178,no,4,3759473.3,0,0.0,0,0.0,3759473.3,100.0,0,0.0,0,0.0,CA,100.0,"VALENCIA, CA",100.0
N0010421CFA17,no,5,3756436.0,0,0.0,0,0.0,3756436.0,100.0,0,0.0,0,0.0,PA,100.0,"CHESWICK, PA",100.0
N0001924F0067,no,3,3731536.79,0,0.0,0,0.0,3731536.79,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0038324FZ509,no,2,3727565.5,0,0.0,0,0.0,3727565.5,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
M6785411F4683,no,4,3718494.75,0,0.0,0,0.0,3718494.75,100.0,0,0.0,0,0.0,GA,100.0,"ALBANY, GA",100.0
7N10,no,2,3706014.12,0,0.0,0,0.0,3706014.12,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
M0026419P0011,no,8,3703025.09,0,0.0,0,0.0,3703025.09,100.0,0,0.0,0,0.0,VA,100.0,"QUANTICO, VA",100.0
N0010422FAS08,no,4,3682053.0,0,0.0,0,0.0,3682053.0,100.0,0,0.0,0,0.0,PA,100.0,"BETHLEHEM, PA",100.0
N6449819C5001,no,2,3661891.0,0,0.0,0,0.0,3661891.0,100.0,0,0.0,0,0.0,IL,100.0,"SPRING GROVE, IL",100.0
N0017422F0054,no,7,3616231.05,0,0.0,0,0.0,3616231.05,100.0,0,0.0,0,0.0,KY,100.0,"LOUISVILLE, KY",100.0
N0038324FZ514,no,3,3585359.0,0,0.0,0,0.0,3585359.0,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0016422FJ043,no,1,3574676.19,0,0.0,0,0.0,3574676.19,100.0,0,0.0,0,0.0,AR,100.0,"FORT SMITH, AR",100.0
N0017418F0578,no,6,3550319.19,0,0.0,0,0.0,3550319.19,100.0,0,0.0,0,0.0,KY,100.0,"LOUISVILLE, KY",100.0
N6449825F0028,no,1,3550177.0,0,0.0,0,0.0,3550177.0,100.0,0,0.0,0,0.0,IL,100.0,"SPRING GROVE, IL",100.0
N4425524F4187,no,3,3539481.01,0,0.0,0,0.0,3539481.01,100.0,0,0.0,0,0.0,WA,100.0,"BREMERTON, WA",100.0
N6945018F1394,no,5,3516063.0,0,0.0,0,0.0,3516063.0,100.0,0,0.0,0,0.0,FL,100.0,"JACKSONVILLE, FL",100.0
N0001920F0515,no,4,3500565.36,0,0.0,0,0.0,0,0.0,3500565.36,100.0,0,0.0,,0.0,,0.0
N0002407C2102,no,2,3500000.0,0,0.0,0,0.0,3500000.0,100.0,0,0.0,0,0.0,PA,100.0,"PITTSBURGH, PA",100.0
N0010421FAS0D,no,6,3496620.0,0,0.0,0,0.0,3496620.0,100.0,0,0.0,0,0.0,PA,100.0,"BETHLEHEM, PA",100.0
N0016722F0222,no,7,3489862.76,0,0.0,0,0.0,3489862.76,100.0,0,0.0,0,0.0,MA,100.0,"WALPOLE, MA",100.0
N0038323FZ51Z,no,2,3476299.7,0,0.0,0,0.0,3476299.7,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0017424F0188,no,8,3475621.35,0,0.0,0,0.0,3475621.35,100.0,0,0.0,0,0.0,KY,100.0,"LOUISVILLE, KY",100.0
