program,work_type,vendor_uei,vendor_name,basis,n_awards_fy22_25,dollars_fy22_25_$M,n_awards_all,dollars_all_$M,first_award_date,first_award_fy,last_award_date,is_new_entrant_fy22_25,also_active_other_program,median_interaward_days,max_gap_days,exited_flag,n_piids,piids
submarines,unbucketed,ERZRH1FL8R66,"PLAINVILLE PLATING COMPANY, INC.",residual,0,0.0,6,0.008,2017-10-11,2018,2017-10-11,False,False,,,False,1,N0002412C2115
submarines,unbucketed,DMTPEM6MJPB8,PEARSE-BERTRAM LLC,residual,0,0.0,1,0.033,2016-09-12,2016,2016-09-12,False,False,,,False,1,N0002412C2115
submarines,unbucketed,S3NBXGNJ5433,"CORSERVA, INC.",residual,0,0.0,14,0.958,2016-02-10,2016,2018-09-19,False,False,59.5,245,False,4,N0002412C2115;N0002413C2128;N0002416C2111;N0002417C2117
submarines,unbucketed,S987C2WHMF29,PNC EQUITY PARTNERS LP,residual,0,0.0,1,0.094,2017-10-30,2018,2017-10-30,False,True,,,False,1,N0002412C2115
submarines,unbucketed,C1VMWS2KV645,"OMNI SERVICES, INC.",residual,0,0.0,5,0.209,2017-08-14,2017,2020-04-16,False,False,488.0,744,False,2,N0002412C2115;N0002417C2100
submarines,unbucketed,K3K9GLKWAWQ1,"OHIO SEMITRONICS, INC",residual,0,0.0,1,0.038,2017-06-12,2017,2017-06-12,False,False,,,False,1,N0002412C2115
submarines,unbucketed,D6BPMCKP2FE4,"O.C. LUGO CO., INC., THE",residual,0,0.0,2,0.302,2018-08-29,2018,2018-08-29,False,False,,,False,2,N0002412C2115;N0002417C2100
submarines,unbucketed,R9EYKGK8NKA5,"NUFLO, INC.",residual,0,0.0,15,11.952,2016-05-27,2016,2017-03-20,False,False,18,94,False,3,N0002412C2115;N0002413C2128;N0002417C2100
submarines,unbucketed,NSEVFLRKSUV1,"NORTHLAND INDUSTRIAL TRUCK CO., INC.",residual,0,0.0,2,0.057,2018-01-11,2018,2018-01-11,False,False,,,False,1,N0002412C2115
submarines,unbucketed,YSLPMSZFE3M5,"INSCO INTERMEDIATE HOLDINGS, INC",residual,0,0.0,5,0.232,2017-08-01,2017,2018-11-02,False,False,229.0,412,False,3,N0002412C2115;N0002417C2100;N0002417C2117
submarines,unbucketed,KK4TAQ8YKEY6,WINWHOLESALE INC.,residual,0,0.0,2,0.133,2017-09-08,2017,2018-07-26,False,False,321,321,False,1,N0002412C2115
submarines,unbucketed,ZKYHLH1VELN7,MUNTERS GROUP AB,residual,0,0.0,1,0.072,2018-03-06,2018,2018-03-06,False,False,,,False,1,N0002412C2115
submarines,unbucketed,NTP7NWDS9Y49,"MSC INDUSTRIAL DIRECT CO., INC.",residual,0,0.0,4,0.1,2016-11-02,2017,2018-08-08,False,False,252,331,False,1,N0002412C2115
submarines,unbucketed,HJG5ZSLCMTJ9,MSA SAFETY INCORPORATED,residual,0,0.0,13,2.512,2016-02-18,2016,2021-07-27,False,True,59,613,False,4,N0002412C2115;N0002413C2128;N0002417C2100;N0002417C2117
submarines,unbucketed,WMCUE58SZBD3,MILLER ELECTRIC MFG. CO.,residual,0,0.0,1,0.303,2018-08-14,2018,2018-08-14,False,False,,,False,1,N0002412C2115
submarines,unbucketed,PCELDZMEAL25,"MICROPORE, INC.",residual,0,0.0,2,0.274,2016-04-25,2016,2016-10-11,False,False,169,169,False,1,N0002412C2115
submarines,unbucketed,H5MUP1BXBAB1,"METRO BUSINESS SYSTEMS, INC.",residual,0,0.0,1,0.109,2016-04-25,2016,2016-04-25,False,False,,,False,1,N0002412C2115
submarines,unbucketed,XH9ADBLZRMF1,MELLINGER ENGINEERING GROUP LLC,residual,0,0.0,19,5.231,2018-06-01,2018,2019-12-13,False,False,26,134,False,3,N0002412C2115;N0002417C2100;N0002417C2117
submarines,unbucketed,X62UR1BYLVG1,E. I. DU PONT DE NEMOURS AND COMPANY,residual,0,0.0,2,0.107,2016-04-04,2016,2017-12-01,False,False,606,606,False,1,N0002412C2115
submarines,unbucketed,JALPQSJHLBV5,DOWDUPONT INC.,residual,0,0.0,1,0.068,2018-05-09,2018,2018-05-09,False,False,,,False,1,N0002412C2115
submarines,unbucketed,UZMKDFWHKTC9,"MARO DISPLAY, INC.",residual,0,0.0,11,1.453,2016-05-19,2016,2018-02-05,False,False,200,315,False,1,N0002412C2115
submarines,unbucketed,C1CCV2BRQJ26,MARINE EQUIPMENT AND ENGINEERING SOLUTIONS LLC,residual,0,0.0,8,1.466,2017-06-23,2017,2019-04-02,False,False,57.5,298,False,2,N0002412C2115;N0002417C2100
submarines,unbucketed,D3NDZT2XLW83,"MARINE AIR SUPPLY CO., INC.",residual,0,0.0,8,0.18,2017-06-29,2017,2020-03-03,False,False,258.0,295,False,2,N0002412C2115;N0002417C2100
submarines,unbucketed,GYDNLMKBK274,"MARCO GROUP INTERNATIONAL, INC.",residual,0,0.0,5,0.209,2017-02-23,2017,2018-05-16,False,False,223.5,224,False,1,N0002412C2115
submarines,unbucketed,SJHFCDGKJJC5,LUNA INNOVATIONS INCORPORATED,residual,0,0.0,2,0.179,2017-11-17,2018,2021-06-22,False,False,1313,1313,False,2,N0002412C2115;N0002417C2117
submarines,unbucketed,D3QEMKB2X4N5,"LEXAIR, INC.",residual,0,0.0,2,0.075,2018-04-24,2018,2018-08-02,False,True,100,100,False,1,N0002412C2115
submarines,unbucketed,LK9BTBWNLY96,"BEK, INC.",residual,0,0.0,4,0.249,2018-01-24,2018,2019-06-12,False,False,252.0,435,False,2,N0002412C2115;N0002417C2117
submarines,unbucketed,VK1WGWEKJRS4,MORRIS CAPITAL MANAGEMENT LLC,residual,0,0.0,1,0.052,2016-08-11,2016,2016-08-11,False,False,,,False,1,N0002412C2115
submarines,unbucketed,YUHMEUENEET4,LAWRENCE LEASING CORP.,residual,0,0.0,2,0.189,2017-06-02,2017,2017-06-02,False,False,,,False,1,N0002412C2115
