program,vendor_uei,vendor_name,work_type,biw_dollars_fy22_25_$M,biw_n_awards_fy22_25,biw_first_award,ingalls_dollars_fy22_25_$M,ingalls_n_awards_fy22_25,ingalls_first_award,virginia_dollars_fy22_25_$M,virginia_n_awards_fy22_25,virginia_first_award,columbia_dollars_fy22_25_$M,columbia_n_awards_fy22_25,columbia_first_award,cut_profile
ddg,N5RJW5NX32Y1,W R SYSTEMS LTD.,unbucketed,0.0,0,,0.0,0,2013-07-22,,,,,,,window-inactive
ddg,DZ4JXAPAU222,"UNITED RENTALS, INC.",unbucketed,0.0,0,,0.0,0,2018-02-15,,,,,,,window-inactive
ddg,CQUHU3PC44L3,"AMERICAN MARITIME HOLDINGS, INC.",unbucketed,0.0,0,,0.0,0,2016-04-25,,,,,,,window-inactive
ddg,LYDUF2SMFNA3,"TEAM, INC.",unbucketed,0.0,0,,0.0,0,2017-12-08,,,,,,,window-inactive
ddg,DTXMJMGMQ655,SPARTON CORPORATION,unbucketed,0.0,0,,0.0,0,2016-06-22,,,,,,,window-inactive
ddg,HHFGANSDJXN8,"SOUTHERN RUBBER & SPECIALTIES, , INC.",unbucketed,0.0,0,,0.0,0,2017-11-02,,,,,,,window-inactive
ddg,GCUTMML7MHH3,SOUTH FLORIDA VAN LINES INC,unbucketed,0.0,0,,0.0,0,2013-06-26,,,,,,,window-inactive
ddg,N7B7PME54JZ9,SURVITEC GROUP LIMITED,unbucketed,0.0,0,,0.0,0,2019-06-14,,,,,,,window-inactive
ddg,QUC7T822JG79,"CLEAN TOP CO., LTD.",unbucketed,0.0,0,,0.0,0,2019-11-22,,,,,,,window-inactive
ddg,PDZUR2FMYD89,"RANGER ENVIRONMENTAL SERVICES, LLC",unbucketed,0.0,0,,0.0,0,2018-05-10,,,,,,,window-inactive
ddg,NE3DARLAMEN6,"PROCESS ENGINEERING COMPANY, INC.",unbucketed,0.0,0,,0.0,0,2018-04-25,,,,,,,window-inactive
ddg,WVW5FMYALEL6,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",electrical,0.0,0,2017-10-25,0.0,0,2013-07-23,,,,,,,window-inactive
ddg,H12BMH6V6495,"PIMA VALVE, INC.",unbucketed,0.0,0,,0.0,0,2013-10-04,,,,,,,window-inactive
ddg,UGDKT5KQLFP5,CECO ENVIRONMENTAL CORP,structural,0.0,0,,0.0,0,2013-07-03,,,,,,,window-inactive
ddg,MJ8MWHZFKJT8,CLARCOR INC.,piping,0.0,0,,0.0,0,2013-06-27,,,,,,,window-inactive
ddg,S987C2WHMF29,PNC EQUITY PARTNERS LP,unbucketed,0.0,0,,0.0,0,2018-05-04,,,,,,,window-inactive
ddg,JAM1MGE5VDJ7,"PACIFIC WESTERN LUMBER, INC.",unbucketed,0.0,0,,0.0,0,2015-03-23,,,,,,,window-inactive
ddg,DXR3SWEY1895,OLDENBURG GROUP INCORPORATED,unbucketed,0.0,0,,0.0,0,2013-07-08,,,,,,,window-inactive
ddg,J7JGTBNSM619,MEGATOR CORPORATION,unbucketed,0.0,0,,0.0,0,2013-06-28,,,,,,,window-inactive
ddg,J5AJWFZ9H8Q6,"MCNALLY INDUSTRIES, LLC",unbucketed,0.0,0,,0.0,0,2020-04-28,,,,,,,window-inactive
ddg,CJM6LNL2FP27,"M2 GLOBAL, INC",unbucketed,0.0,0,,0.0,0,2016-12-01,,,,,,,window-inactive
ddg,NX47A388J7L3,LOEFFLER CORPORATION,unbucketed,0.0,0,,0.0,0,2015-12-04,,,,,,,window-inactive
ddg,V16LFA3JDR14,LIMITORQUE CORPORATION,unbucketed,0.0,0,,0.0,0,2015-02-03,,,,,,,window-inactive
ddg,C1FEMK612CT4,HILL & SMITH HOLDINGS PLC,unbucketed,0.0,0,,0.0,0,2017-09-27,,,,,,,window-inactive
ddg,NTREK31GP8N3,KSARIA CORPORATION,electrical,0.0,0,,0.0,0,2019-12-06,,,,,,,window-inactive
ddg,KC78MF1CL9B8,KINNAMAN ELECTRIC INC,unbucketed,0.0,0,,0.0,0,2020-12-02,,,,,,,window-inactive
ddg,KKRXVDJZQ5V5,KEYSTONE FIRE PROTECTION CO.,unbucketed,0.0,0,,0.0,0,2017-07-07,,,,,,,window-inactive
ddg,H3R3VV5YN8G4,KENWAY CORP,unbucketed,0.0,0,,0.0,0,2016-06-24,,,,,,,window-inactive
ddg,MKRBJA6JXXS7,EMERSON ELECTRIC CO.,electrical,0.0,0,,0.0,0,2016-04-15,,,,,,,window-inactive
ddg,ZZG5TB4JCKE1,"KAHN AND COMPANY, INCORPORATED",unbucketed,0.0,0,,0.0,0,2016-05-20,,,,,,,window-inactive
ddg,P3ZZEMCBYSK7,"KESTREL AIRCRAFT COMPANY, INC.",unbucketed,0.0,0,,0.0,0,2013-08-12,,,,,,,window-inactive
ddg,NSFAYV7YAJB1,SPECTRIS PLC,unbucketed,0.0,0,,0.0,0,2019-10-11,,,,,,,window-inactive
ddg,FMKADN1KAXH6,"HOSE-MCCANN TELEPHONE CO., INC.",unbucketed,0.0,0,,0.0,0,2016-11-21,,,,,,,window-inactive
ddg,RU3QHCAJP492,"HOFFER FLOW CONTROLS, INC.",unbucketed,0.0,0,,0.0,0,2015-08-04,,,,,,,window-inactive
ddg,K7L6DELLDU47,"GULF SALES AND SUPPLY, INCORPORATED",unbucketed,0.0,0,,0.0,0,2018-06-15,,,,,,,window-inactive
ddg,K3URF4HUNQS5,"GLOBAL, INCORPORATED",unbucketed,0.0,0,,0.0,0,2013-07-17,,,,,,,window-inactive
ddg,XJXYXCZL36Z4,THE CARLYLE GROUP L P,piping,0.0,0,,0.0,0,2013-06-06,,,,,,,window-inactive
ddg,WUDSRNBSYC17,"ERIE FORGE AND STEEL, INC.",unbucketed,0.0,0,,0.0,0,2013-07-11,,,,,,,window-inactive
