fy,uei,vendor,foreign,amount_M,records
2023,EUY1C3NM2WN3,MASON ELECTRIC CO.,,0.3190,1
2023,HJUAXSF12JR6,"CUSTOM HYDRAULIC & MACHINE, INC.",,0.3171,6
2023,N8DAXK7KXKM8,"MISTRAS GROUP, INC.",,0.3120,1
2023,CERUMMHMPXZ9,"CONAM INSPECTION AND ENGINEERING SERVICES, INC.",,0.3120,1
2023,ZL41ERXMPAR3,"LEIDOS HOLDINGS, INC.",,0.3073,3
2023,E2P8AAJA2LK5,"MICRO PRECISION, LLC",,0.3072,12
2023,REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,,0.2993,4
2023,VJFKVNQBYVL5,GREENE RUBBER CO INC,,0.2977,7
2023,NXGLEN3CK1N6,"DATACON, INC.",,0.2885,2
2023,M35SG6PKLJB3,"ALASKAN COPPER COMPANIES, INC.",,0.2845,3
2023,VERVZNQLJQM6,ABRASIVE FINISHING INDUSTRIES LLC,,0.2836,3
2023,HTR5K76FMH84,"FEDERAL BRONZE CASTING INDUSTRIES, INC.",,0.2746,5
2023,DKLBZLX4D674,"L&C PROTEC, INC.",,0.2730,1
2023,EDJPMQN1HSJ1,"MSA SAFETY SALES, LLC",,0.2727,2
2023,H4K1A9NVAB68,CRYSTAL INSTRUMENTS CORPORATION,,0.2669,1
2023,C1NAJQ34VWM5,CAMERON ENERGY SERVICES CORP.,,0.2590,3
2023,JFSETNYJ81Y4,ELECTRONIC COMPONENTS INC.,,0.2560,1
2023,GJNEBDUDNTA1,"EURO MACHINERY SPECIALISTS, INC",,0.2555,2
2023,WVERJSJEZ4U8,LABORATORY TESTING INC,,0.2514,1
2023,LZP6L339NKZ9,"MARINE POLYMERS, INC",,0.2462,1
2023,FQJTKZNF6GY5,THE HILLER COMPANIES LLC,,0.2397,1
2023,RANZTST3FQU3,SID TOOL CO INC,,0.2294,3
2023,MXTJBDD1L4T4,TAYLOR DEVICES INC,,0.2281,3
2023,HC6YKKPYB658,"AGGREKO, LLC",,0.2260,5
2023,MKRBJA6JXXS7,EMERSON ELECTRIC CO,,0.2212,3
2023,MME9X24LUXP1,"ACROMAG, INCORPORATED",,0.2182,1
2023,MK6AGEN4XM53,"POWERSTATION, LLC",,0.2169,2
2023,GYMLL74UL5Q8,"HYDRASEARCH COMPANY, LLC",,0.2139,5
2023,U517SU1EZGK9,"CHALMERS & KUBECK, INC.",,0.2110,5
