LI,Class,Category,Bucket,FY,Best Value $M,Source PB,All Vintages
1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,Shipbuilder-procured LLTM,2028,38.923,PB2027,"PB2024=38.923, PB2025=41.340, PB2027=38.923"
1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,Shipbuilder-procured LLTM,2029,45.515,PB2027,"PB2025=51.487, PB2027=45.515"
1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,Shipbuilder-procured LLTM,2030,40.416,PB2027,PB2027=40.416
1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,Shipbuilder-procured LLTM,2031,31.141,PB2027,PB2027=31.141
1045,Columbia,ELECTRONICS (13),Electronics LLTM,2020,36.390,PB2022,PB2022=36.390
1045,Columbia,ELECTRONICS (13),Electronics LLTM,2022,8.097,PB2024,"PB2022=8.097, PB2023=8.097, PB2024=8.097"
1045,Columbia,ELECTRONICS (13),Electronics LLTM,2023,26.587,PB2025,"PB2023=26.587, PB2024=26.587, PB2025=26.587"
1045,Columbia,ELECTRONICS (13),Electronics LLTM,2024,8.430,PB2026,"PB2023=8.430, PB2024=8.430, PB2025=8.430, PB2026=8.430"
1045,Columbia,ELECTRONICS (13),Electronics LLTM,2025,69.854,PB2027,"PB2023=36.254, PB2024=36.254, PB2025=74.670, PB2026=78.171, PB2027=69.854"
1045,Columbia,ELECTRONICS (13),Electronics LLTM,2026,110.601,PB2027,"PB2023=36.978, PB2024=36.978, PB2025=79.140, PB2026=110.601, PB2027=110.601"
1045,Columbia,ELECTRONICS (13),Electronics LLTM,2027,81.760,PB2027,"PB2023=39.685, PB2024=39.685, PB2025=81.760, PB2027=81.760"
1045,Columbia,ELECTRONICS (13),Electronics LLTM,2028,83.395,PB2027,"PB2024=40.479, PB2025=83.395, PB2027=83.395"
1045,Columbia,ELECTRONICS (13),Electronics LLTM,2029,85.063,PB2027,"PB2025=85.062, PB2027=85.063"
1045,Columbia,ELECTRONICS (13),Electronics LLTM,2030,86.765,PB2027,PB2027=86.765
1045,Columbia,ELECTRONICS (13),Electronics LLTM,2031,88.499,PB2027,PB2027=88.499
1045,Columbia,Electronics EOQ (14),Electronics LLTM,2025,59.500,PB2027,"PB2025=59.500, PB2026=59.500, PB2027=59.500"
1045,Columbia,HM&E (9),HM&E LLTM,2020,41.948,PB2022,PB2022=41.948
1045,Columbia,HM&E (9),HM&E LLTM,2021,3.100,PB2023,"PB2022=3.100, PB2023=3.100"
1045,Columbia,HM&E (9),HM&E LLTM,2022,42.857,PB2024,"PB2022=42.857, PB2023=42.857, PB2024=42.857"
1045,Columbia,HM&E (9),HM&E LLTM,2023,86.285,PB2025,"PB2023=86.285, PB2024=86.285, PB2025=86.285"
1045,Columbia,HM&E (9),HM&E LLTM,2024,66.824,PB2026,"PB2023=66.824, PB2024=66.824, PB2025=66.824, PB2026=66.824"
1045,Columbia,HM&E (9),HM&E LLTM,2025,75.475,PB2027,"PB2023=68.408, PB2024=68.408, PB2025=75.475, PB2026=75.475, PB2027=75.475"
1045,Columbia,HM&E (9),HM&E LLTM,2026,86.202,PB2027,"PB2023=70.030, PB2024=70.030, PB2025=86.202, PB2026=86.202, PB2027=86.202"
1045,Columbia,HM&E (9),HM&E LLTM,2027,74.393,PB2027,"PB2023=71.689, PB2024=71.689, PB2025=74.393, PB2027=74.393"
1045,Columbia,HM&E (9),HM&E LLTM,2028,119.156,PB2027,"PB2024=73.387, PB2025=95.431, PB2027=119.156"
1045,Columbia,HM&E (9),HM&E LLTM,2029,78.284,PB2027,"PB2025=78.284, PB2027=78.284"
1045,Columbia,HM&E (9),HM&E LLTM,2030,79.138,PB2027,PB2027=79.138
1045,Columbia,HM&E (9),HM&E LLTM,2031,80.929,PB2027,PB2027=80.929
1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),Nuclear plant LLTM,2021,816.737,PB2023,"PB2022=816.737, PB2023=816.737"
1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),Nuclear plant LLTM,2022,797.262,PB2024,"PB2022=797.262, PB2023=797.262, PB2024=797.262"
1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),Nuclear plant LLTM,2023,772.686,PB2025,"PB2023=772.686, PB2024=772.686, PB2025=772.686"
1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),Nuclear plant LLTM,2024,1272.405,PB2026,"PB2023=1259.684, PB2024=1272.405, PB2025=1272.405, PB2026=1272.405"
1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),Nuclear plant LLTM,2025,1526.697,PB2027,"PB2023=1267.857, PB2024=1269.131, PB2025=1526.697, PB2026=1526.697, PB2027=1526.697"
1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),Nuclear plant LLTM,2026,1440.528,PB2027,"PB2023=1282.928, PB2024=1284.014, PB2025=1440.529, PB2026=1440.528, PB2027=1440.528"
1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),Nuclear plant LLTM,2027,1490.144,PB2027,"PB2023=1302.451, PB2024=1303.675, PB2025=1490.151, PB2027=1490.144"
1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),Nuclear plant LLTM,2028,1544.116,PB2027,"PB2024=1331.961, PB2025=1544.068, PB2027=1544.116"
1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),Nuclear plant LLTM,2029,1602.529,PB2027,"PB2025=1602.444, PB2027=1602.529"
1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),Nuclear plant LLTM,2030,1665.462,PB2027,PB2027=1665.462
