program,piid,work_type,vendor_uei,vendor_name,n_records,dollars
ddg,N0002418C2307,unbucketed,RL6KA2EUSUC8,ABACUS INDUSTRIES INC,5,0.291
ddg,N0002418C2307,unbucketed,TKJ1TW2YRNL3,MEGGITT PLC,5,5.938
ddg,N0002418C2307,unbucketed,W1NCJ8ATWDN7,EVOQUA WATER TECHNOLOGIES CORP.,5,0.888
ddg,N0002418C2307,unbucketed,XR3UT8BLTKP7,"ENERGY MACHINERY, INC.",5,0.149
ddg,N0002418C2307,unbucketed,C2WJWFHRK5S7,QUALITY PERFORMANCE INC,4,0.599
ddg,N0002418C2307,unbucketed,C6C8KS7Y1K76,MIDE TECHNOLOGY CORPORATION,4,1.035
ddg,N0002418C2307,unbucketed,DLRDDPVKLLA1,"HEGEDUS ALUMINUM INDUSTRIES, INC",4,0.162
ddg,N0002418C2307,unbucketed,EANJVKFHMSZ8,"GULF FASTENER, INC.",4,2.312
ddg,N0002418C2307,unbucketed,EEJPJ342F3P1,"TABET MANUFACTURING COMPANY, INC.",4,0.275
ddg,N0002418C2307,unbucketed,EJ8LYVPT4KR9,THE WHITMOR CO. INC.,4,0.199
ddg,N0002418C2307,unbucketed,J6DMEL935CD1,XYLEM INC.,4,0.127
ddg,N0002418C2307,unbucketed,J8ATNVMEGLK1,CHAND LLC,4,0.197
ddg,N0002418C2307,unbucketed,JU7ZGUDEJA79,RAILWAY SPECIALTIES CORPORATION,4,0.565
ddg,N0002418C2307,unbucketed,M647MA6E64V1,DEWEY ELECTRONICS CORPORATION,4,0.186
ddg,N0002418C2307,unbucketed,MX63C2VRKCJ6,HOUDSTERMAATSCHAPPIJ WILG B.V.,4,1.558
ddg,N0002418C2307,unbucketed,NB2HLRTJJJQ7,WATTS WATER TECHNOLOGIES INC,4,0.13
ddg,N0002418C2307,unbucketed,NGE4ALP2M661,"WEAVER SUPPLY COMPANY, LLC",4,0.119
ddg,N0002418C2307,unbucketed,PLYSMJBAYE42,MEGGITT SAFETY SYSTEMS INC,4,1.58
ddg,N0002418C2307,unbucketed,UES5F4AAZJK5,"DONALDSON COMPANY, INC.",4,0.147
ddg,N0002418C2307,unbucketed,FD69PPCVM2B8,PASCAGOULA LAUNCH SERVICE INC,3,0.218
ddg,N0002418C2307,unbucketed,GN82WS7LRJ77,SPACE MACHINE & ENGINEERING CORP.,3,0.223
ddg,N0002418C2307,unbucketed,LJLZRNS9DYC6,ANIXTER INC.,3,0.282
ddg,N0002418C2307,unbucketed,LSGYNGHKB863,DEBAN ENTERPRISES INC,3,0.153
ddg,N0002418C2307,unbucketed,MAKYNVTMNZX1,"TRAC REGULATOR CO., INC.",3,0.298
ddg,N0002418C2307,unbucketed,N1UBBGCNNB38,ABC APPLICATORS INC,3,0.711
ddg,N0002418C2307,unbucketed,NK1RB5VKXES9,"DETROIT SWITCH, INC.",3,0.098
ddg,N0002418C2307,unbucketed,PDZUR2FMYD89,"RANGER ENVIRONMENTAL SERVICES, LLC",3,0.33
ddg,N0002418C2307,unbucketed,S1TGQ9L36486,"TOOL-SMITH COMPANY, INCORPORATED",3,0.166
ddg,N0002418C2307,unbucketed,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",3,0.447
ddg,N0002418C2307,unbucketed,SPJDDHTQBSY9,"HUNTER DEFENSE TECHNOLOGIES, INC.",3,0.2
ddg,N0002418C2307,unbucketed,V16LFA3JDR14,LIMITORQUE CORPORATION,3,0.242
ddg,N0002418C2307,unbucketed,VE86LWM6ABF6,MASON FOREST PRODUCTS INC,3,0.358
ddg,N0002418C2307,unbucketed,YBVGQEYENNM6,HONEYWELL INTERNATIONAL INC.,3,0.328
ddg,N0002418C2307,unbucketed,DJ4XUHDKTH71,FORENTA LP,2,0.067
ddg,N0002418C2307,unbucketed,DSVCC3S92J21,BOLAND MARINE & INDUSTRIAL LLC,2,0.133
ddg,N0002418C2307,unbucketed,E83TNKA9JCY6,AIR SYSTEMS COMPONENTS INC,2,0.061
ddg,N0002418C2307,unbucketed,EDJPMQN1HSJ1,"MSA SAFETY SALES, LLC",2,0.14
ddg,N0002418C2307,unbucketed,FKBHDS7BRJF4,"HONEYWELL SAFETY PRODUCTS USA, INC.",2,0.099
ddg,N0002418C2307,unbucketed,FNQARYRJJEL5,"COSPOLICH, INC.",2,0.063
ddg,N0002418C2307,unbucketed,GU9WXNREUPZ1,FORENTA L.P.,2,0.06
ddg,N0002418C2307,unbucketed,HJFAW5KCG7N7,"MAST TECHNOLOGIES, LLC",2,0.168
ddg,N0002418C2307,unbucketed,HQEUSUQSKVK7,"ADMARTEC, INC.",2,0.055
ddg,N0002418C2307,unbucketed,JUN5EFMB2NZ7,THOMPSON SUPPLY CO INC,2,0.054
ddg,N0002418C2307,unbucketed,LRYRHNM7EHJ8,"GAYLORD INDUSTRIES, INC.",2,0.302
ddg,N0002418C2307,unbucketed,M2XAYNY2P889,"POWELL ELECTRONICS, INC.",2,0.188
ddg,N0002418C2307,unbucketed,MENSE2ENG8J6,ARCLINE INVESTMENT MANAGEMENT LP,2,0.158
ddg,N0002418C2307,unbucketed,MHR1KKAZ1NH5,"EDRO CORPORATION, THE",2,0.098
ddg,N0002418C2307,unbucketed,MNZGEAM8WG31,"MAZZELLA LIFTING TECHNOLOGIES, INC.",2,0.086
ddg,N0002418C2307,unbucketed,MQSPAE7NQQR8,"VITA MOTIVATOR CO., INC.",2,0.098
ddg,N0002418C2307,unbucketed,QF3MD1MU1651,"J.G.B. ENTERPRISES, INC.",2,0.081
ddg,N0002418C2307,unbucketed,QN84GSHNM1M7,"BACHARACH, INC.",2,0.159
ddg,N0002418C2307,unbucketed,R1M8JJH7J5W5,"JOHNSON BRASS & MACHINE FOUNDRY, INC.",2,0.089
ddg,N0002418C2307,unbucketed,REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,2,0.207
ddg,N0002418C2307,unbucketed,RYRLL49HWN65,BAKER SHEET METAL CORPORATION,2,0.161
ddg,N0002418C2307,unbucketed,RYYRAAAGPXB5,"STOCKERT, LAURA",2,0.17
ddg,N0002418C2307,unbucketed,TKE2CB4A5YW4,HONEYWELL INTERNATIONAL INC.,2,0.089
ddg,N0002418C2307,unbucketed,UXLBKCMVY819,FLOWORKS INTERNATIONAL LLC,2,0.064
