program,piid,vessel_class,builder,work_type,first_award,last_award,n_vendors,repeat_award_share,shared_vendor_pct,dollars_total,n_le_fy12,n_fy2013,n_fy2014,n_fy2015,n_fy2016,n_fy2017,n_fy2018,n_fy2019,n_fy2020,n_fy2021,n_fy2022,n_fy2023,n_fy2024,n_fy2025,n_fy2026,n_total
submarines,N0002424C2110,Virginia,GDEB,coatings,2025-05-14,2025-08-20,3,0.96,1.0,14.453,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25
submarines,N0002424C2110,Virginia,GDEB,structural,2024-05-29,2025-08-22,9,0.6111,1.0,81.588,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,18
submarines,N0002424C2110,Virginia,GDEB,electrical,2024-01-04,2025-06-30,8,0.6429,1.0,103.725,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,14
submarines,N0002424C2110,Virginia,GDEB,hvac,2024-08-20,2025-07-25,2,1.0,1.0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6
submarines,N0002419C2115,Columbia,BPMI,electrical,2019-01-31,2021-03-31,2,1.0,1.0,89.146,0,0,0,0,0,0,0,8,2,5,0,0,0,0,0,15
submarines,N0002419C2115,Columbia,BPMI,unbucketed,2019-01-31,2021-03-31,6,0.8,0.8333,16.123,0,0,0,0,0,0,0,8,1,6,0,0,0,0,0,15
submarines,N0002419C2115,Columbia,BPMI,piping,2019-01-31,2021-03-31,4,0.8889,1.0,49.058,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,9
submarines,N0002419C2115,Columbia,BPMI,machining,2019-03-29,2021-03-31,1,1.0,1.0,10.136,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,4
submarines,N0002419C2115,Columbia,BPMI,structural,2019-01-31,2021-03-31,2,0.0,1.0,7.36,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
submarines,N0002419C2114,Columbia,BPMI,unbucketed,2019-01-31,2021-04-30,8,0.75,0.75,22.515,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,16
submarines,N0002419C2114,Columbia,BPMI,piping,2019-01-31,2021-03-31,4,0.7778,1.0,54.935,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,9
submarines,N0002419C2114,Columbia,BPMI,electrical,2019-01-31,2021-03-31,2,1.0,1.0,18.485,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,7
submarines,N0002419C2114,Columbia,BPMI,machining,2019-01-31,2021-03-31,2,0.75,0.5,12.246,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4
submarines,N0002419C2114,Columbia,BPMI,structural,2019-01-31,2019-01-31,1,0.0,1.0,1.866,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
submarines,N0002421C4106,Virginia,BAE,unbucketed,2022-03-09,2025-04-22,7,0.6923,0.4286,1.076,0,0,0,0,0,0,0,0,0,0,4,3,2,4,0,13
submarines,N0002421C4106,Virginia,BAE,structural,2025-02-18,2025-10-21,1,1.0,1.0,0.674,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
submarines,N0002421C4111,Virginia,RR,unbucketed,2024-02-19,2025-05-29,6,0.2857,0.0,4.697,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,7
