rank,uei,vendor,amount_M_lifetime,primary_naics,naics_desc,naics_2digit,naics_4digit,naics_sector_label,cage,country,lookup_status
119,SSD8KRDXKG46,"THE HILLER COMPANIES, LLC",18.4676,238210,Electrical Contractors and Other Wiring Installation Contractors,23,2382,Construction,66073,USA,ok
120,N5KEKMFCWUR1,AMETEK INC,18.4655,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,33,3359,Manufacturing — Machinery/Electronics/Transport Eq,6UBJ2,USA,ok
121,QWSHM2ZMJNB4,THALES,18.3786,,,,,Unknown,,,not_found
122,YVBHN7GKLQ44,"GLENAIR, INC.",18.1922,335929,Other Communication and Energy Wire Manufacturing ,33,3359,Manufacturing — Machinery/Electronics/Transport Eq,06324,USA,ok
123,Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",18.0928,332912,Fluid Power Valve and Hose Fitting Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,99657,USA,ok
124,GU5YDKH7GPF1,KKR & CO INC,17.9673,,,,,Unknown,,,not_found
125,FGNQE3RF1FK5,"MORPAC INDUSTRIES, INC.",17.8855,332911,Industrial Valve Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,66822,USA,ok
126,LYZLGNHGSTS3,"MICROTECH, INC.",17.8654,334419,Other Electronic Component Manufacturing ,33,3344,Manufacturing — Machinery/Electronics/Transport Eq,54647,USA,ok
127,E3UWY7DXKP75,NAMMO AS,17.6251,,,,,Unknown,,,not_found
128,H3B9T5MJNN88,"AST/ACME, INC.",17.5654,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance ,81,8113,Other Services,4CN76,USA,ok
129,CMANNFGEFNP6,WARD LEONARD CT LLC,17.4828,,,,,Unknown,,,not_found
130,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",17.4611,,,,,Unknown,,,not_found
131,WLHBRDWEW7T4,"ABACO SYSTEMS, INC.",16.7908,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,33,3344,Manufacturing — Machinery/Electronics/Transport Eq,0BPH5,USA,ok
132,U6JRN865H4E3,TTI INC.,16.5741,423690,Other Electronic Parts and Equipment Merchant Wholesalers ,42,4236,Wholesale Trade,8N187,USA,ok
133,Q5DRWXKQP299,NAVAL ENGINEERING SUPPORT INC,16.4943,,,,,Unknown,,,not_found
134,G2LUXP8ND8U6,"MOTOROLA SOLUTIONS, INC.",16.0211,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,33,3342,Manufacturing — Machinery/Electronics/Transport Eq,7H229,USA,ok
135,FCK2D4PSV1L2,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,15.4145,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",33,3339,Manufacturing — Machinery/Electronics/Transport Eq,07524,USA,ok
136,Z6YVC2VB2B45,SASMOS HET TECHNOLOGIES LIMITED,14.7747,,,,,Unknown,,,not_found
137,H293LTV8R2U3,"REAL-TIME INNOVATIONS, INC.",14.7244,513210,Software Publishers,51,5132,Information,03FH8,USA,ok
138,D942LBXESNH6,VIDEO DISPLAY CORPORATION,14.7156,334310,Audio and Video Equipment Manufacturing,33,3343,Manufacturing — Machinery/Electronics/Transport Eq,58703,USA,ok
139,QFAKS4WUGES3,TCLAD INC,14.5555,334412,Bare Printed Circuit Board Manufacturing  ,33,3344,Manufacturing — Machinery/Electronics/Transport Eq,8P5B1,USA,ok
140,RHZWB8JCWU95,"AM AND S MFG, INC.",14.5302,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,6Z8N7,USA,ok
141,N3N5N1E2WZR8,"BARRON INDUSTRIES, INC.",14.4166,,,,,Unknown,,,not_found
142,XWS1CAAY1SH8,"SYPRIS ELECTRONICS, LLC",14.4064,,,,,Unknown,,,not_found
143,M4ELQDG7JLM5,"BUFFALO PUMPS, INC.",14.3651,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",33,3339,Manufacturing — Machinery/Electronics/Transport Eq,83130,USA,ok
144,NUL8Z35S3LJ5,"CENTURY TOOL, INC.",14.3418,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,1GZ71,USA,ok
145,SNP5XVVL5896,ELLWOOD NATIONAL FORGE COMPANY,14.2596,,,,,Unknown,,,not_found
146,MKXMUFJJYLY5,WARD LEONARD CT LLC,14.1918,335312,Motor and Generator Manufacturing ,33,3353,Manufacturing — Machinery/Electronics/Transport Eq,63743,USA,ok
147,LR2HQKYJLDZ7,ESI ACQUISITION CORP.,14.1771,423830,Industrial Machinery and Equipment Merchant Wholesalers ,42,4238,Wholesale Trade,3B558,USA,ok
148,E5K9VR2A1MW9,BAE SYSTEMS PLC,14.045,,,,,Unknown,,,not_found
149,KLW3ZYL15493,RAYTHEON COMPANY,14.0096,541330,Engineering Services,54,5413,Professional/Scientific/Technical Services,49956,USA,ok
150,N8XXNTTKKU55,"ARROW ELECTRONICS, INC.",13.9844,,,,,Unknown,,,not_found
