rank,uei,vendor,foreign,amount_M_lifetime,records,fy_count,fys,piid_count,piids
806,U5DEVLMH9KR8,"FEDERAL DEFENSE SOLUTIONS, INC.",,0.3559,4,3,"2018,2019,2020",2,"N0002414C5106,N0002414C5114"
807,LGL5G33FJ6D5,"COMMAND TECHNOLOGY, INC.",,0.3525,2,2,"2019,2021",1,N0002415C5228
808,N9DVRB18H324,ELLWOOD CITY FORGE COMPANY,,0.3500,1,1,2022,1,N0002418C2307
809,XUKQGZPMTC96,J & E MANUFACTURING CO.,,0.3495,1,1,2021,1,N0002420C5380
810,V16LFA3JDR14,LIMITORQUE CORPORATION,,0.3490,5,4,"2018,2019,2020,2021",2,"N0002413C2307,N0002418C2307"
811,S1TGQ9L36486,"TOOL-SMITH COMPANY, INCORPORATED",,0.3482,7,4,"2018,2020,2021,2024",2,"N0002413C2307,N0002418C2307"
812,DNDLL934GK55,CDW CORPORATION,,0.3471,4,3,"2022,2023,2024",3,"N0002413C5116,N0002420C5105,N0002422C5500"
813,L14LNGXH8M26,CURTIS WRIGHT BUILDERS LLC,,0.3465,2,1,2021,1,N0002419C2322
814,E1K7EB5PZDN8,"INDIUM CORPORATION OF AMERICA, THE",,0.3439,5,1,2022,1,N0002422C5500
815,KLN3SMHBL368,DATA DEVICE CORP,,0.3433,3,2,"2023,2024",1,N0002417C4109
816,VWX3JEES4FF7,TRIMAN INDUSTRIES INC,,0.3426,1,1,2025,1,N0002419C4452
817,JTC4HGKH6PJ1,PRECISION GASKET COMPANY,,0.3424,6,3,"2014,2016,2019",2,"N0002413C5314,N0002413C5325"
818,X37XWB4L7ZM9,"SUN COUNTRY INDUSTRIES, LLC",,0.3418,3,3,"2018,2019,2023",2,"N0001918C1061,N0017415C0009"
819,W67WSNENMZF7,ARCELORMITTAL SA,,0.3381,3,3,"2013,2014,2016",1,N0002413C5325
820,S7WJMUUALPN7,VERITAS CAPITAL MANAGEMENT LLC,,0.3366,2,2,"2018,2019",1,N0002414C5114
821,RSZ6YRCEBDN5,COLUMBIA ASC INC,,0.3354,3,2,"2022,2025",1,N0002422C5500
822,GJU6WW45U4F4,ARROWHEAD GLOBAL LLC,,0.3349,2,1,2019,1,N0002414C4313
823,WCE1F3V37MM9,CHROMALOX INC,,0.3343,4,2,"2022,2023",1,N0002420C5310
824,KLLANFLBFBA3,HACKFORTH HOLDING GMBH & CO. KG,,0.3337,1,1,2019,1,N0002414C4313
825,P6BAVKDFTH17,AMERIFORGE GROUP INC.,,0.3328,3,2,"2020,2021",1,N0017419C0004
826,H6BWMHGJ5AF5,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",,0.3324,5,4,"2016,2017,2019,2020",2,"N0002415C5228,N0017415C0009"
827,CWM4UN76ZQW8,LOCKHEED MARTIN CORPORATION,,0.3321,2,1,2025,2,"N0002413C2307,N0002418C2307"
828,DF2ZSTNCL8V3,"NORTH EAST TECHNICAL SALES, INC.",,0.3316,4,4,"2021,2022,2023,2025",2,"N0002420C5310,N0002423C5325"
829,XDJCS2DAFF15,TCI MECHANICAL INC,,0.3291,4,2,"2021,2022",1,N0002420C4468
830,EDDDNK3ACHM9,"ADVANCED METALS MACHINING, LLC",,0.3284,5,3,"2018,2020,2021",1,N0002414C5114
831,ZKCDCNX3Y9B7,AERO-GLEN INTERNATIONAL LLC,,0.3267,7,4,"2022,2023,2024,2025",3,"N0002420C5310,N0002422C5500,N0002423C5325"
832,HUK5MJK4MH39,"LESLIE CONTROLS, INC.",,0.3237,5,1,2023,1,N0002418C2307
833,QFG7EC12DQK4,"UNITED RENTALS (NORTH AMERICA), INC.",,0.3233,28,3,"2022,2023,2024",3,"N0002420C4400,N0002420C4468,N0002422C4485"
834,USBJG7R2LPQ3,"SV MICROWAVE, INC.",,0.3195,1,1,2022,1,N0002422C5500
835,HWSHBFR1LKB3,GENERAL RELIANCE CORPORATION,,0.3152,4,4,"2016,2018,2020,2022",2,"N0017415C0009,N0017419C0004"
836,HPJ7F85GUDR4,"CHARDAM GEAR COMPANY, INC.",,0.3149,3,2,"2022,2024",2,"N0001918C1007,N0001918C1061"
837,JE1BMK3T9FN1,"CASEMER TOOL & MACHINE, INC.",,0.3146,6,3,"2022,2023,2024",3,"N0002420C5380,N0002424C5324,N0017419C0004"
838,QH1NZM6TK6C9,"TEATR MUZYKI I POEZII P/R E.KAMBUROVOI, GBU",Yes,0.3136,3,2,"2018,2021",2,"N0002413C2307,N0002418C2307"
839,WF4HB6LCKSL5,"AMERICAN ELECTRONIC RESOURCE, INC.",,0.3125,2,2,"2017,2020",2,"N0002414C5106,N0002414C5114"
840,VJFKVNQBYVL5,GREENE RUBBER CO INC,,0.3111,4,4,"2021,2022,2023,2024",2,"N0002419C2322,N0002420C5380"
841,E3NCN9MXJAL5,TURNBULL LLC,,0.3111,4,2,"2022,2023",3,"N0002413C2305,N0002418C2305,N0002419C2322"
842,GZP5A1GZXN74,AEROSPACE ELITE ELECTRONICS INC,,0.3107,1,1,2022,1,N0002422C5500
843,MMLKPW9JLX64,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,,0.3093,11,4,"2022,2023,2024,2025",2,"N0002414C5104,N0002415C5151"
844,LGEFMM39NGN4,ANIXTER INC,,0.3075,4,2,"2023,2024",3,"N0002419C2322,N0002419C4452,N0002420C5310"
845,W86CEK5C7B53,PROTOFAB ENGINEERING INC.,,0.3063,3,2,"2013,2014",1,N0002413C5325
846,SGSBHJMN78B6,"COMMERCE BANCSHARES, INC.",,0.3059,2,2,"2020,2021",1,N0002415C5151
847,M6ZTA4NZGLQ5,"ANDERSON METAL INDUSTRIES, INC.",,0.3050,7,4,"2019,2020,2023,2026",2,"N0002418C2307,N0002423C2307"
848,M6F1M2T8REN3,ANALOG DEVICES FEDERAL LLC,,0.3040,8,1,2025,1,N0002420C5519
