rank,uei,vendor,amount_M_lifetime,primary_naics,naics_desc,naics_2digit,naics_4digit,naics_sector_label,cage,country,lookup_status
89,XDF1FRDG8KK4,"FOSTER-MILLER, INC.",9.165,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,33,3364,Manufacturing — Machinery/Electronics/Transport Eq,30233,USA,ok
90,FWF8QBPCGLG3,GENERAL TOOL COMPANY,9.1239,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing ,33,3364,Manufacturing — Machinery/Electronics/Transport Eq,96454,USA,ok
91,L4ZMKLM4MPL3,MOOG INC.,8.9572,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,33,3364,Manufacturing — Machinery/Electronics/Transport Eq,94697,USA,ok
92,NTREK31GP8N3,KSARIA CORPORATION,8.878,334417,Electronic Connector Manufacturing ,33,3344,Manufacturing — Machinery/Electronics/Transport Eq,3ET44,USA,ok
93,F42BKS7EHCL8,ULTRA ELECTRONICS HOLDINGS PLC,8.825,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",33,3344,Manufacturing — Machinery/Electronics/Transport Eq,10LV4,USA,ok
94,WPP2ABN6UCF5,"L3HARRIS TECHNOLOGIES, INC.",8.6136,334290,Other Communications Equipment Manufacturing,33,3342,Manufacturing — Machinery/Electronics/Transport Eq,28199,USA,ok
95,CE3HF8PLAFD3,"MILWAUKEE VALVE COMPANY, LLC",8.486,332911,Industrial Valve Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,3J605,USA,ok
96,VXHFDAKS2LZ6,CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,8.3257,333611,Turbine and Turbine Generator Set Units Manufacturing ,33,3336,Manufacturing — Machinery/Electronics/Transport Eq,8FGX3,USA,ok
97,CT5WNUADNZ44,AMPHENOL CORPORATION,8.2696,551114,"Corporate, Subsidiary, and Regional Managing Offices ",55,5511,Management of Companies,59PE0,USA,ok
98,J3C4WKJZZKN5,"LANDSTAR SYSTEM, INC.",8.1402,,,,,Unknown,,,not_found
99,RXA2JHPN9JD3,"BRANTNER AND ASSOCIATES, INC.",8.1016,,,,,Unknown,,,not_found
100,MKXMUFJJYLY5,WARD LEONARD CT LLC,7.9309,335312,Motor and Generator Manufacturing ,33,3353,Manufacturing — Machinery/Electronics/Transport Eq,63743,USA,ok
101,VDSCUPC2H3K7,CITADEL CAPITAL CORPORATION,7.8153,,,,,Unknown,,,not_found
102,ZVFUENFF77T1,"HUTCHINSON AEROSPACE & INDUSTRY, INC.",7.7968,,,,,Unknown,,,not_found
103,LPY6KXBKHMK8,"RHOADS INDUSTRIES, INC.",7.7534,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,5YPJ2,USA,ok
104,QCFDU4MA1444,A/Z CORPORATION,7.7209,236210,Industrial Building Construction ,23,2362,Construction,1ND67,USA,ok
105,JSAXGRLNEJ63,"COLONNA'S SHIP YARD, INCORPORATED",7.6393,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,8C427,USA,ok
