vintage,pb_year,li,fy,cost_category,qty,value_$M
FY24,2024,1045,2021,Basic Construction/Conversion,,5451.193
FY24,2024,1045,2024,Basic Construction/Conversion,,5770.476
FY24,2024,1045,2021,Change Orders,,299.365
FY24,2024,1045,2024,Change Orders,,286.485
FY24,2024,1045,2021,Electronics,,358.141
FY24,2024,1045,2024,Electronics,,349.701
FY24,2024,1045,2021,Propulsion Equipment,,1700.896
FY24,2024,1045,2024,Propulsion Equipment,,1614.000
FY24,2024,1045,2021,"Hull, Mechanical, and Electrical",,174.348
FY24,2024,1045,2024,"Hull, Mechanical, and Electrical",,119.108
FY24,2024,1045,2021,Ordnance,,564.115
FY24,2024,1045,2024,Ordnance,,522.370
FY24,2024,1045,2021,Other Cost,,73.445
FY24,2024,1045,2024,Other Cost,,66.728
FY24,2024,1045,2021,Total Ship Estimate,,15179.058
FY24,2024,1045,2024,Total Ship Estimate,,9285.283
FY24,2024,2013,2023,Plan Costs,2,192.169
FY24,2024,2013,2024,Plan Costs,2,207.166
FY24,2024,2013,2023,Basic Construction/Conversion,,5095.448
FY24,2024,2013,2024,Basic Construction/Conversion,,7159.762
FY24,2024,2013,2023,Change Orders,,102.067
FY24,2024,2013,2024,Change Orders,,146.118
FY24,2024,2013,2023,Electronics,,551.346
FY24,2024,2013,2024,Electronics,,562.372
FY24,2024,2013,2023,Technology Insertion,,15.706
FY24,2024,2013,2024,Technology Insertion,,16.020
FY24,2024,2013,2023,Propulsion Equipment,,1083.115
FY24,2024,2013,2024,Propulsion Equipment,,1121.470
FY24,2024,2013,2023,"Hull, Mechanical, and Electrical",,141.566
FY24,2024,2013,2024,"Hull, Mechanical, and Electrical",,144.189
FY24,2024,2013,2023,Other Cost,,69.162
FY24,2024,2013,2024,Other Cost,,70.546
FY24,2024,2013,2023,Total Ship Estimate,,7250.579
FY24,2024,2013,2024,Total Ship Estimate,,9427.643
FY25,2025,1045,2021,Plan Costs,1,6557.555
FY25,2025,1045,2024,Plan Costs,1,556.415
FY25,2025,1045,2021,Basic Construction/Conversion,,5451.193
FY25,2025,1045,2024,Basic Construction/Conversion,,5768.379
FY25,2025,1045,2021,Change Orders,,299.365
FY25,2025,1045,2024,Change Orders,,286.485
FY25,2025,1045,2021,Electronics,,358.141
FY25,2025,1045,2024,Electronics,,349.701
FY25,2025,1045,2021,Propulsion Equipment,,1700.896
FY25,2025,1045,2024,Propulsion Equipment,,1614.000
FY25,2025,1045,2021,"Hull, Mechanical, and Electrical",,174.348
FY25,2025,1045,2024,"Hull, Mechanical, and Electrical",,119.108
FY25,2025,1045,2021,Ordnance,,564.115
FY25,2025,1045,2024,Ordnance,,522.370
