LI,Section,Row Label,FY,Best Value,Source Vintage (PB Year),FYs ahead/behind PB,All Vintages Available
2013,base,Gross/Weapon System Cost ($ in Millions),2029,"11,098.426",PB2027,-2,"PB2025=10,341.432, PB2026=-, PB2027=11,098.426"
2013,base,Gross/Weapon System Cost ($ in Millions),2030,"10,196.613",PB2027,-3,"PB2026=-, PB2027=10,196.613"
2013,base,Gross/Weapon System Cost ($ in Millions),2031,"10,594.230",PB2027,-4,"PB2027=10,594.230"
2013,base,Net Procurement (P-1) ($ in Millions),2020,"5,365.181",PB2022,2,"PB2022=5,365.181"
2013,base,Net Procurement (P-1) ($ in Millions),2021,"4,603.213",PB2023,2,"PB2022=4,603.213, PB2023=4,603.213"
2013,base,Net Procurement (P-1) ($ in Millions),2022,"4,234.240",PB2024,2,"PB2022=4,249.240, PB2023=4,234.240, PB2024=4,234.240"
2013,base,Net Procurement (P-1) ($ in Millions),2023,"4,534.184",PB2025,2,"PB2022=-, PB2023=4,534.184, PB2024=4,534.184, PB2025=4,534.184"
2013,base,Net Procurement (P-1) ($ in Millions),2024,"7,129.965",PB2026,2,"PB2022=-, PB2023=5,391.359, PB2024=7,129.965, PB2025=7,129.965, PB2026=7,129.965"
2013,base,Net Procurement (P-1) ($ in Millions),2025,"7,356.904",PB2027,2,"PB2022=-, PB2023=5,558.289, PB2024=6,450.337, PB2025=3,615.904, PB2026=7,356.904, PB2027=7,356.904"
2013,base,Net Procurement (P-1) ($ in Millions),2026,"2,740.305",PB2027,1,"PB2022=-, PB2023=5,256.054, PB2024=5,911.690, PB2025=6,363.305, PB2026=816.705, PB2027=2,740.305"
2013,base,Net Procurement (P-1) ($ in Millions),2027,"8,402.316",PB2027,0,"PB2023=5,259.533, PB2024=5,986.656, PB2025=6,470.904, PB2026=-, PB2027=8,402.316"
2013,base,Net Procurement (P-1) ($ in Millions),2028,"8,149.065",PB2027,-1,"PB2024=6,068.553, PB2025=6,637.365, PB2026=-, PB2027=8,149.065"
2013,base,Net Procurement (P-1) ($ in Millions),2029,"7,876.466",PB2027,-2,"PB2025=7,119.472, PB2026=-, PB2027=7,876.466"
2013,base,Net Procurement (P-1) ($ in Millions),2030,"7,283.370",PB2027,-3,"PB2026=-, PB2027=7,283.370"
2013,base,Net Procurement (P-1) ($ in Millions),2031,"7,423.079",PB2027,-4,"PB2027=7,423.079"
2013,base,Procurement Quantity (Units in Each),2020,2,PB2022,2,PB2022=2
2013,base,Procurement Quantity (Units in Each),2021,2,PB2023,2,"PB2022=2, PB2023=2"
2013,base,Procurement Quantity (Units in Each),2022,2,PB2024,2,"PB2022=2, PB2023=2, PB2024=2"
2013,base,Procurement Quantity (Units in Each),2023,2,PB2025,2,"PB2022=-, PB2023=2, PB2024=2, PB2025=2"
2013,base,Procurement Quantity (Units in Each),2024,2,PB2026,2,"PB2022=-, PB2023=2, PB2024=2, PB2025=2, PB2026=2"
2013,base,Procurement Quantity (Units in Each),2025,1,PB2027,2,"PB2022=-, PB2023=2, PB2024=2, PB2025=1, PB2026=1, PB2027=1"
2013,base,Procurement Quantity (Units in Each),2026,1,PB2027,1,"PB2022=-, PB2023=2, PB2024=2, PB2025=2, PB2026=1, PB2027=1"
2013,base,Procurement Quantity (Units in Each),2027,2,PB2027,0,"PB2023=2, PB2024=2, PB2025=2, PB2026=-, PB2027=2"
2013,base,Procurement Quantity (Units in Each),2028,2,PB2027,-1,"PB2024=2, PB2025=2, PB2026=-, PB2027=2"
2013,base,Procurement Quantity (Units in Each),2029,2,PB2027,-2,"PB2025=2, PB2026=-, PB2027=2"
2013,base,Procurement Quantity (Units in Each),2030,2,PB2027,-3,"PB2026=-, PB2027=2"
2013,base,Procurement Quantity (Units in Each),2031,2,PB2027,-4,PB2027=2
2013,base,Total Obligation Authority ($ in Millions),2020,"8,334.733",PB2022,2,"PB2022=8,334.733"
2013,base,Total Obligation Authority ($ in Millions),2021,"6,776.400",PB2023,2,"PB2022=6,776.400, PB2023=6,776.400"
2013,base,Total Obligation Authority ($ in Millions),2022,"6,339.647",PB2024,2,"PB2022=6,369.647, PB2023=6,339.647, PB2024=6,339.647"
2013,base,Total Obligation Authority ($ in Millions),2023,"6,864.537",PB2025,2,"PB2022=-, PB2023=6,864.537, PB2024=6,864.537, PB2025=6,864.537"
2013,base,Total Obligation Authority ($ in Millions),2024,"10,656.927",PB2026,2,"PB2022=-, PB2023=8,334.854, PB2024=10,513.684, PB2025=10,513.684, PB2026=10,656.927"
2013,base,Total Obligation Authority ($ in Millions),2025,"13,320.211",PB2027,2,"PB2022=-, PB2023=8,747.033, PB2024=10,163.748, PB2025=7,629.211, PB2026=13,320.211, PB2027=13,320.211"
2013,base,Total Obligation Authority ($ in Millions),2026,"6,377.536",PB2027,1,"PB2022=-, PB2023=7,778.226, PB2024=8,739.108, PB2025=9,515.336, PB2026=4,453.936, PB2027=6,377.536"
2013,base,Total Obligation Authority ($ in Millions),2027,"13,151.309",PB2027,0,"PB2023=7,515.906, PB2024=8,483.697, PB2025=9,258.588, PB2026=-, PB2027=13,151.309"
2013,base,Total Obligation Authority ($ in Millions),2028,"13,011.118",PB2027,-1,"PB2024=7,688.725, PB2025=8,612.728, PB2026=-, PB2027=13,011.118"
2013,base,Total Obligation Authority ($ in Millions),2029,"14,686.814",PB2027,-2,"PB2025=9,543.580, PB2026=-, PB2027=14,686.814"
2013,base,Total Obligation Authority ($ in Millions),2030,"12,268.711",PB2027,-3,"PB2026=-, PB2027=12,268.711"
2013,base,Total Obligation Authority ($ in Millions),2031,"12,016.801",PB2027,-4,"PB2027=12,016.801"
