LI,FY,Cost Category,Best Value $M,Source Vintage (PB Year),PB - FY,All Vintages Available
2013,2025,Plan Costs,2595.816,PB2027,2,"PB2025=382.816, PB2026=2595.816, PB2027=2595.816"
2013,2025,Propulsion Equipment,1004.950,PB2027,2,"PB2025=1004.950, PB2026=1004.950, PB2027=1004.950"
2013,2025,Technology Insertion,16.340,PB2027,2,"PB2025=16.340, PB2026=16.340, PB2027=16.340"
2013,2025,Total Ship Estimate,9500.534,PB2027,2,"PB2025=5759.534, PB2026=9500.534, PB2027=9500.534"
2013,2026,Basic Construction/Conversion,3136.792,PB2027,1,"PB2026=1681.909, PB2027=3136.792"
2013,2026,Change Orders,159.052,PB2027,1,PB2027=159.052
2013,2026,Electronics,598.515,PB2027,1,"PB2026=598.515, PB2027=598.515"
2013,2026,"Hull, Mechanical, and Electrical",150.015,PB2027,1,"PB2026=150.015, PB2027=150.015"
2013,2026,Other Cost,73.395,PB2027,1,PB2027=73.395
2013,2026,Plan Costs,219.603,PB2027,1,PB2027=219.603
2013,2026,Propulsion Equipment,1035.070,PB2027,1,"PB2026=1035.070, PB2027=1035.070"
2013,2026,Technology Insertion,16.667,PB2027,1,PB2027=16.667
2013,2026,Total Ship Estimate,5389.109,PB2027,1,"PB2026=3465.509, PB2027=5389.109"
2013,2027,Basic Construction/Conversion,8889.310,PB2027,0,PB2027=8889.310
2013,2027,Change Orders,181.415,PB2027,0,PB2027=181.415
2013,2027,Electronics,624.898,PB2027,0,PB2027=624.898
2013,2027,"Hull, Mechanical, and Electrical",153.016,PB2027,0,PB2027=153.016
2013,2027,Other Cost,74.863,PB2027,0,PB2027=74.863
2013,2027,Plan Costs,223.443,PB2027,0,PB2027=223.443
2013,2027,Propulsion Equipment,1273.090,PB2027,0,PB2027=1273.090
2013,2027,Technology Insertion,17.001,PB2027,0,PB2027=17.001
2013,2027,Total Ship Estimate,11437.036,PB2027,0,PB2027=11437.036
