program,vendor_key_uei,entity_uei,parent_uei,vendor_name,dollars_fy22_25_$M,dollars_all_$M,n_awards,naics4,current_basis,cum_unbucketed_fy22_25_$M,cum_share_of_supplier_fy22_25
submarines,VAX5URMCQMM5,VAX5URMCQMM5,VAX5URMCQMM5,"SI TECHNOLOGIES, INC",0.0,0.057,1,,residual,183.819,0.044
submarines,LG8PRS9MR697,LG8PRS9MR697,,SFC VALVE CORPORATION,0.0,0.092,3,,residual,183.819,0.044
submarines,XDBJX5QWAM86,XDBJX5QWAM86,XDBJX5QWAM86,"SAI SYSTEMS INTERNATIONAL, INC.",0.0,1.501,21,,residual,183.819,0.044
submarines,CZXNLVL5TBN3,CZXNLVL5TBN3,,ROANWELL CORPORATION,0.0,0.09,2,,residual,183.819,0.044
submarines,PM3QRNLPA8K5,PM3QRNLPA8K5,,"RILEY POWER GROUP, LLC",0.0,4.04,3,,residual,183.819,0.044
submarines,WFM2KCAVDX59,QDWGXNU1NLY9,WFM2KCAVDX59,Rexnord Corporation,0.0,1.281,4,,residual,183.819,0.044
submarines,FH3GTQ8ZKNT8,EARSLY8TTEC9,FH3GTQ8ZKNT8,"Atlas Holdings, LLC",0.0,0.434,9,,residual,183.819,0.044
submarines,CL4ZKLFK5DR3,DAR5NMQQMY53,CL4ZKLFK5DR3,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,0.0,0.519,6,,residual,183.819,0.044
submarines,RW4NDPS7PYF1,PFRSFST9SSL1,RW4NDPS7PYF1,"RPS HOLDINGS, INC.",0.0,1.576,6,,residual,183.819,0.044
submarines,DKSJBNE34MJ7,DKSJBNE34MJ7,DKSJBNE34MJ7,"Q-MATION, INC.",0.0,0.052,1,,residual,183.819,0.044
submarines,CDP5GEUN3JG1,CHSCLZAAPTQ3,CDP5GEUN3JG1,PULSAFEEDER INC A UNIT OF IDEX,0.0,0.184,2,,residual,183.819,0.044
submarines,QAANUA3XNWD3,MP94VMTR2DX4,QAANUA3XNWD3,PREECE INCORPORATED,0.0,0.308,3,,residual,183.819,0.044
submarines,MP94VMTR2DX4,MP94VMTR2DX4,,Preece Incorporated,0.0,0.009,1,,residual,183.819,0.044
submarines,WN3KS9Z5JLK9,WN3KS9Z5JLK9,,"PRECISION MACHINE & GEAR, INC.",0.0,2.465,43,,residual,183.819,0.044
submarines,RW9ZRN3J3KB3,RW9ZRN3J3KB3,RW9ZRN3J3KB3,"POWERHOUSE EQUIPMENT & ENGINEERING COMPANY, INC.",0.0,0.042,1,,residual,183.819,0.044
submarines,ERZRH1FL8R66,ERZRH1FL8R66,,"PLAINVILLE PLATING COMPANY, INC.",0.0,0.008,6,,residual,183.819,0.044
submarines,DMTPEM6MJPB8,DMTPEM6MJPB8,,PEARSE-BERTRAM LLC,0.0,0.033,1,,residual,183.819,0.044
submarines,S3NBXGNJ5433,S3NBXGNJ5433,S3NBXGNJ5433,"PCNET, INC.",0.0,0.958,14,,residual,183.819,0.044
submarines,S987C2WHMF29,SLTUM1DV4433,S987C2WHMF29,PNC Equity Partners LP,0.0,0.094,1,,residual,183.819,0.044
submarines,FFXKK2MMEM97,JLZUKW73FAM9,FFXKK2MMEM97,"Dynamic Precision Group, Inc.",0.0,4.423,26,,residual,183.819,0.044
submarines,C1VMWS2KV645,C1VMWS2KV645,C1VMWS2KV645,"OMNI SERVICES, INC.",0.0,0.209,5,,residual,183.819,0.044
submarines,K3K9GLKWAWQ1,K3K9GLKWAWQ1,K3K9GLKWAWQ1,"OHIO SEMITRONICS, INC",0.0,0.038,1,,residual,183.819,0.044
submarines,D6BPMCKP2FE4,D6BPMCKP2FE4,D6BPMCKP2FE4,"O.C. LUGO CO., INC., THE",0.0,0.302,2,,residual,183.819,0.044
submarines,R9EYKGK8NKA5,R9EYKGK8NKA5,,"NUFLO, INC.",0.0,11.952,15,,residual,183.819,0.044
submarines,NSEVFLRKSUV1,NSEVFLRKSUV1,NSEVFLRKSUV1,"NORTHLAND INDUSTRIAL TRUCK CO., INC.",0.0,0.057,2,,residual,183.819,0.044
submarines,YSLPMSZFE3M5,TGUHUW52MLE3,YSLPMSZFE3M5,"Insco Intermediate Holdings, Inc",0.0,0.232,5,,residual,183.819,0.044
