Subawardee UEI,Program,Subawardee Vendor Name,Parent UEI,Parent Vendor Name,Parent UEI(s)
CAKCE9S4WL78,DDG,"AZTEC GLOBAL SOLUTIONS, INC.",CAKCE9S4WL78,"AZTEC GLOBAL SOLUTIONS, INC.",CAKCE9S4WL78
DJG7NEG7QRK5,DDG,"HUNT VALVE COMPANY, INC.",FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.",FBJ9NCJE2J56; MENSE2ENG8J6
G15JF2TNVBL6,DDG,SIGNET MARITIME CORPORATION,G15JF2TNVBL6,SIGNET MARITIME CORPORATION,G15JF2TNVBL6
P4XPJNTCHB68,DDG,SCHOELLHORN - ALBRECHT MACHINE CO INC,P4XPJNTCHB68,SCHOELLHORN - ALBRECHT MACHINE CO INC,P4XPJNTCHB68
YD6LTFVUZNG1,DDG,RAYTHEON COMPANY,PPLZG8J3N9D4,RAYTHEON TECHNOLOGIES CORPORATION,EGAVSJTA2D81; PPLZG8J3N9D4
KB45YQR3KSL5,DDG,"MISSISSIPPI SECURITY POLICE, INC.",KB45YQR3KSL5,MISSISSIPPI SECURITY POLICE INC,KB45YQR3KSL5
FJMAMQK89ZB8,DDG,"CAMERON TECHNOLOGIES US, INC.",W1LDBNHD4EM7,Schlumberger N.V.,W1LDBNHD4EM7
JK4WJKLD44G9,DDG,"METALTEK INTERNATIONAL, INC.",JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",JK4WJKLD44G9
G9N1X873CYJ6,DDG,THE TIMKEN COMPANY,H4FZBFXLJ636,"TIMKEN COMPANY, THE",H4FZBFXLJ636
KHK8QYLFGLU1,DDG,Rolls-Royce Corporation,F32RBQ3CHAG9,ROLLS-ROYCE HOLDINGS PLC,F32RBQ3CHAG9
VXJMLWN9XU18,DDG,"BRADKEN - ATLAS, LLC",FLU4K8MGMZX7,"HITACHI, LTD.",FLU4K8MGMZX7
N7NUHPAKNME8,DDG,"CUBIC DEFENSE APPLICATIONS, INC.",KB43RQK7PAH3,Cubic Corporation,KB43RQK7PAH3
WWMME88ERQG5,DDG,"BESTWELD, INC.",WWMME88ERQG5,BESTWELD INC,WWMME88ERQG5
FUNJJEK23XN5,DDG,"TCH DISTRIBUTORS, LLC",FUNJJEK23XN5,"TCH DISTRIBUTORS, LLC",FUNJJEK23XN5
DQLZFV6PFCB9,DDG,"TATE ANDALE, LLC",DQLZFV6PFCB9,"TATE ANDALE, LLC",DQLZFV6PFCB9
XFM4VGW1NBE4,DDG,"L.C.DOANE COMPANY,THE",XFM4VGW1NBE4,"L.C.DOANE COMPANY,THE",XFM4VGW1NBE4
MSYWUDGYPKF5,DDG,"CP INDUSTRIES HOLDINGS, INC.",C8TMP34LW2L6,EVEREST KANTO CYLINDER LIMITED,C8TMP34LW2L6; RM4TFABVLPX4
JSAXGRLNEJ63,DDG,COLONNA'S SHIP YARD INCORPORATED,JSAXGRLNEJ63,COLONNA'S SHIP YARD INCORPORATED,JSAXGRLNEJ63
PW9GWUTL4KV5,DDG,"Us, Inc.",PW9GWUTL4KV5,"Us, Inc.",PW9GWUTL4KV5
F98TZC6J5XV1,DDG,ARC TECHNOLOGIES LLC,U6F2GHCNNH47,HEXCEL CORPORATION,F98TZC6J5XV1; U6F2GHCNNH47
LG8PRS9MR697,DDG,SFC Valve Corporation,,,
U3MMZ4SBMJJ3,DDG,"FINCANTIERI MARINE SYSTEMS NORTH AMERICA, INC.",NLXHHB71VMK5,REPUBBLICA ITALIANA,NLXHHB71VMK5; VVWBUNAVPF34
C6KWNDH3EEB5,DDG,"CARDINAL ENGINEERING, LLC",C6KWNDH3EEB5,"CARDINAL ENGINEERING, LLC",C6KWNDH3EEB5
LRYRHNM7EHJ8,DDG,"GAYLORD INDUSTRIES, INC.",RTYDEXYNEZS1,ILLINOIS TOOL WORKS INC.,RTYDEXYNEZS1
J7JJKMJGC7K1,DDG,"NAC GROUP, INC.",J7JJKMJGC7K1,"NAC GROUP, INC.",J7JJKMJGC7K1
ZFN2JJXBLZT3,DDG,LOCKHEED MARTIN CORPORATION,ZFN2JJXBLZT3,LOCKHEED MARTIN CORPORATION,ZFN2JJXBLZT3
ZVKEBJ4HQHB8,DDG,HEILIND MIL-AERO LLC,HTHFAYHMJWT4,"HEILIND ELECTRONICS, INC",HTHFAYHMJWT4
D9T3VK42BLV7,DDG,"MILWAUKEE COMPOSITES, INC.",,,
HNJDANSKDZK9,DDG,"SPECTRONICS, INC.",HNJDANSKDZK9,"Spectronics, Inc.",HNJDANSKDZK9
MHR1KKAZ1NH5,DDG,"EDRO CORPORATION, THE",,,
S4ZAF64LJ1G3,DDG,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",VF58HFRNGEL8,GENERAL DYNAMICS CORP,VF58HFRNGEL8
FWF8QBPCGLG3,DDG,GENERAL TOOL COMPANY,FWF8QBPCGLG3,GENERAL TOOL COMPANY,FWF8QBPCGLG3
HLW2GH7TF2M4,DDG,INDAL TECHNOLOGIES INC,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,J9V9SJL4CW97; PF8PJNVEPTJ1
W2H3SYSJNLK5,DDG,Arastaff,,,
TT9AGM31ZHM5,DDG,"BURK-KLEINPETER, INC.",TT9AGM31ZHM5,"BURK-KLEINPETER, INC.",TT9AGM31ZHM5
