Subawardee UEI,Program,Subawardee Vendor Name,Parent UEI,Parent Vendor Name,Parent UEI(s)
LCV2N9FVV739,Virginia,NORTHROP GRUMMAN SYSTEMS CORPORATION,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,NKVZLJL93QT6
YNJNTZWVC3H6,Virginia,BAE SYSTEMS LAND & ARMAMENTS L.P.,E5K9VR2A1MW9,BAE SYSTEMS PLC,E5K9VR2A1MW9; HPDLRXR4FYX5; PNQKKYEK31E3
E8LNMDLEKM35,Virginia,D.C. FABRICATORS INC.,,,
FLDEFFBLR5P3,Virginia,"GLOBE COMPOSITE SOLUTIONS, LLC",SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,SFBKRA9THBA3
WYDAKCJ5K219,Virginia,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,PF8PJNVEPTJ1
N1PJDANWUJ61,Virginia,SCOT FORGE COMPANY,N1PJDANWUJ61,SCOT FORGE COMPANY,N1PJDANWUJ61
YD1GK53355R5,Virginia,"PRECISION CUSTOM COMPONENTS, LLC",,,
WMXDDH6HJNA5,Virginia,HUNTINGTON INGALLS INCORPORATED,F9SDJAZFTLG6,"HUNTINGTON INGALLS INDUSTRIES, INC.",F9SDJAZFTLG6
JEP5GQGFPUL9,Virginia,PORTLAND VALVE LLC,U45EH8WMNF55,"Circor International, Inc.",L8T4R3N7ACL6; U45EH8WMNF55
PAH8M4BJACA5,Virginia,"TELEDYNE INSTRUMENTS, INC.",SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,SQ2DSCE69F15
G9HKMXL5L973,Virginia,"OIL STATES INDUSTRIES, INC",XFMBL7A963X9,"Oil States International, Inc.",G9HKMXL5L973; XFMBL7A963X9
SX6BF52K2WB1,Virginia,VACCO INDUSTRIES,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,SFBKRA9THBA3
SLD5KEGGLLZ3,Virginia,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,XEQ3L57D2J24
JKZNKGGWYZ87,Virginia,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,J9V9SJL4CW97; PF8PJNVEPTJ1
NYGUEDY27AM8,Virginia,CURTISS-WRIGHT FLOW CONTROL CORPORATION,J9V9SJL4CW97,"CURTISS-WRIGHT FLOW CONTROL SERVICE, LLC",J9V9SJL4CW97; PF8PJNVEPTJ1
RG6LJJM6JBS3,Virginia,"AUSTAL USA, LLC",UCWYBGRA11H1,,UCWYBGRA11H1
CBMZJ3Z5SC89,Virginia,GOODRICH CORP,EGAVSJTA2D81,,EGAVSJTA2D81; PPLZG8J3N9D4
FK17Z7DJWLL1,Virginia,Apco Technologies SA,FK17Z7DJWLL1,Apco Technologies SA,FK17Z7DJWLL1
F42BKS7EHCL8,Virginia,EMS DEVELOPMENT CORPORATION,SCWYXXK1EM13,ULTRA ELECTRONICS HOLDINGS PLC,F42BKS7EHCL8; SCWYXXK1EM13
WREEAHYMRQ45,Virginia,"PCB PIEZOTRONICS, INC.",PVMFSLG6GFF7,MTS SYSTEMS CORPORATION,CT5WNUADNZ44; PQNBC8KG93R3; PVMFSLG6GFF7; WREEAHYMRQ45
DK14KTLXA9M5,Virginia,"KME AMERICA MARINE TUBE & FITTING, LLC",DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC",DK14KTLXA9M5; XYCDRJ4BBZ34
DJG7NEG7QRK5,Virginia,"HUNT VALVE COMPANY, INC.",FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.",DJG7NEG7QRK5; FBJ9NCJE2J56; HG5LNJAG4LU8; MENSE2ENG8J6
MMCKJNNMSG23,Virginia,"ADVANCE MFG.CO., INC.",MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",MMCKJNNMSG23
WJ45NXW2TVD7,Virginia,MOOG INC.,L4ZMKLM4MPL3,MOOG INC.,L4ZMKLM4MPL3
Y6X3BDLEPNJ6,Virginia,"W INTERNATIONAL SC, LLC",,,
RLXQHCXFT513,Virginia,CUNICO CORPORATION,VDSCUPC2H3K7,Citadel Capital Corporation,VDSCUPC2H3K7
XQW8RJNNAXX8,Virginia,"W INTERNATIONAL, LLC",XQW8RJNNAXX8,"W INTERNATIONAL, LLC",XQW8RJNNAXX8
KYURG7LRSC89,Virginia,CIRCOR NAVAL SOLUTIONS LLC,U45EH8WMNF55,"Circor International, Inc.",GU5YDKH7GPF1; L8T4R3N7ACL6; U45EH8WMNF55
QNEXJLA47BM4,Virginia,"JAMESTOWN METAL MARINE SALES, INC.",QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",QNEXJLA47BM4
PUG1H9MFJD63,Virginia,"AMERICAN TANK & FABRICATING CO, THE",PUG1H9MFJD63,"AMERICAN TANK & FABRICATING CO, THE",PUG1H9MFJD63
K3XPS1HXNBF3,Virginia,"B & F MACHINE CO., INC.",K3XPS1HXNBF3,"B & F MACHINE CO., INC.",K3XPS1HXNBF3
UHXFGP3DCRK7,Virginia,HANSOME ENERGY SYSTEMS INC,UHXFGP3DCRK7,HANSOME ENERGY SYSTEMS INC,UHXFGP3DCRK7
K294P4QJHFU9,Virginia,MW JONES & COMPANY INC,,,
NEGFNA8YS723,Virginia,"ALLARD NAZARIAN GROUP, INC.",NEGFNA8YS723,"ALLARD NAZARIAN GROUP, INC.",NEGFNA8YS723
V1MQFNQB56Z5,Virginia,RIX INDUSTRIES,V1MQFNQB56Z5,RIX INDUSTRIES,V1MQFNQB56Z5
MU3CM1145E44,Virginia,PROGENY SYSTEMS CORPORATION,MU3CM1145E44,PROGENY SYSTEMS CORPORATION,MU3CM1145E44
GZ57A195G7K6,Virginia,WAUKESHA BEARINGS CORPORATION,JBMKQ8ZH6FN9,Dover Corporation,JBMKQ8ZH6FN9
PTMFLMD2CUB4,Virginia,"L3 TECHNOLOGIES, INC.",SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",DTZJAQF8NZA1; SJULQDJ8NZU7; XXP4PLFFFGK9
TZVRTYNM3MN3,Virginia,"PEGASUS STEEL, LLC",,,
E9DKKLZNCQS9,Virginia,AISH TECHNOLOGIES LTD,KDNEW5AC1X41,AGI UK ACQUISITION LIMITED,E9DKKLZNCQS9; KDNEW5AC1X41
C256E427Q518,Virginia,"DELTAK MANUFACTURING, INC.",,,
N79NY6FRL2F3,Virginia,CUSTOM ALLOY CORPORATION,N79NY6FRL2F3,CUSTOM ALLOY CORPORATION,N79NY6FRL2F3
F76KN7T9YP64,Virginia,WAUKESHA BEARINGS CORPORATION,F76KN7T9YP64,WAUKESHA BEARINGS CORPORATION,F76KN7T9YP64
KENVPMBVBT39,Virginia,"RHOADS METAL FABRICATIONS, INC.",KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",KENVPMBVBT39
LB1XJ5UY5961,Virginia,"CIRCOR PUMPS NORTH AMERICA, LLC",U45EH8WMNF55,"Circor International, Inc.",L8T4R3N7ACL6; U45EH8WMNF55
GLU5BML5XQK2,Virginia,Romey Paul Ventures LLC,,,
XDF1FRDG8KK4,Virginia,"FOSTER-MILLER, INC.",LL4CVJVLBGN1,QINETIQ GROUP PLC,LL4CVJVLBGN1; MS4MJ49T13Q8
TZLXM3NCC7D1,Virginia,EXIDE TECHNOLOGIES,M7B8XCG21XV3,EXIDE TECHNOLOGIES,M7B8XCG21XV3
W3KUJLTCRLV1,Virginia,AMMCON CORP.,W3KUJLTCRLV1,AMMCON CORP.,W3KUJLTCRLV1
JKPCAKFW8X93,Virginia,AMERICAST TECHNOLOGIES INC,FLU4K8MGMZX7,"HITACHI, LTD.",FLU4K8MGMZX7
FMC8BKMNMKF2,Virginia,"FLUID CONDITIONING PRODUCTS, INC.",FMC8BKMNMKF2,"FLUID CONDITIONING PRODUCTS, INC.",FMC8BKMNMKF2
JA2KCX21NL48,Virginia,"WARTSILA DEFENSE, INC.",GCWKULHML2S3,Wärtsilä Oyj Abp,GCWKULHML2S3
MF1LU8RPCMB8,Virginia,"RANOR, INC.",UMMDFSB4ARJ7,Techprecision Corporation,MF1LU8RPCMB8; UMMDFSB4ARJ7
TY25RCEB5FF3,Virginia,"COLLINS & JEWELL COMPANY, INC.",TY25RCEB5FF3,"COLLINS & JEWELL COMPANY, INC.",TY25RCEB5FF3
WPP2ABN6UCF5,Virginia,"L3 TECHNOLOGIES, INC.",XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",DTZJAQF8NZA1; SJULQDJ8NZU7; XXP4PLFFFGK9
JK4WJKLD44G9,Virginia,"METALTEK INTERNATIONAL, INC.",JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",JK4WJKLD44G9
N5KMLMXEPFM5,Virginia,PARKER-HANNIFIN CORPORATION,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,W138B61KN3Q7
HUDHMPV9B6M9,Virginia,NORTHROP GRUMMAN SYSTEMS CORPORATION,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,NKVZLJL93QT6
KZGEJ29ND6K3,Virginia,EVONIK CORPORATION,VLY1XBVNLJK8,RAG-Stiftung,VLY1XBVNLJK8
RYRLL49HWN65,Virginia,BAKER SHEET METAL CORPORATION,RYRLL49HWN65,BAKER SHEET METAL CORPORATION,RYRLL49HWN65
FYUJEKH32UF5,Virginia,"L.M. GILL WELDING & MANUFACTURING, L.L.C.",,,
X6N2CNV552X7,Virginia,"OCEANEERING INTERNATIONAL, INC.",CU6NGN3UKFA6,"OCEANEERING INTERNATIONAL, INC",CU6NGN3UKFA6; XBVZKN1HH445
NTREK31GP8N3,Virginia,KSARIA CORPORATION,NTREK31GP8N3,KSARIA CORPORATION,NTREK31GP8N3
NRCCMBKQ6FD7,Virginia,LEIDOS INNOVATIONS CORPORATION,ZL41ERXMPAR3,"LEIDOS HOLDINGS, INC.",ZL41ERXMPAR3
NVPEBL51CSF8,Virginia,"GUILL TOOL & ENGINEERING CO, INC.",,,
U4MMR7DR2DR7,Virginia,"JAL ENTERPRISES, INC.",,,
N5BYYW3MMFP7,Virginia,"HUTCHINSON AEROSPACE & INDUSTRY, INC.",E86GJS762JJ5,TOTAL SA,E86GJS762JJ5; ZVFUENFF77T1
GE4GA2B9JYF9,Virginia,"MERRILL TECHNOLOGIES GROUP, LLC",,,
GR2CKSBB4MB5,Virginia,LENAPE FORGED PRODUCTS CORP,,,
GXPHJRVG9MR7,Virginia,DRS NAVAL POWER SYSTEMS INC,W8PTMRME1496,LEONARDO SPA,E57FS3E4CQ19; W8PTMRME1496; YYVHWZMPP3F8
MC77SUMRLXY5,Virginia,"MILWAUKEE VALVE COMPANY, INC.",MC77SUMRLXY5,"MILWAUKEE VALVE COMPANY, INC.",JJMSRWKWWQ87; MC77SUMRLXY5
R9EYKGK8NKA5,Virginia,"NUFLO, INC.",,,
J8PKNJEX2MS2,Virginia,"LOCKWOOD BROTHERS, INC.",,,
G319AMB56SW5,Virginia,"901 D, LLC",WLEATDDTMCT3,"Graycliff Partners, LP",WLEATDDTMCT3
ZFQBUPK552C3,Virginia,THE H R HILLERY COMPANY,,,
FWF8QBPCGLG3,Virginia,GENERAL TOOL COMPANY,FWF8QBPCGLG3,GENERAL TOOL COMPANY,FWF8QBPCGLG3
E2P8AAJA2LK5,Virginia,"MICRO PRECISION, LLC",,,
JFHLZNJLWAN5,Virginia,"PARADIGM PRECISION HOLDINGS, LLC",FFXKK2MMEM97,"Dynamic Precision Group, Inc.",F17YKE4BDQS4; FFXKK2MMEM97
Q35JL9GFCAK3,Virginia,"MAROTTA CONTROLS, INC.",Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",Q35JL9GFCAK3
F1UZPBD1VBH9,Virginia,"LYME COMPUTER SYSTEMS, INC.",F1UZPBD1VBH9,"LYME COMPUTER SYSTEMS, INC.",F1UZPBD1VBH9
WESDY4U81NP8,Virginia,"TRIDENT MARITIME SYSTEMS - CAC, LLC",WESDY4U81NP8,"TRIDENT MARITIME SYSTEMS - CAC, LLC",WESDY4U81NP8
VKBFB8MAZ357,Virginia,TITANIUM FABRICATION CORPORATION,DNV6ZJNJPLW8,AMERICAN INDUSTRIAL ACQUISITION CORPORATION,DNV6ZJNJPLW8; VKBFB8MAZ357
FR7WWCCNBQZ6,Virginia,D K MACHINE INC,,,
MKXMUFJJYLY5,Virginia,WARD LEONARD CT LLC,CMANNFGEFNP6,Ward Leonard Holdings LLC,CMANNFGEFNP6; MENSE2ENG8J6
REXPSJ7NAHU8,Virginia,DERBYSHIRE MACHINE & TOOL CO,REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,REXPSJ7NAHU8
CE3HF8PLAFD3,Virginia,"MILWAUKEE VALVE COMPANY, LLC",,,
MWAKL633WET8,Virginia,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,PF8PJNVEPTJ1
JSAXGRLNEJ63,Virginia,"COLONNA'S SHIP YARD, INCORPORATED",JSAXGRLNEJ63,"COLONNA'S SHIP YARD, INCORPORATED",JSAXGRLNEJ63
CW48SQ7KJX68,Virginia,"CRAFT MACHINE WORKS, INC.",CW48SQ7KJX68,"CRAFT MACHINE WORKS, INC.",CW48SQ7KJX68
HQYTCMF5RGE4,Virginia,SHERBURN ELECTRONICS INC.,HQYTCMF5RGE4,SHERBURN ELECTRONICS INC.,HQYTCMF5RGE4
RDG4F8MZVDU1,Virginia,"POWER PARAGON, INC.",SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",SJULQDJ8NZU7
C1B6X8AADFB1,Virginia,"COMSACO, INC.",,,
VXHFDAKS2LZ6,Virginia,CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,,,
WAJ6RKYZTYL3,Virginia,C & C METALS ENGINEERING INC,WAJ6RKYZTYL3,C & C METALS ENGINEERING INC,WAJ6RKYZTYL3
HYNSUU4GPWA9,Virginia,GLOBAL EXECUTIVE SOLUTIONS LLC,,,
ZXNYWJ1KLDL9,Virginia,"SYMETRICS INDUSTRIES, LLC",UAC2KLJM4XY1,Transdigm Group Incorporated,UAC2KLJM4XY1
CN4DJZSKM3Y3,Virginia,"PENNSYLVANIA MACHINE WORKS, INC.",CN4DJZSKM3Y3,"PENNSYLVANIA MACHINE WORKS, INC.",CN4DJZSKM3Y3; XTYYPELG5MQ7
JRUCKDSNXKD5,Virginia,"ENTWISTLE COMPANY, THE",LNGAZMTYJPL3,The Entwistle Trust,LNGAZMTYJPL3
QVMBB4UCMEH4,Virginia,"ELECTRO MECHANICAL SPECIALISTS, LLC",QVMBB4UCMEH4,"ELECTRO MECHANICAL SPECIALISTS, LLC",QVMBB4UCMEH4
RBJHSL4MK9M8,Virginia,LANXESS SOLUTIONS US INC.,TM8BK53JMDF4,LANXESS AG,RBJHSL4MK9M8; TM8BK53JMDF4
ETWEE7EYY9G5,Virginia,COGITIC CORPORATION,USRQZ9JUAF88,,USRQZ9JUAF88
MVJ8B69F5CL6,Virginia,"RIGGINS COMPANY, L.C.",MVJ8B69F5CL6,"RIGGINS COMPANY, L.C.",MVJ8B69F5CL6
FH39KDCYBK21,Virginia,"Htp Meds, LLC",,,
MSYWUDGYPKF5,Virginia,"CP INDUSTRIES HOLDINGS, INC",RM4TFABVLPX4,,C8TMP34LW2L6; RM4TFABVLPX4
MXTJBDD1L4T4,Virginia,"TAYLOR DEVICES, INC.",MXTJBDD1L4T4,"TAYLOR DEVICES, INC.",MXTJBDD1L4T4
QB7EKDNK2E83,Virginia,SHELBY SUPPLY CO LLC,,,
LYV8XEV314F6,Virginia,UNIVERSAL MANUFACTURING CORP.,LYV8XEV314F6,UNIVERSAL MANUFACTURING CORP.,FP3BYCCPHDN3; LYV8XEV314F6
Y9KMLM1AFU63,Virginia,ROTRON INCORPORATED,N5KEKMFCWUR1,AMETEK INC.,N5KEKMFCWUR1
LJRBXLTGXN57,Virginia,"CEPEDA ASSOCIATES, INC.",,,
YWX1QLBKSQD7,Virginia,"PRC - DESOTO INTERNATIONAL, INC.",WA6MBG28BUQ5,"PPG INDUSTRIES, INC.",WA6MBG28BUQ5
XH9ADBLZRMF1,Virginia,MELLINGER ENGINEERING GROUP LLC,,,
WNDYZX3ALFB1,Virginia,"COMARK, LLC",NFADFBRR9XM6,"Source Code Midco, LLC",NFADFBRR9XM6; WNDYZX3ALFB1
JLZUKW73FAM9,Virginia,"Paradigm Precision Holdings, LLC",FFXKK2MMEM97,"Dynamic Precision Group, Inc.",FFXKK2MMEM97
U23DM4ULNLS3,Virginia,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,HPDLRXR4FYX5,,HPDLRXR4FYX5
D1L2HV3GLLY3,Virginia,TIOGA PIPE INC,D1L2HV3GLLY3,TIOGA PIPE INC,D1L2HV3GLLY3
K6LKL4BYZGZ6,Virginia,TRILOGIC SYSTEMS CORPORATION,,,
QV38GMJUBJQ3,Virginia,L3HARRIS MARITIME SERVICES INC,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC",PNE9R5EJMWK8; SJULQDJ8NZU7
WJ1XMJMTSYL9,Virginia,"PAROSCIENTIFIC, INC.",,,
M553NMG2GTR6,Virginia,NORTECH SYSTEMS INC,CDP4EDVLFNX9,,CDP4EDVLFNX9; UCNMVD1EMHN4
E3YNKWRANZ18,Virginia,"AQUA-CHEM, INC.",E3YNKWRANZ18,"AQUA-CHEM, INC.",E3YNKWRANZ18
LPY6KXBKHMK8,Virginia,"RHOADS INDUSTRIES, INC.",LPY6KXBKHMK8,"RHOADS INDUSTRIES, INC.",LPY6KXBKHMK8
NXGLEN3CK1N6,Virginia,"DATACON, INC.",NXGLEN3CK1N6,"DATACON, INC.",NXGLEN3CK1N6
D7HNEN3DAN36,Virginia,LEHIGH HEAVY FORGE CORP,CDVZLNCU7Z44,,CDVZLNCU7Z44; L1HLXNPQSKM7
HY9JJE3F4R25,Virginia,"WOLLASTON ALLOYS, INC.",CVVANE9FWYN6,Warburg Pincus LLC,CVVANE9FWYN6
YVBHN7GKLQ44,Virginia,"GLENAIR, INC.",YVBHN7GKLQ44,"GLENAIR, INC.",YVBHN7GKLQ44
GUD4TJE3FN31,Virginia,CIRCOR PUMPS NORTH AMERICA LLC,GU5YDKH7GPF1,,GU5YDKH7GPF1; N9UNRN3F79J1
ZW3UMG9YVNA9,Virginia,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",ZW3UMG9YVNA9,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",PNE9R5EJMWK8; SJULQDJ8NZU7; XXP4PLFFFGK9; ZW3UMG9YVNA9
GFCUEMH2CGN1,Virginia,RIVERHEAD BUILDING SUPPLY CORP.,GFCUEMH2CGN1,RIVERHEAD BUILDING SUPPLY CORP.,GFCUEMH2CGN1
MRGNDX62YHQ3,Virginia,Conrex Steel Ltd,X8TCJXY34WL3,Marshall-Barwick Holdings Inc,LBNEM5R1LNL8; X8TCJXY34WL3
QVJEVJHK3G31,Virginia,"AGGREKO, LLC",PM5WJ7WYPX53,AGGREKO PLC,HC6YKKPYB658; MC9KZKMUD8F8; PM5WJ7WYPX53
UE9QJD4KK1L6,Virginia,"LEIDOS, INC.",ZL41ERXMPAR3,"LEIDOS HOLDINGS, INC.",ZL41ERXMPAR3
JU5GNH1H5FV6,Virginia,DY4 INC.,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,PF8PJNVEPTJ1
KYFUJ83L3UY9,Virginia,CONE DRIVE OPERATIONS INC.,H4FZBFXLJ636,"TIMKEN COMPANY, THE",H4FZBFXLJ636; HKNRUKPH42N6; XBY5FEGMU441
U5DDDFM4LJS3,Virginia,"PRIME TECHNOLOGY, LLC",,,
CABCB9XBJHK5,Virginia,"APOLLO PROFESSIONAL SOLUTIONS, INC.",YA7EN5YYJYS8,"APOLLO PROFESSIONAL SOLUTIONS, INC.",YA7EN5YYJYS8
KNEFNMWXBK39,Virginia,JO-KELL INC.,KNEFNMWXBK39,JO-KELL INC.,KNEFNMWXBK39
ZPZMCRH2JSA3,Virginia,"EZEFLOW USA, INC.",ZPZMCRH2JSA3,EZEFLOW USA INC,ZPZMCRH2JSA3
NN7PCHZFNZP8,Virginia,GOODWIN STEEL CASTINGS LIMITED,RA8BS6AS7V54,,RA8BS6AS7V54
RK6GKSXPC8W7,Virginia,ARNOLD MAGNETICS CORPORATION,,,
UR64LG5YKUE8,Virginia,LYNN LADDER AND SCAFFOLDING CO INC,NPDPXRZGXXL3,"Lyn-Lad Group, Ltd.",NPDPXRZGXXL3; UR64LG5YKUE8
MYKLJHTX3MM7,Virginia,"LEIDOS, INC.",ZL41ERXMPAR3,"LEIDOS HOLDINGS, INC.",ZL41ERXMPAR3
KXWXRYB3FBW3,Virginia,FLOWSERVE CORP,YPQMZDVKS1K8,FLOWSERVE CORPORATION,YPQMZDVKS1K8
JU2ME5ZK8VL3,Virginia,"MMC METROLOGY LAB, INC",,,
TAB4FBLR5UM1,Virginia,ANIXTER INC.,HT2SC8NC87E1,Anixter International Inc.,HT2SC8NC87E1
HSV2N9ACRTJ6,Virginia,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL US LP,HSV2N9ACRTJ6,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL US LP,HSV2N9ACRTJ6; K9M4XM134HW6; MKRBJA6JXXS7
EDJPMQN1HSJ1,Virginia,"MSA SAFETY SALES, LLC",HJG5ZSLCMTJ9,MSA Safety Incorporated,EDJPMQN1HSJ1; HJG5ZSLCMTJ9
HDM5WRBME2K7,Virginia,ALLIANT TECHSYSTEMS OPERATIONS LLC,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,GJVCPEBZV574; NKVZLJL93QT6
R2D6XY1EM6J8,Virginia,"SENSARAS, LLC",R2D6XY1EM6J8,"SENSARAS, LLC",R2D6XY1EM6J8
PGWNKJF89FV5,Virginia,ELMA ELECTRONIC INC.,XLKTN1TLGB75,Elma Electronic AG,PGWNKJF89FV5; XLKTN1TLGB75
HA3UFSU8FN75,Virginia,"L3 TECHNOLOGIES, INC.",SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",SJULQDJ8NZU7; XXP4PLFFFGK9
QPB2M919LQM5,Virginia,MATERION BRUSH INC,QT9LCNSYE637,MATERION CORPORATION,QT9LCNSYE637
JH2CJYVWBME6,Virginia,"ROLLER BEARING COMPANY OF AMERICA, INC.",LC7UN8MJYCJ7,Rbc Bearings Incorporated,LC7UN8MJYCJ7
DDQCLD6FEJJ6,Virginia,"TOG MANUFACTURING COMPANY, INC.",RC1NNGFRMMM7,"STANLEY BLACK & DECKER, INC.",RC1NNGFRMMM7
E86EYMJR23D1,Virginia,"MELLINGER ENGINEERING, INCORPORATED",,,
PUVNWFNW5BG3,Virginia,VETERANS GROUP LLC,,,
EUB6UJ91Y997,Virginia,SENESCO MARINE LLC,UTMCRDABQS33,"Reinauer Transportation Companies, LLC",UTMCRDABQS33
WN3KS9Z5JLK9,Virginia,"PRECISION MACHINE & GEAR, INC.",,,
LL3PZJHUKZV3,Virginia,AMERICAN STEEL AND ALUMINUM LLC,KTSAL8YX2QQ5,,KTSAL8YX2QQ5
D6GJGD1KMH25,Virginia,"ANIXTER, INC",D6GJGD1KMH25,"Anixter, Inc",D6GJGD1KMH25
GFBTEVXB65X7,Virginia,"PCC ROLLMET, INC.",UU26FKF1MML6,BERKSHIRE HATHAWAY INC.,UU26FKF1MML6
SK3YCN3CHJD7,Virginia,"PLASTIC DISTRIBUTORS & FABRICATORS, INC.",,,
GYMLL74UL5Q8,Virginia,"HYDRASEARCH COMPANY, LLC",ULZEK7HDMS57,"Dvcc, LLC",ULZEK7HDMS57
EDNNTCM7SUS8,Virginia,"INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC",EDNNTCM7SUS8,"INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC",EDNNTCM7SUS8; KZA5CX3J8KE8
V73QNVKJWAJ9,Virginia,CRYSTAL GROUP INC.,M1DFCE4G2PM8,"DEXTER APACHE HOLDINGS, INC.",M1DFCE4G2PM8
XPJVJCWTHYV6,Virginia,ESCO GROUP INC,XPJVJCWTHYV6,"ESCO GROUP, INC.",XPJVJCWTHYV6
CG86N1ZC42B8,Virginia,AMMCON CORP.,W3KUJLTCRLV1,AMMCON CORP.,W3KUJLTCRLV1
UNG7G6S4JRA6,Virginia,"5TH AXIS, LLC",UNG7G6S4JRA6,5TH AXIS LLC,UNG7G6S4JRA6
SS8JL7WNHPX9,Virginia,"BURNS & MCDONNELL ENGINEERING COMPANY, INC.",Z8WNV7KTX267,"BURNS & MCDONNELL, INC.",Z8WNV7KTX267
Z89SS59265U9,Virginia,ESPEY MFG AND ELECTRONICS CORP,Z89SS59265U9,ESPEY MFG AND ELECTRONICS CORP,Z89SS59265U9
NMHFLDYJJ4C5,Virginia,LOCKHEED MARTIN CORPORATION,ZFN2JJXBLZT3,LOCKHEED MARTIN CORPORATION,ZFN2JJXBLZT3
T5C6JNLVSC17,Virginia,HYDRATIGHT OPERATIONS INC,,,
MKDGDE6K34N5,Virginia,"D. W. CLARK, INC",MKDGDE6K34N5,"D. W. CLARK, INC",MKDGDE6K34N5
YGGCA283C3P4,Virginia,HALE HAMILTON (VALVES) LIMITED,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",U45EH8WMNF55
Z86FMF9P1KD6,Virginia,"G. S. E. DYNAMICS, INC.",Z86FMF9P1KD6,"G. S. E. DYNAMICS, INC.",Z86FMF9P1KD6
ZVKEBJ4HQHB8,Virginia,HEILIND MIL-AERO LLC,HTHFAYHMJWT4,"HEILIND ELECTRONICS, INC",HTHFAYHMJWT4
U2PTLL8PXDE3,Virginia,"ABLE MACHINE TOOL SALES, INC.",,,
CR99X5Q2KQS1,Virginia,"L.B.I., INC.",CR99X5Q2KQS1,"LBI, INC.",CR99X5Q2KQS1
EU8ESM53JNE7,Virginia,LANXESS CORPORATION,J8EPCEKBCWN6,,J8EPCEKBCWN6
QLTXH525A671,Virginia,"RAPID PREP, LLC",QLTXH525A671,"RAPID PREP, LLC",QLTXH525A671
NGMSB6M2QKA4,Virginia,ASA ENVIRONMENTAL PRODUCTS INC,,,
NKNLZEBJBM67,Virginia,"TRANSDIGM, INC.",UAC2KLJM4XY1,Transdigm Group Incorporated,EUY1C3NM2WN3; UAC2KLJM4XY1
FFKCVFLHNTE7,Virginia,AMERICAN HYDRO CORPORATION,GCWKULHML2S3,Wärtsilä Oyj Abp,GCWKULHML2S3; ZBZVJGNBJ677
Y7N4SPXNK115,Virginia,CLEVELAND-CLIFFS STEEL LLC,EVP4KM37YU23,CLEVELAND-CLIFFS INC.,EVP4KM37YU23; W67WSNENMZF7
HJUAXSF12JR6,Virginia,"CUSTOM HYDRAULIC & MACHINE, INC.",,,
LG88NCWJ3A95,Virginia,"YOUNG ENGINEERING & MANUFACTURING, INC.",LG88NCWJ3A95,"YOUNG ENGINEERING & MANUFACTURING, INC.",LG88NCWJ3A95
FJAVFFKN2LE3,Virginia,"WATTEREDGE, INC.",L4QQJ4BH2726,SOUTHWIRE COMPANY,L4QQJ4BH2726
SE6NBH1ZRQN5,Virginia,VETERANS' GROUP LLC,,,
LZP6L339NKZ9,Virginia,MARINE POLYMERS INC,LZP6L339NKZ9,"MARINE POLYMERS, INC",LZP6L339NKZ9
JFSETNYJ81Y4,Virginia,ELECTRONIC COMPONENTS INC.,,,
