program,piid,vessel_class,builder,work_type,first_award,last_award,n_vendors,repeat_award_share,shared_vendor_pct,shared_vendor_pct_family,dollars_total,d_le_fy12,d_fy2013,d_fy2014,d_fy2015,d_fy2016,d_fy2017,d_fy2018,d_fy2019,d_fy2020,d_fy2021,d_fy2022,d_fy2023,d_fy2024,d_fy2025,d_fy2026,n_le_fy12,n_fy2013,n_fy2014,n_fy2015,n_fy2016,n_fy2017,n_fy2018,n_fy2019,n_fy2020,n_fy2021,n_fy2022,n_fy2023,n_fy2024,n_fy2025,n_fy2026,n_total
columbia,N0002417C2117,Columbia,GDEB,coatings,2018-03-01,2025-01-22,11,0.9927,0.4545,0.9091,77.748,0.0,0.0,0.0,0.0,0.0,0.0,21.71,0.967,1.926,6.99,5.354,15.215,18.897,6.688,0.0,0,0,0,0,0,0,14,8,4,10,24,39,29,9,0,137
columbia,N0002417C2117,Columbia,GDEB,hvac,2017-11-06,2024-10-17,8,1.0,0.625,1.0,82.729,0.0,0.0,0.0,0.0,0.0,0.0,1.595,15.441,0.226,2.458,13.868,20.202,12.636,16.303,0.0,0,0,0,0,0,0,8,9,1,24,14,22,10,1,0,89
columbia,N0002413C2128,Columbia,GDEB,unbucketed,2016-01-06,2020-01-14,106,0.7256,0.5943,0.7264,46.738,0.0,0.0,0.0,0.0,18.08,29.263,0.673,-1.465,0.187,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,78,120,11,5,1,0,0,0,0,0,0,215
columbia,N0002413C2128,Columbia,GDEB,piping,2016-01-06,2021-12-20,27,0.9889,0.9259,0.963,39.89,0.0,0.0,0.0,0.0,10.218,25.058,3.344,0.045,0.757,0.757,-0.289,0.0,0.0,0.0,0.0,0,0,0,0,38,118,14,2,2,2,4,0,0,0,0,180
columbia,N0002413C2128,Columbia,GDEB,structural,2016-02-09,2020-04-28,13,0.878,0.8462,0.9231,19.825,0.0,0.0,0.0,0.0,10.58,9.043,0.048,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,7,32,1,0,1,0,0,0,0,0,0,41
columbia,N0002413C2128,Columbia,GDEB,castings,2016-02-18,2019-12-03,4,0.9091,1.0,1.0,1.933,0.0,0.0,0.0,0.0,0.892,0.918,0.068,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,14,1,0,2,0,0,0,0,0,0,22
columbia,N0002413C2128,Columbia,GDEB,electrical,2016-04-26,2021-09-24,7,0.9091,1.0,1.0,7.002,0.0,0.0,0.0,0.0,1.381,3.971,0.361,0.0,0.0,1.288,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,12,3,0,0,2,0,0,0,0,0,22
columbia,N0002413C2128,Columbia,GDEB,coatings,2016-05-16,2019-03-05,5,0.9048,1.0,1.0,6.089,0.0,0.0,0.0,0.0,4.627,1.345,0.0,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,14,6,0,1,0,0,0,0,0,0,0,21
columbia,N0002413C2128,Columbia,GDEB,machining,2016-01-21,2021-02-12,6,1.0,1.0,1.0,2.135,0.0,0.0,0.0,0.0,0.079,1.557,0.24,0.0,0.0,0.259,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,8,4,0,0,3,0,0,0,0,0,17
columbia,N0002413C2128,Columbia,GDEB,hvac,2016-02-29,2021-07-09,6,0.7273,0.8333,1.0,4.795,0.0,0.0,0.0,0.0,3.928,0.565,0.102,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,3,1,0,0,1,0,0,0,0,0,11
