uei,name,sub_parent_uei,dollars,records,programs,foreign
GR6AZSV5DA93,International Chromium Plating Co Inc,,91440.00,3,ddg,
RHLAM7GSJGJ4,"HOTTINGER BALDWIN MEASUREMENTS, INC.",NSFAYV7YAJB1,91437.00,1,ddg,
Z2N8C3NL8FW5,"JOHNSON CONTROLS, INC.",XEQ3L57D2J24,91280.00,1,ddg,
JK5BGM73XQ58,FEOLE TECHNOLOGIES INC,,90617.91,2,ddg,
H63LK5CAFZ46,"W.W. GAY FIRE PROTECTION, INC.",LJNPJQVBN8R9,90560.00,2,ddg,
DVLSV4HZBX23,"EAST COAST METROLOGY, LLC",,90000.00,2,ddg,
CZXNLVL5TBN3,ROANWELL CORPORATION,,89650.00,2,ddg,
RDQDMFHFM8K3,R P M SUPPLY CORPORATION,,89600.00,1,ddg,
ZDVHY48UFHP5,"EFCO, INC.",ZDVHY48UFHP5,89115.00,1,ddg,
MQV3UDHJ5XM7,MISTRAS GROUP INC.,,87619.28,2,ddg,
WFBEV4JDZRN1,"RPKK, INC",,86763.10,2,ddg,
MKG5CAN2J8S7,"SAMTAN ENGINEERING, LLC",,86695.46,2,ddg,
WFN1L9K1LAL5,"CW RESOURCES, INC.",WFN1L9K1LAL5,86371.41,5,ddg,
MNZGEAM8WG31,"MAZZELLA LIFTING TECHNOLOGIES, INC.",MNZGEAM8WG31,85600.00,2,ddg,
J1PMKPB4HNN5,LEARN,,85360.00,1,ddg,
C2HBVLFX4AH7,"ARLAND TOOL & MFG., INC.",C2HBVLFX4AH7,85104.50,3,ddg,
DQAYCKTDLND5,"EAGLE INDUSTRIES OF LOUISIANA, L.L.C.",,84800.00,1,ddg,
ZQK7N3KY4UF8,"MACHINISTS, INC.",ZQK7N3KY4UF8,84560.00,1,ddg,
UYHRBG6RLS57,Northrop Grumman Corporation,NKVZLJL93QT6,84528.00,2,ddg,
GWJVH3CYE2F1,MID STATE FIRE EQUIPMENT INC,,84356.80,1,ddg,
KAJ2U4MCB329,"CHELSEA CLOCK, LLC, THE",,84252.00,3,ddg,
KFP8JR5HL191,ARA SERVICES LLC.,,84244.16,2,ddg,
PNHTDAAYRXL3,SPACECRAFT COMPONENTS CORP,PNHTDAAYRXL3,84146.05,5,ddg,
NDVTJ1J32N95,VALIN CORPORATION,NDVTJ1J32N95,83808.66,2,ddg,
M8JLMEHJADQ5,"BOEING COMPANY, THE",NU2UC8MX6NK1,83752.00,2,ddg,
EDLHL766DYP1,"WESCO DISTRIBUTION, INC.",LU7KP9UJJ5L7,83106.64,2,ddg,
E8QBZAUN1UL3,PALMER HOLLAND INC,,83060.00,1,ddg,
F4JJL7645T67,LEXINGTON SOFT LLC,,82862.60,2,ddg,
ZSJFXM833NA3,Xerox Corporation,JB4NTVR9XMN4,82394.00,3,ddg,
LFN2ND9H69T1,PARASOFT CORPORATION,LFN2ND9H69T1,81180.00,2,ddg,
JG24FKGD5Z77,"JOHN WATTS ASSOCIATES, INC.",JG24FKGD5Z77,80974.94,1,ddg,
J1HRLJ1Q1NT6,"MC2 SABTECH HOLDINGS, INC.",J1HRLJ1Q1NT6,80875.00,2,ddg,
V72KJGHK3JF2,MGR EQUIPMENT CORP,,80476.00,2,ddg,
YK4TPH3YV3S3,MARITIME APPLIED PHYSICS CORP,,80291.00,1,ddg,
XJQDNHHBFY98,TOTALSHIELD LLC,XJQDNHHBFY98,80000.00,1,ddg,
HHXEGAZL8618,SKOVIRA MACHINE COMPANY,,79800.00,1,ddg,
NAA7LGTT6WA4,"TRANSCAT, INC.",NAA7LGTT6WA4,79714.92,1,ddg,
WQ8LDD3N2K24,BRADDOCK HEAT TREATING COMPANY INC,DGRNR5KG8QU1,79671.06,20,ddg,
NTRTFZMT1WD1,GLOBAL COATINGS LLC,,79472.00,2,ddg,
GXELCCACKBN5,SEAL MASTER CORP,GXELCCACKBN5,79314.00,1,ddg,
QQ1JKV251EL9,ACCUREX MEASUREMENT INC.,,77988.00,1,ddg,
YA86NYHUA353,BRENNTAG LUBRICANTS,,77592.00,2,ddg,
ZZG5TB4JCKE1,"KAHN AND COMPANY, INCORPORATED",,77550.00,3,ddg,
X4UMAJJTMS97,GERMANE SYSTEMS LC,,76368.00,1,ddg,
NFEDFL5LKRN4,AMERICAN TOOLING CENTER INC,NFEDFL5LKRN4,76250.00,1,ddg,
KWAYELLKNP86,GET ENGINEERING CORP.,,75600.00,1,ddg,
DKWCJWBNHCL3,"NCP COATINGS, INC.",DKWCJWBNHCL3,75312.00,3,ddg,
PDJ4B4PSZK52,NEW ENGLAND INSTITUTE OF TECHNOLOGY,KXFDQ6DUKHK9,75000.00,1,ddg,
VC8CKKWDRPD6,Skills For Rhode Island's Future,,75000.00,1,ddg,
