Program,Prime PIID,Subawardee UEI,Subawardee Vendor Name,Reports,Distinct Subaward Numbers,Correction Actions,First Action,Last Action,Activity Span (Years),Net Subaward $M (FY2026$)
DDG,N0002411C2309,DQLZFV6PFCB9,"TATE ANDALE, INC.",,1,,,,,
DDG,N0002411C2309,HNAECT5M9TM4,"SOCAIL, LDA",,2,,,,,
DDG,N0002411C2309,FFZLXPAQCMD8,WHITING DOOR MANUFACTURING CORP.,,1,,,,,
DDG,N0002411C2309,EV4ZGUNNKMJ6,"PACIFIC SHIP REPAIR & FABRICATION, INC.",,1,,,,,
DDG,N0002411C2309,KXWXRYB3FBW3,FLOWSERVE CORPORATION,,2,,,,,
DDG,N0002411C2309,FECPDA1S8WJ1,D. W. BOYD CORPORATION,,1,,,,,
DDG,N0002411C2309,NQKEVF8KEMP1,PIVOTAL POWER INC,,2,,,,,
DDG,N0002411C2309,R1M8JJH7J5W5,"JOHNSON BRASS & MACHINE FOUNDRY, INC.",,1,,,,,
DDG,N0002411C2309,WPP2ABN6UCF5,"L3 TECHNOLOGIES, INC.",,1,,,,,
DDG,N0002411C2309,GJEXETZX4N96,SHIELD TECHNOLOGIES CORPORATION,,1,,,,,
DDG,N0002411C2309,U4MMR7DR2DR7,"JAL ENTERPRISES, INC.",,1,,,,,
DDG,N0002411C2309,MYJHF1S2HGV5,"EPSILON SYSTEMS SOLUTIONS, INC.",,1,,,,,
DDG,N0002411C2309,TAB4FBLR5UM1,ANIXTER INC.,,1,,,,,
DDG,N0002411C2309,LX5BF78ZTHW4,"HDT EXPEDITIONARY SYSTEMS, INC.",,1,,,,,
DDG,N0002411C2309,EEE8FHKK1YR9,"LAFAYETTE RESTAURANT SUPPLY, INC.",,1,,,,,
DDG,N0002411C2309,R71XN254HA36,AKRON BRASS COMPANY,,1,,,,,
DDG,N0002411C2309,N5KMLMXEPFM5,PARKER-HANNIFIN CORPORATION,,1,,,,,
DDG,N0002411C2309,ZE1KT2MPBGM3,"HARDING COMPANY, INC",,1,,,,,
DDG,N0002411C2309,D28HQ4AA2ZL8,"EFFORT FOUNDRY, INC.",,1,,,,,
DDG,N0002411C2309,MHR1KKAZ1NH5,"EDRO CORPORATION, THE",,1,,,,,
DDG,N0002411C2309,QYKAR7MJJXL7,"MEGGITT SAFETY SYSTEMS, INC.",,1,,,,,
DDG,N0002411C2309,V72KJGHK3JF2,MGR EQUIPMENT CORP,,1,,,,,
DDG,N0002411C2309,ZTBRMLGP4JF5,"VALLEN DISTRIBUTION, INC.",,1,,,,,
DDG,N0002411C2309,PW9GWUTL4KV5,U S INC,,1,,,,,
DDG,N0002411C2309,UES5F4AAZJK5,"DONALDSON COMPANY, INC.",,1,,,,,
DDG,N0002411C2309,S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",,1,,,,,
DDG,N0002411C2309,NGE4ALP2M661,"WEAVER SUPPLY COMPANY, LLC",,1,,,,,
DDG,N0002411C2309,N6U1EU32U9J1,"EST GROUP, INC.",,1,,,,,
DDG,N0002411C2309,LSGYNGHKB863,DEBAN ENTERPRISES INC,,1,,,,,
DDG,N0002411C2309,SVHJHMJH65S8,ULTRA ELECTRONICS OCEAN SYSTEMS INC,,1,,,,,
DDG,N0002411C2309,KB8ALFD8K1X8,Higgins Marine Services Inc,,1,,,,,
DDG,N0002411C2309,ZSJFXM833NA3,Xerox Corporation,,1,,,,,
DDG,N0002411C2309,LPN2BLLPK366,"EGGELHOF, INC.",,1,,,,,
DDG,N0002411C2309,JW6PXX1WALN4,HOWDEN NORTH AMERICA INC.,,1,,,,,
DDG,N0002411C2309,ELC5EVMWFVM8,"LAKE SHORE SYSTEMS, INC.",,1,,,,,
DDG,N0002411C2309,ZQ11WUWJGAA4,"KIDDE-FENWAL, INC.",,1,,,,,
DDG,N0002411C2309,G78MQ69BN636,AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,,1,,,,,
DDG,N0002411C2309,YVDFW51N3N61,"WALDO BROTHERS, INC.",,1,,,,,
DDG,N0002411C2309,M6ZTA4NZGLQ5,"ANDERSON METAL INDUSTRIES, INC.",,1,,,,,
DDG,N0002411C2309,V1MQFNQB56Z5,RIX INDUSTRIES,,1,,,,,
DDG,N0002411C2309,VHCPBNRMLK33,"ASSOCIATED FOOD EQUIPMENT AND SUPPLIES, INC.",,1,,,,,
DDG,N0002411C2309,CVMQHCRDBVT7,"KEVIN GROS CONSULTING & MARINE SERVICES, INC.",,1,,,,,
DDG,N0002413C2305,HLVBPCA2LH41,ROLLS-ROYCE MARINE NORTH AMERICA INC.,,18,,,,,
