Program,Prime PIID,Subawardee UEI,Subawardee Vendor Name,Reports,Distinct Subaward Numbers,Correction Actions,First Action,Last Action,Activity Span (Years),Net Subaward $M (FY2026$)
DDG,N0002413C2305,CR99X5Q2KQS1,LBI INC,,1,,,,,
DDG,N0002413C2305,FG19HT8C3MM4,"AMERICAN TRADE GROUP, INC., THE",,1,,,,,
DDG,N0002413C2305,LYV8XEV314F6,UNIVERSAL MANUFACTURING CORP.,,1,,,,,
DDG,N0002413C2307,HLVBPCA2LH41,ROLLS-ROYCE MARINE NORTH AMERICA INC.,,63,,,,,
DDG,N0002413C2307,HNAECT5M9TM4,"SOCAIL, LDA",,6,,,,,
DDG,N0002413C2307,J3AFGKXWYK73,YORK INTERNATIONAL CORPORATION,,28,,,,,
DDG,N0002413C2307,WUDSRNBSYC17,"ERIE FORGE AND STEEL, INC.",,9,,,,,
DDG,N0002413C2307,ZW3UMG9YVNA9,L-3 COMMUNICATIONS WESTWOOD CORPORATION,,31,,,,,
DDG,N0002413C2307,PQGNEEY9W5M3,NORTHROP GRUMMAN SYSTEMS CORPORATION,,31,,,,,
DDG,N0002413C2307,MEMSWT1LFU18,JERED LLC,,22,,,,,
DDG,N0002413C2307,CFXRGJSB9UB6,"SPD ELECTRICAL SYSTEMS, INC",,8,,,,,
DDG,N0002413C2307,GXPHJRVG9MR7,"DRS POWER & CONTROL TECHNOLOGIES, INC.",,49,,,,,
DDG,N0002413C2307,HLVNZXU8EAM1,POWER PARAGON INC,,24,,,,,
DDG,N0002413C2307,KCYPSYNH1M94,US JOINER LLC,,55,,,,,
DDG,N0002413C2307,VJMTKNLENX24,ENGINEERED COIL COMPANY,,32,,,,,
DDG,N0002413C2307,LM35HWEVUPH3,"ADI TECHNOLOGIES, INC.",,12,,,,,
DDG,N0002413C2307,QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC.",,37,,,,,
DDG,N0002413C2307,SSD8KRDXKG46,"HILLER COMPANIES, INC., THE",,19,,,,,
DDG,N0002413C2307,M4ELQDG7JLM5,"BUFFALO PUMPS, INC.",,15,,,,,
DDG,N0002413C2307,KNEFNMWXBK39,JO-KELL INC.,,46,,,,,
DDG,N0002413C2307,DWUHNL9BC3U7,"HOWELL LABORATORIES, INC.",,22,,,,,
DDG,N0002413C2307,XYNDM1Y7XGG7,AMERICAN METAL BEARING COMPANY,,14,,,,,
DDG,N0002413C2307,N5KMLMXEPFM5,PARKER-HANNIFIN CORPORATION,,9,,,,,
DDG,N0002413C2307,FGNQE3RF1FK5,"MORPAC INDUSTRIES, INC.",,14,,,,,
DDG,N0002413C2307,LCZDJ6YPNYG6,MARTIN ENERGY SERVICES LLC,,8,,,,,
DDG,N0002413C2307,Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,,15,,,,,
DDG,N0002413C2307,ZA1KMNAJMVT3,SURFACE TECHNOLOGIES CORPORATION,,24,,,,,
DDG,N0002413C2307,G78MQ69BN636,AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,,27,,,,,
DDG,N0002413C2307,HLFDNJU7KXJ1,BOGUE SYSTEMS INC.,,18,,,,,
DDG,N0002413C2307,WSK3WRSGKAU1,ALFA LAVAL INC.,,6,,,,,
DDG,N0002413C2307,MC77SUMRLXY5,"MILWAUKEE VALVE COMPANY, INC.",,49,,,,,
DDG,N0002413C2307,ELC5EVMWFVM8,OLDENBURG GROUP INCORPORATED,,30,,,,,
DDG,N0002413C2307,WMXDDH6HJNA5,HUNTINGTON INGALLS INCORPORATED,,8,,,,,
DDG,N0002413C2307,V1MQFNQB56Z5,RIX INDUSTRIES,,14,,,,,
DDG,N0002413C2307,JRUCKDSNXKD5,"ENTWISTLE COMPANY, THE",,24,,,,,
DDG,N0002413C2307,Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",,58,,,,,
DDG,N0002413C2307,FCK2D4PSV1L2,"DOVER ENERGY, INC.",,28,,,,,
DDG,N0002413C2307,LFVJABJDQVZ9,"W. & O. SUPPLY, INC.",,21,,,,,
DDG,N0002413C2307,JEP5GQGFPUL9,PORTLAND VALVE LLC,,16,,,,,
DDG,N0002413C2307,GCUTMML7MHH3,South Florida Van Lines Inc,,9,,,,,
DDG,N0002413C2307,FLMQAKFEMG64,INDEECO LLC,,23,,,,,
DDG,N0002413C2307,H1PAVTLJBJ88,TYCO FIRE PRODUCTS LP,,13,,,,,
DDG,N0002413C2307,RMLGMBGNPCC8,"KINGSBURY, INC.",,8,,,,,
DDG,N0002413C2307,LR2HQKYJLDZ7,ESI ACQUISITION CORP.,,18,,,,,
DDG,N0002413C2307,H2VUYH8JMBY9,CURTISS-WRIGHT FLOW CONTROL SERVICE CORPORATION,,5,,,,,
DDG,N0002413C2307,SKKACASET588,DYNALEC CORPORATION,,79,,,,,
DDG,N0002413C2307,KLDTZDR12ZB7,JUNIPER ELBOW CO. INC.,,24,,,,,
DDG,N0002413C2307,N6P1AGPMV456,EVAC NORTH AMERICA INC.,,15,,,,,
DDG,N0002413C2307,LGL1LNBH8KM5,"GRISWOLD INDUSTRIES, CO.",,23,,,,,
DDG,N0002413C2307,JA2KCX21NL48,"WARTSILA DEFENSE, INC.",,22,,,,,
DDG,N0002413C2307,F42BKS7EHCL8,EMS DEVELOPMENT CORPORATION,,5,,,,,
DDG,N0002413C2307,QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",,10,,,,,
DDG,N0002413C2307,ZLM5NQE8LSR8,"IMECO, INC.",,6,,,,,
DDG,N0002413C2307,V8HGGNTGDH59,PEERLESS MFG. CO.,,5,,,,,
DDG,N0002413C2307,KYURG7LRSC89,WARREN PUMPS LLC,,6,,,,,
DDG,N0002413C2307,LCYTE2L5JEP4,NAVAL ENGINEERING SUPPORT INC.,,13,,,,,
DDG,N0002413C2307,JW6PXX1WALN4,HOWDEN NORTH AMERICA INC.,,11,,,,,
DDG,N0002413C2307,J645RTMFWMW1,"MAXIM EVAPORATORS OF AMERICA, LLC",,3,,,,,
DDG,N0002413C2307,EV4ZGUNNKMJ6,"PACIFIC SHIP REPAIR & FABRICATION, INC.",,16,,,,,
DDG,N0002413C2307,MDH6KH9D4SG7,"ASCO POWER TECHNOLOGIES, L.P.",,5,,,,,
DDG,N0002413C2307,QYKAR7MJJXL7,"MEGGITT SAFETY SYSTEMS, INC.",,5,,,,,
DDG,N0002413C2307,PJRYS7EFXQD9,"B.N.L. INDUSTRIES, INC.",,22,,,,,
DDG,N0002413C2307,D44RA79E3K57,"PRECISION PRODUCTS, INC.",,19,,,,,
DDG,N0002413C2307,S1LJCH88WHT5,W.R. DAVIS ENGINEERING LIMITED,,5,,,,,
DDG,N0002413C2307,JR3NDKLB4BH9,PACIFIC MARINE SYSTEMS CORP,,14,,,,,
DDG,N0002413C2307,C6C8KS7Y1K76,MIDE TECHNOLOGY CORPORATION,,16,,,,,
DDG,N0002413C2307,JU2ME5ZK8VL3,"MMC METROLOGY LAB, INC",,17,,,,,
DDG,N0002413C2307,DQ35GXAUTW61,"INDUSTRIAL CORROSION CONTROL, INC.",,10,,,,,
DDG,N0002413C2307,FLQJXSFMNQP6,"LISTER CHAIN AND FORGE, INC.",,5,,,,,
DDG,N0002413C2307,E3YNKWRANZ18,"AQUA-CHEM, INC.",,5,,,,,
DDG,N0002413C2307,D2J1SSHB5EB7,THE HELLAN STRAINER CO,,12,,,,,
DDG,N0002413C2307,JNC1BUEVV3B9,"JGILS, LLC",,15,,,,,
DDG,N0002413C2307,GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",,5,,,,,
DDG,N0002413C2307,UTWXQFNH47D5,"MEGGITT (NORTH HOLLYWOOD), INC.",,5,,,,,
DDG,N0002413C2307,UK6NAHCH8459,"CAROLINA POWER SYSTEMS OF SUMTER, INC.",,10,,,,,
DDG,N0002413C2307,C1B6X8AADFB1,"COMSACO, INC.",,6,,,,,
DDG,N0002413C2307,F3XKPA82MHQ5,"NAG, LLC",,7,,,,,
DDG,N0002413C2307,M4ANYAZ8Q6H8,GEMS SENSORS INC.,,11,,,,,
DDG,N0002413C2307,KB45YQR3KSL5,"MISSISSIPPI SECURITY POLICE, INC.",,4,,,,,
DDG,N0002413C2307,JRHJJRY6DWK3,"CORNELL-CARR CO., INC.",,13,,,,,
DDG,N0002413C2307,NQKEVF8KEMP1,PIVOTAL POWER INC,,23,,,,,
DDG,N0002413C2307,VXJMLWN9XU18,"BRADKEN - ATLAS, LLC",,12,,,,,
DDG,N0002413C2307,K3URF4HUNQS5,"GLOBAL, INCORPORATED",,13,,,,,
DDG,N0002413C2307,TSCZLHCGNQ53,PECOFACET (OKLAHOMA) LLC,,8,,,,,
DDG,N0002413C2307,VDGQNU1VJC64,XCHANGER MANUFACTURING CORPORATION,,5,,,,,
DDG,N0002413C2307,NBM4G4SAFQM3,"QUALITY PERFORMANCE, INC.",,16,,,,,
DDG,N0002413C2307,DW33W8L3N1P8,"PHOENIX GROUP OF VIRGINIA, INC.",,6,,,,,
DDG,N0002413C2307,J8ATNVMEGLK1,"CHAND, L.L.C.",,13,,,,,
DDG,N0002413C2307,HUK5MJK4MH39,"LESLIE CONTROLS, INC.",,8,,,,,
DDG,N0002413C2307,KHK8QYLFGLU1,Rolls-Royce Corporation,,1,,,,,
DDG,N0002413C2307,MMDRDDVELDX8,DANTE VALVE COMPANY INC,,19,,,,,
DDG,N0002413C2307,G15JF2TNVBL6,SIGNET MARITIME CORPORATION,,8,,,,,
DDG,N0002413C2307,L2EDH4DX27J5,"WILLIAM E WILLIAMS, VALVE CORP",,9,,,,,
DDG,N0002413C2307,HMBSX7Z72UK4,"WESTLAND TECHNOLOGIES, INC.",,11,,,,,
DDG,N0002413C2307,QVTKQ7LJE196,M. T. DAVIDSON COMPANY,,10,,,,,
DDG,N0002413C2307,DJG7NEG7QRK5,"HUNT VALVE COMPANY, INC.",,10,,,,,
DDG,N0002413C2307,PNLJW4UFU1A8,"MARK C. POPE ASSOCIATES, INC.",,2,,,,,
DDG,N0002413C2307,CXZ9PUEZ5SQ7,BLACK & DECKER (U.S.) INC.,,4,,,,,
DDG,N0002413C2307,ZFN2JJXBLZT3,LOCKHEED MARTIN CORPORATION,,7,,,,,
DDG,N0002413C2307,FJMAMQK89ZB8,"CAMERON TECHNOLOGIES US, INC.",,5,,,,,
DDG,N0002413C2307,S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",,6,,,,,
DDG,N0002413C2307,RJGEKQDTZKT8,"ELECTRIC HEATER COMPANY, THE",,5,,,,,
DDG,N0002413C2307,M467BSNHK9J8,KATO ENGINEERING INC.,,5,,,,,
DDG,N0002413C2307,EZVMH8VEGL34,"BAUER COMPRESSORS, INC.",,6,,,,,
DDG,N0002413C2307,JGNYLKEPEBL4,"PEMCO-NAVAL ENGINEERING WORKS, INC.",,17,,,,,
DDG,N0002413C2307,JKPCAKFW8X93,AMERICAST TECHNOLOGIES INC,,7,,,,,
DDG,N0002413C2307,DV6YQV71ME11,Mar-Vac Products Inc,,14,,,,,
DDG,N0002413C2307,DKJ1R5ABCN48,SERCO INC.,,7,,,,,
DDG,N0002413C2307,YMKJUADMJN79,"TRI-TEC MANUFACTURING, LLC",,11,,,,,
DDG,N0002413C2307,CJF6S4UR1LM8,EVOQUA WATER TECHNOLOGIES LLC,,7,,,,,
DDG,N0002413C2307,W2GBUE64GMZ6,"DERBYSHIRE MARINE PRODUCTS, LLC",,15,,,,,
DDG,N0002413C2307,V32LJNFLKBT7,RFD BEAUFORT INC.,,4,,,,,
DDG,N0002413C2307,WWMME88ERQG5,"BESTWELD, INC.",,11,,,,,
DDG,N0002413C2307,NL7RNBHWHJQ1,DRS TECHNOLOGIES CANADA LTD,,13,,,,,
DDG,N0002413C2307,MYJHF1S2HGV5,"EPSILON SYSTEMS SOLUTIONS, INC.",,13,,,,,
DDG,N0002413C2307,ZJYJB7MBFE56,"CRANE PUMPS & SYSTEMS, INC.",,5,,,,,
DDG,N0002413C2307,MHR1KKAZ1NH5,"EDRO CORPORATION, THE",,11,,,,,
DDG,N0002413C2307,M8ZHL8ZXGQP5,"CHROMALOX, INC.",,5,,,,,
DDG,N0002413C2307,JK16ZQ9FRJ51,TAVERNIER DIDIER,,6,,,,,
DDG,N0002413C2307,QEP4TKLKQDV3,"U.S. PIONEER, L.L.C.",,10,,,,,
DDG,N0002413C2307,FFZLXPAQCMD8,WHITING DOOR MANUFACTURING CORP.,,5,,,,,
DDG,N0002413C2307,G9N1X873CYJ6,TIMKEN US LLC,,4,,,,,
DDG,N0002413C2307,FRJQGQHDX4J3,"L3 TECHNOLOGIES, INC.",,2,,,,,
DDG,N0002413C2307,WPP2ABN6UCF5,"L3 TECHNOLOGIES, INC.",,7,,,,,
DDG,N0002413C2307,H11HD5VHGHN3,Lockheed Martin Corporation,,1,,,,,
DDG,N0002413C2307,N5RJW5NX32Y1,W R SYSTEMS LTD.,,5,,,,,
DDG,N0002413C2307,YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.",,2,,,,,
DDG,N0002413C2307,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",,7,,,,,
DDG,N0002413C2307,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",,3,,,,,
DDG,N0002413C2307,CW48SQ7KJX68,"CRAFT MACHINE WORKS, INC.",,1,,,,,
DDG,N0002413C2307,F98TZC6J5XV1,"ARC TECHNOLOGIES, INC.",,5,,,,,
DDG,N0002413C2307,T99DCLB5NRH7,"OCENCO, INCORPORATED",,2,,,,,
DDG,N0002413C2307,KTMAJCY6JXM3,"LEIDOS, INC.",,4,,,,,
DDG,N0002413C2307,RLXQHCXFT513,CUNICO CORPORATION,,6,,,,,
DDG,N0002413C2307,GNFJGT9MKJW5,"CONNECTICUT VALLEY INDUSTRIES, LLC",,4,,,,,
DDG,N0002413C2307,LRYRHNM7EHJ8,"GAYLORD INDUSTRIES, INC.",,5,,,,,
DDG,N0002413C2307,PW9GWUTL4KV5,U S INC,,9,,,,,
DDG,N0002413C2307,XK68QNYRQCH8,"AMERICAN BOA, INCORPORATED",,5,,,,,
DDG,N0002413C2307,WVW5FMYALEL6,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",,5,,,,,
DDG,N0002413C2307,XTB5UHKL6VE8,"SEA-TECH PRODUCTS, INC.",,4,,,,,
DDG,N0002413C2307,PDZUR2FMYD89,"RANGER ENVIRONMENTAL SERVICES, LLC",,5,,,,,
DDG,N0002413C2307,V16LFA3JDR14,Limitorque Corporation,,5,,,,,
DDG,N0002413C2307,SLTUM1DV4433,"PARASENSE, INC",,8,,,,,
DDG,N0002413C2307,KKRXVDJZQ5V5,KEYSTONE FIRE PROTECTION CO.,,5,,,,,
DDG,N0002413C2307,REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,,5,,,,,
DDG,N0002413C2307,TAB4FBLR5UM1,ANIXTER INC.,,5,,,,,
DDG,N0002413C2307,JFEWJZWTH4W4,The Tool House Inc,,3,,,,,
DDG,N0002413C2307,DQLZFV6PFCB9,"TATE ANDALE, INC.",,6,,,,,
DDG,N0002413C2307,VJSTD8U7QBD9,"SAFARILAND, LLC",,7,,,,,
DDG,N0002413C2307,T2VFE1NGR3G5,"DRS TRAINING & CONTROL SYSTEMS, LLC",,3,,,,,
DDG,N0002413C2307,CJ8CQLEM2RW3,"SYSCO USA II, LLC",,3,,,,,
DDG,N0002413C2307,XGUEGCF761T9,THE LOUISIANA ASSOCIATION FOR THE BLIND,,5,,,,,
DDG,N0002413C2307,CAKCE9S4WL78,"AZTEC GLOBAL SOLUTIONS, INC.",,9,,,,,
DDG,N0002413C2307,QH1NZM6TK6C9,"TEATR MUZYKI I POEZII P/R E.KAMBUROVOI, GBU",,3,,,,,
DDG,N0002413C2307,MSYWUDGYPKF5,"CP INDUSTRIES HOLDINGS, INC.",,6,,,,,
DDG,N0002413C2307,LX5BF78ZTHW4,"HDT EXPEDITIONARY SYSTEMS, INC.",,5,,,,,
DDG,N0002413C2307,ED16VKVTCHC8,ECI DEFENSE GROUP INC,,1,,,,,
DDG,N0002413C2307,LQP7LJVDX6M6,"WESCO DISTRIBUTION, INC.",,5,,,,,
DDG,N0002413C2307,J7JGTBNSM619,MEGATOR CORPORATION,,9,,,,,
DDG,N0002413C2307,J7JJKMJGC7K1,"NAC GROUP, INC.",,4,,,,,
DDG,N0002413C2307,K574V7KEQUC8,"CIRCOR AEROSPACE, INC.",,1,,,,,
DDG,N0002413C2307,HNJDANSKDZK9,"SPECTRONICS, INC.",,6,,,,,
DDG,N0002413C2307,CWM4UN76ZQW8,LOCKHEED MARTIN CORPORATION,,2,,,,,
DDG,N0002413C2307,HLE1E2KALJA5,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",,3,,,,,
DDG,N0002413C2307,FREEMCLKFXE3,BATH IRON WORKS CORPORATION,,2,,,,,
DDG,N0002413C2307,C18KXNHETC95,"KITCO FIBER OPTICS, INC.",,1,,,,,
DDG,N0002413C2307,FWF8QBPCGLG3,GENERAL TOOL COMPANY,,4,,,,,
DDG,N0002413C2307,NGE4ALP2M661,"WEAVER SUPPLY COMPANY, LLC",,7,,,,,
DDG,N0002413C2307,ZVCNH5GL1Z83,Core Active Fixed Income,,4,,,,,
DDG,N0002413C2307,WAK3LFCLKJR4,BELL STEEL COMPANY,,4,,,,,
DDG,N0002413C2307,FVFNV3NERP36,"POWERSTAR, INC.",,3,,,,,
DDG,N0002413C2307,LSGYNGHKB863,DEBAN ENTERPRISES INC,,5,,,,,
DDG,N0002413C2307,LN9YKAX66918,"KULITE SEMICONDUCTOR PRODUCTS, INC",,6,,,,,
DDG,N0002413C2307,R71XN254HA36,AKRON BRASS COMPANY,,3,,,,,
DDG,N0002413C2307,PB11V1KH3KV4,SOUTHWEST RESEARCH INSTITUTE,,6,,,,,
DDG,N0002413C2307,CYJ3L6SQANB4,"SPARTON AYDIN, LLC",,4,,,,,
DDG,N0002413C2307,EEJPJ342F3P1,"TABET MANUFACTURING COMPANY, INC.",,3,,,,,
DDG,N0002413C2307,PGNTKH2XZAN5,"DEFENSE TECHNOLOGIES, INC.",,3,,,,,
DDG,N0002413C2307,U4MMR7DR2DR7,"JAL ENTERPRISES, INC.",,3,,,,,
DDG,N0002413C2307,R1M8JJH7J5W5,"JOHNSON BRASS & MACHINE FOUNDRY, INC.",,4,,,,,
DDG,N0002413C2307,VD5WUGZUCJ44,"Triple Son Wholesale Timber, Inc.",,2,,,,,
DDG,N0002413C2307,FZPYZ11SFNA6,TIMKEN GEARS & SERVICES INC.,,2,,,,,
DDG,N0002413C2307,S1TGQ9L36486,"TOOL-SMITH COMPANY, INCORPORATED",,3,,,,,
DDG,N0002413C2307,XECCFU26TTP9,"Moniteq, Inc.",,4,,,,,
DDG,N0002413C2307,YNJNTZWVC3H6,BAE SYSTEMS LAND & ARMAMENTS L.P.,,2,,,,,
DDG,N0002413C2307,M6ZTA4NZGLQ5,"ANDERSON METAL INDUSTRIES, INC.",,5,,,,,
DDG,N0002413C2307,JZXZSN3BBL98,SIEMENS INDUSTRY INC.,,1,,,,,
DDG,N0002413C2307,P3ZZEMCBYSK7,"JANSENEERING, INC.",,3,,,,,
DDG,N0002413C2307,SVHJHMJH65S8,ULTRA ELECTRONICS OCEAN SYSTEMS INC,,3,,,,,
DDG,N0002413C2307,JL4THZCMNKR7,JACKSON PLATING CO.,,3,,,,,
DDG,N0002413C2307,LCKATM42Y1M1,"ARGON ST, INC.",,2,,,,,
DDG,N0002413C2307,NK1RB5VKXES9,"DETROIT SWITCH, INC.",,5,,,,,
DDG,N0002413C2307,QV38GMJUBJQ3,"L3 UNIDYNE, INC.",,2,,,,,
DDG,N0002413C2307,H12BMH6V6495,"PIMA VALVE, INC.",,5,,,,,
DDG,N0002413C2307,Q4LMAMECTR44,"CONNECTOR SPECIALISTS, INC.",,3,,,,,
DDG,N0002413C2307,D28HQ4AA2ZL8,"EFFORT FOUNDRY, INC.",,3,,,,,
DDG,N0002413C2307,GU9WXNREUPZ1,FORENTA L.P.,,5,,,,,
DDG,N0002413C2307,LGVPVLMRHH51,"W. & O. SUPPLY, INC.",,2,,,,,
DDG,N0002413C2307,E383LRP25MY6,YOUNG ENGINEERING COMPANY INC.,,2,,,,,
DDG,N0002413C2307,K783PK4DZEE3,"ADVANTEC MANUFACTURING USA, INC.",,2,,,,,
DDG,N0002413C2307,UES5F4AAZJK5,"DONALDSON COMPANY, INC.",,4,,,,,
DDG,N0002413C2307,FD69PPCVM2B8,"PASCAGOULA LAUNCH SERVICE, INC",,4,,,,,
DDG,N0002413C2307,N16ET1YJ6QZ3,"ROMAC INDUSTRIES, INC.",,3,,,,,
DDG,N0002413C2307,NB2HLRTJJJQ7,WATTS WATER TECHNOLOGIES INC,,4,,,,,
DDG,N0002413C2307,FMKADN1KAXH6,"HOSE-MCCANN TELEPHONE CO., INC.",,3,,,,,
DDG,N0002413C2307,H3R3VV5YN8G4,KW BOATS,,2,,,,,
DDG,N0002413C2307,JJRDPJY9GQA8,"FLETCHER CONSTRUCTION COMPANY, INC.",,4,,,,,
DDG,N0002413C2307,QMXJLLJZ5QY4,TORK SYSTEMS INC,,1,,,,,
DDG,N0002413C2307,KXWXRYB3FBW3,FLOWSERVE CORPORATION,,1,,,,,
DDG,N0002413C2307,T4RCBDVMPVM4,"MEGGITT DEFENSE SYSTEMS, INC.",,3,,,,,
DDG,N0002413C2307,FUNJJEK23XN5,"TCH DISTRIBUTORS, LLC",,3,,,,,
DDG,N0002413C2307,JAM1MGE5VDJ7,"PACIFIC WESTERN LUMBER, INC.",,1,,,,,
DDG,N0002413C2307,FNQSY3S2MCM9,"STS OPERATING, INC.",,3,,,,,
DDG,N0002413C2307,RHLAM7GSJGJ4,"HOTTINGER BALDWIN MEASUREMENTS, INC.",,1,,,,,
DDG,N0002413C2307,DYJZZ9DANLM3,Ralph & Dorothy Moore,,3,,,,,
DDG,N0002413C2307,QF3MD1MU1651,"J.G.B. ENTERPRISES, INC.",,2,,,,,
DDG,N0002413C2307,KAJ2U4MCB329,"CHELSEA CLOCK, LLC, THE",,3,,,,,
DDG,N0002413C2307,KFP8JR5HL191,ARA SERVICES LLC.,,2,,,,,
DDG,N0002413C2307,M8JLMEHJADQ5,"BOEING COMPANY, THE",,2,,,,,
DDG,N0002413C2307,CQQUMMDARBG3,THE DEWEY ELECTRONICS CORPORATION,,3,,,,,
DDG,N0002413C2307,HUKGWGAFW4C7,SOUNDOWN CORPORATION,,1,,,,,
DDG,N0002413C2307,CBMZJ3Z5SC89,GOODRICH CORPORATION,,2,,,,,
DDG,N0002413C2307,QFG7EC12DQK4,"UNITED RENTALS (NORTH AMERICA), INC.",,2,,,,,
DDG,N0002413C2307,G319AMB56SW5,"901 D, LLC",,1,,,,,
DDG,N0002413C2307,LCTCMUR9KYB6,"CAJUN PROCESS SOLUTIONS, LLC",,2,,,,,
DDG,N0002413C2307,E6ACL8BWKN47,"ENERGY FOCUS, INC.",,1,,,,,
DDG,N0002413C2307,XK8VBJ94L4E9,ASI MARINE & INDUSTRIAL INC,,1,,,,,
DDG,N0002413C2307,J1T1FEN3PWX6,GENERAL ELECTRIC COMPANY,,2,,,,,
DDG,N0002413C2307,HYN4GBTR6TF3,GULF COAST MARINE SUPPLY COMPANY,,2,,,,,
DDG,N0002413C2307,K7L6DELLDU47,"GULF SALES AND SUPPLY, INCORPORATED",,2,,,,,
DDG,N0002413C2307,ZTBRMLGP4JF5,"VALLEN DISTRIBUTION, INC.",,1,,,,,
DDG,N0002413C2307,FNQARYRJJEL5,"COSPOLICH, INC.",,2,,,,,
DDG,N0002413C2307,EANJVKFHMSZ8,"GULF FASTENER, INC.",,2,,,,,
DDG,N0002413C2307,KB8ALFD8K1X8,Higgins Marine Services Inc,,2,,,,,
DDG,N0002413C2307,NTREK31GP8N3,KSARIA CORPORATION,,1,,,,,
DDG,N0002413C2307,HUYTR5ZGSSN6,"W. & O. SUPPLY, INC.",,1,,,,,
DDG,N0002413C2307,GGERZB4A1FB3,"WBPARTS, INC.",,4,,,,,
DDG,N0002413C2307,RU3QHCAJP492,"HOFFER FLOW CONTROLS, INC.",,2,,,,,
DDG,N0002413C2307,J6DMEL935CD1,XYLEM INC.,,2,,,,,
DDG,N0002413C2307,GJEXETZX4N96,SHIELD TECHNOLOGIES CORPORATION,,2,,,,,
DDG,N0002413C2307,P4XPJNTCHB68,"SCHOELLHORN - ALBRECHT MACHINE CO., INC.",,2,,,,,
DDG,N0002413C2307,MSSQQ551LG41,"IMPRES TECHNOLOGY SOLUTIONS, INC.",,1,,,,,
DDG,N0002413C2307,RYYRAAAGPXB5,"STOCKERT, LAURA",,1,,,,,
DDG,N0002413C2307,ZZG5TB4JCKE1,"KAHN AND COMPANY, INCORPORATED",,2,,,,,
DDG,N0002413C2307,JGLLLKELFB57,ITT CORPORATION,,1,,,,,
DDG,N0002413C2307,NE3DARLAMEN6,"PROCESS ENGINEERING COMPANY, INC.",,1,,,,,
DDG,N0002413C2307,FECPDA1S8WJ1,D. W. BOYD CORPORATION,,1,,,,,
DDG,N0002413C2307,MMTME6UEFEC5,"EIS, INC.",,1,,,,,
DDG,N0002413C2307,W547TUQXJ8Y4,CARVER PUMP COMPANY (INC),,1,,,,,
DDG,N0002413C2307,ZQ11WUWJGAA4,"KIDDE-FENWAL, INC.",,1,,,,,
DDG,N0002413C2307,J5AJWFZ9H8Q6,"MCNALLY INDUSTRIES, LLC",,1,,,,,
DDG,N0002413C2307,ZVKEBJ4HQHB8,"HEILIND MIL-AERO, LLC",,1,,,,,
DDG,N0002413C2307,YET2PMM1L7J4,AUTOMATED PRECISION INC.,,1,,,,,
DDG,N0002413C2307,V6JXCLR8QR37,RHINESTAHL CORPORATION,,1,,,,,
DDG,N0002413C2307,ZE1KT2MPBGM3,"HARDING COMPANY, INC",,1,,,,,
DDG,N0002413C2307,P4NMA2SHLR53,"CORNET TECHNOLOGY, INC.",,1,,,,,
DDG,N0002413C2307,ZTAFBECM35Z6,TECNICO CORPORATION,,1,,,,,
DDG,N0002413C2307,LXUMZZ3LETN5,"TEAM INDUSTRIAL SERVICES, INC.",,1,,,,,
DDG,N0002413C2307,X51YWDJN2ED6,HORIZONS INCORPORATED,,1,,,,,
DDG,N0002413C2307,W2H3SYSJNLK5,Arastaff,,1,,,,,
DDG,N0002413C2307,VNP2L293JWL6,"CONTINENTAL MICROWAVE AND TOOL CO., INC.",,1,,,,,
DDG,N0002413C2307,KJWPVM8EMCN5,"M2 GLOBAL TECHNOLOGY, LTD.",,1,,,,,
DDG,N0002413C2307,XKM7WDHK1DA7,"RECLAMATION TECHNOLOGIES, INC.",,1,,,,,
DDG,N0002413C2307,QQ7DAUGJ6MC7,CPI RADANT TECHNOLOGIES DIVISION INC.,,1,,,,,
DDG,N0002413C2307,DZTKCR7BXVJ5,"LABORDE PRODUCTS, INC.",,1,,,,,
DDG,N0002413C2307,YVDFW51N3N61,"WALDO BROTHERS, INC.",,1,,,,,
DDG,N0002413C2307,KC78MF1CL9B8,KINNAMAN ELECTRIC INC,,1,,,,,
DDG,N0002413C2307,GN82WS7LRJ77,SPACE MACHINE & ENGINEERING CORP.,,1,,,,,
DDG,N0002413C2307,NX47A388J7L3,LOEFFLER CORPORATION,,1,,,,,
DDG,N0002413C2307,EPK7A98BB4B6,"HEILIND MIL-AERO, LLC",,1,,,,,
DDG,N0002413C2307,XMLNYKT139G8,CRESTWOOD TECHNOLOGY GROUP CORP.,,1,,,,,
DDG,N0002413C2307,ZSJFXM833NA3,Xerox Corporation,,1,,,,,
DDG,N0002413C2307,NC39YCMEXVJ8,COLUMBUS MCKINNON CORPORATION,,1,,,,,
