Subawardee UEI,Subawardee Vendor Name,Distinct PIIDs,Distinct Programs,Distinct Subaward Numbers
CW48SQ7KJX68,"CRAFT MACHINE WORKS, INC.",4,3,50
LB1XJ5UY5961,"CIRCOR PUMPS NORTH AMERICA, LLC",4,2,9
TY25RCEB5FF3,"COLLINS & JEWELL COMPANY, INC.",4,2,61
C256E427Q518,"DELTAK MANUFACTURING, INC.",2,1,4
JA2KCX21NL48,"WARTSILA DEFENSE, INC.",8,3,61
G78MQ69BN636,AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,4,1,73
MEMSWT1LFU18,JERED LLC,4,1,33
FMC8BKMNMKF2,"FLUID CONDITIONING PRODUCTS, INC.",3,2,81
DA1PDLWQ7BH4,BEAST CODE LLC,1,1,14
MF1LU8RPCMB8,"RANOR, INC.",5,2,51
JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",5,3,61
JKPCAKFW8X93,AMERICAST TECHNOLOGIES INC,4,3,19
XDF1FRDG8KK4,"FOSTER-MILLER, INC.",4,2,7
HLFDNJU7KXJ1,BOGUE SYSTEMS INC.,5,1,53
LCZDJ6YPNYG6,MARTIN ENERGY SERVICES LLC,4,1,27
LPWJLN5JQPW4,SHEFFIELD FORGEMASTERS ENGINEERING LIMITED,2,2,4
ELC5EVMWFVM8,"LAKE SHORE SYSTEMS, INC.",3,1,59
N5BYYW3MMFP7,"HUTCHINSON AEROSPACE & INDUSTRY, INC.",2,2,12
D7HNEN3DAN36,LEHIGH HEAVY FORGE CORP,3,2,13
W3KUJLTCRLV1,AMMCON CORP.,3,2,91
GE4GA2B9JYF9,"MERRILL TECHNOLOGIES GROUP, LLC",3,2,42
WESDY4U81NP8,"TRIDENT MARITIME SYSTEMS - CAC, LLC",3,2,63
PJRYS7EFXQD9,"B.N.L. INDUSTRIES, INC.",5,3,109
HW4GNCTLLAM4,GENERAL ATOMICS,1,1,1
V8HGGNTGDH59,PEERLESS MFG CO,3,1,17
LGL1LNBH8KM5,"GRISWOLD INDUSTRIES, CO.",6,2,99
DWUHNL9BC3U7,"HOWELL LABORATORIES, INC.",3,1,36
