Subawardee UEI,Subawardee Vendor Name,Distinct PIIDs,Distinct Programs,Distinct Subaward Numbers
PGNTKH2XZAN5,"DEFENSE TECHNOLOGIES, INC.",1,1,3
CBB5ZBL4F2G3,ENVIRONMENTAL CONTAINMENT SYSTEMS LLC,1,1,5
SMZQB2YVYM66,ROTRON INCORPORATED,2,2,3
UXVTFYJT5PN7,"MARWAY POWER SYSTEMS, INC.",2,1,2
CWU4C613AB25,THE AIRFLO INSTRUMENT COMPANY,1,1,2
F6JXYKQB4QL6,H.C. STARCK,1,1,1
TRJPK4ELKDR3,M & P INTERNATIONAL INC,1,1,1
Y7HTALFZANK8,"GENERAL MACHINE AND TOOL COMPANY, INC.",1,1,2
M6N3M8GCHLN5,LAL ACQUISITION INC.,1,1,1
NB2HLRTJJJQ7,WATTS WATER TECHNOLOGIES INC,2,1,7
MUW4M1JLNY19,DIXIE TANK COMPANY,1,1,1
EN76W7CYJYN7,MARMON/KEYSTONE LLC,1,1,1
YUHMEUENEET4,Lawrence Leasing Corp.,1,1,1
M2XAYNY2P889,"POWELL ELECTRONICS, INC.",1,1,2
ECVNHKM2CLS9,"PICKERING INTERFACES, INC",1,1,4
L6V2CGVQP844,RDF CORPORATION,3,2,3
YKMMCNDT9KF8,"YANKEE REMODELER OF NEW LONDON, INC.",1,1,2
Z7K8HUMNCZ22,TRIPLE CROWN CONSULTING LLC,1,1,1
FKEYGBAYJLH3,"MERCURY SYSTEMS, INC.",1,1,1
D3NDZT2XLW83,"MARINE AIR SUPPLY CO., INC.",2,1,4
DB33FU6GGYE7,BLACK KNIGHT ENTERPRISES LLC,1,1,2
LGM4LM5ZR9K9,"LUNA TECHNOLOGIES, INC.",2,2,2
WH4DRDKB7RR8,SYSTEMS ENGINEERING SUPPORT CO.,1,1,1
VRTZQSMQ8615,"HARDING COMPANY, INC",2,2,3
PDBCMAYNN1V8,"CUSTOM QUALITY SCAFFOLDING, INC.",2,2,4
W8RMNY6A3NT1,"FLUID DYNAMICS, LLC",2,2,2
K8W2J2DS9FN1,"SYNOPSYS, INC.",1,1,4
GJEXETZX4N96,SHIELD TECHNOLOGIES CORPORATION,3,1,4
FA62JCF2JGN7,ENSAFE INC.,1,1,1
HKB9G8NZ5P66,"TEAM INDUSTRIES, INC.",1,1,1
P2L5J5XEYCN3,"INSIGHT DIRECT USA, INC.",1,1,2
DBQGN324ULK3,"W.W. GRAINGER, INC.",2,2,5
DWMEGPGHBGY5,GENERAL DIGITAL CORPORATION,1,1,1
HLAKD5J1DDG3,"KLH INDUSTRIES, INC.",2,1,2
M6CTHGC91RG4,"MARTINEZ AND TUREK, INC.",1,1,2
QF3MD1MU1651,"J.G.B. ENTERPRISES, INC.",2,1,4
YK46GJRH4W87,"CONCURRENT REAL-TIME, INC.",1,1,3
R7UCMAWL4H87,The Credit Scholars,1,1,1
KPFHQNYN8R54,"PACKAGE ONE INDUSTRIES, LLC",1,1,3
U4TBEJN3QV83,3M PURIFICATION INC.,2,2,4
SLBCZQAMG3Q1,"Solflower Computer, Inc",2,1,4
HW3GLNH2M767,INTEGRATED SECURITY & COMMUNICATIONS OF NEW JERSEY LLC,1,1,1
DLRDDPVKLLA1,"HEGEDUS ALUMINUM INDUSTRIES, INC",1,1,4
MQHCDMP17GK7,"Draka Cableteq Usa, Inc.",1,1,1
SBJMSMKJ9M93,"Fitchburg Welding Co., Inc.",3,2,3
JCY9NCTJF9J3,AIRSAN CORPORATION,2,1,4
P3ZZEMCBYSK7,"JANSENEERING, INC.",1,1,3
JLUZRMMLKQ47,"WODIN, INC.",2,2,2
Z31MCJ7P45T1,"CORE MANUFACTURING, LLC",2,2,4
ERR4X5JLJWV5,"NCP COATINGS, LLC",1,1,1
G871GBTQ94M7,Lona Slade,2,1,2
HUKGWGAFW4C7,SOUNDOWN CORPORATION,2,1,2
KAFVDV3C5BN1,"321GANG, LLC",1,1,3
EZGFXRCDNAZ1,GENERAL STANDARDS CORP,1,1,1
GY5BEBKX7ME7,"RBC SOUTHWEST PRODUCTS, INC.",1,1,2
JN16VPC2PXN4,"BAY CITY MARINE, INC.",1,1,3
P3NZJN8NQSB3,FORTUNE METAL FINISHING CORPORATION,1,1,2
UK8DL82MHJG5,PROPULSION CONTROLS ENGINEERING,1,1,2
XR3UT8BLTKP7,"ENERGY MACHINERY, INC.",1,1,5
Z6HMQ992QKJ7,"SOUTHERN FASTENERS & SUPPLY, INC.",2,2,2
F7J2BU8VKSL8,"MCALLISTER TOWING AND TRANSPORTATION COMPANY, INC.",1,1,1
LCKATM42Y1M1,"ARGON ST, INC.",1,1,2
DAR5NMQQMY53,RED-D-ARC INC.,1,1,2
X9C7KVWCMQJ6,"VALKYRIE ENTERPRISES, LLC",1,1,2
M647MA6E64V1,DEWEY ELECTRONICS CORPORATION,1,1,3
QLNMVC12KWY3,"LEIDOS, INC.",3,3,5
PRKVJMMJYJM3,WILLIFORD PLASTICS INC,1,1,1
N6U1EU32U9J1,EST GROUP INC,3,2,4
GN84UHWZJMR8,"DAYTON T. BROWN, INC.",3,2,5
QC8RNVNLMA97,BRUEL & KJAER NORTH AMERICA INC.,1,1,1
D3TAPP57SEB4,KEEN COMPRESSED GAS CO.,1,1,1
FMKADN1KAXH6,"HOSE-MCCANN TELEPHONE CO., INC.",2,2,4
NKNJZAVJ9EK3,COGSDILL TOOL PRODUCTS INC,1,1,1
KTK2F491J6A8,"SHAFT CURRENT SOLUTIONS, INC.",1,1,1
C12PGLEW9KW4,"UNAFLEX, INC.",1,1,2
WF99GAJKQAL5,NTS LABS LLC,2,2,5
KB8ALFD8K1X8,Higgins Marine Services Inc,3,1,4
Q4LMAMECTR44,"CONNECTOR SPECIALISTS, INC.",1,1,3
EV14UZ7SCKG5,New Haven Windustrial Co.,1,1,2
HVK6DCBLUCP7,GE AVIATION SYSTEMS LLC,1,1,1
DSVCC3S92J21,BOLAND MARINE & INDUSTRIAL LLC,1,1,2
NBMDBMMXJLR5,"KEYSIGHT TECHNOLOGIES, INC.",1,1,1
YQXBZHMXEVE5,THE MATHWORKS INC,1,1,2
HKUGWLAQ4821,"LCR EMBEDDED SYSTEMS, INC.",1,1,1
MGFUP827VKV2,"ROSS MACHINERY SALES, INC",2,2,2
RYVANEDADBK3,"METALTEK INTERNATIONAL, INC.",1,1,4
GAGNAGWFNY83,NTS TECHNICAL SYSTEMS,1,1,4
DXGJDCR3TN56,"CURTISS-WRIGHT FLOW CONTROL SERVICE, LLC",1,1,1
HJEXMNM5EJE5,F. W. WEBB COMPANY,1,1,3
SDK4H5KCAHD7,UNITED ELECTRIC CONTROLS COMPANY,1,1,1
FHKCX7RMYW83,MARINE EQUIPMENT SUPPLY LLC,2,1,2
T9U5YKZRMHH5,"MANUFACTURER'S RUBBER & SUPPLY CO, INC.",1,1,2
K783PK4DZEE3,"ADVANTEC MANUFACTURING USA, INC.",1,1,2
PD3NKE727DN9,"TRI-LANE EQUIPMENT RENTALS, INC.",1,1,1
ZE1KT2MPBGM3,"HARDING COMPANY, INC",3,1,3
CQQUMMDARBG3,THE DEWEY ELECTRONICS CORPORATION,2,1,4
LR8MS4H7N2U5,AUTOMATED PRECISION INC.,1,1,1
NCG7W2K7P7R6,DB CONTROL,1,1,1
EQ2TN2GMDFT5,"ADVANCED ACOUSTIC CONCEPTS, LLC",1,1,1
WLHBRDWEW7T4,"ABACO SYSTEMS, INC.",1,1,1
WY3RNC5GMY36,"TITANIUM INDUSTRIES, INC.",1,1,2
CTVBA1WN13S3,"SYNERGY FLOW SYSTEMS, LLC",1,1,2
ZQ11WUWJGAA4,"KIDDE-FENWAL, INC.",3,1,3
EH4ZYJ5CMLP9,MAINE TECHNICAL SOURCE,1,1,1
Z85NS892LYA8,CHROMALOX INC,1,1,1
GRTDYGFYWBS8,FARO TECHNOLOGIES INC,2,2,2
HJ7KCZ68G3N3,HAMPTON RUBBER COMPANY,2,2,2
W9MTG3DEVQN5,VULCAN ELECTRIC COMPANY,1,1,2
H4KTGQKJ2Y15,"TIOGA PIPE, INC.",1,1,1
MN5LYLMWBGK8,"SIMULATION AND CONTROL TECHNOLOGIES, INC.",1,1,1
KEKTUBQDCZM7,A & A SHEET METAL PRODUCTS INC,1,1,1
CP8AJC3EDE93,"Alp Industries, Inc.",3,2,2
F4GNMTCCXGM8,"HUTCHINSON INDUSTRIES, INC",1,1,2
E6H2BBJ1LD19,FORD & ULRICH INC,1,1,1
GGERZB4A1FB3,"WBPARTS, INC.",2,1,5
UDMKPLHU8N48,US TOOL GRINDING INC,1,1,1
GK3DKPJRSUR3,"HALE TRAILER BRAKE & WHEEL, INC.",1,1,1
H5MUP1BXBAB1,"Metro Business Systems, Inc.",1,1,1
CSGCTF11C2V9,INSTRUMENTS INCORPORATED,1,1,1
H3R3VV5YN8G4,KW BOATS,1,1,2
RQQYADH1UBU8,AIR TOOL SALES & SERVICE CO INC,1,1,2
X51YWDJN2ED6,HORIZONS INCORPORATED,2,1,3
QMXJLLJZ5QY4,TORK SYSTEMS INC,1,1,1
FCYFZ4P8ZGV6,"K M L ARCHITECTS, LLC",1,1,2
K7SAUMHPLDJ9,SIVYER STEEL CASTINGS LLC,1,1,1
ZTBRMLGP4JF5,"VALLEN DISTRIBUTION, INC.",2,1,2
Y4ESA8L3JAD9,"GRAYBAR ELECTRIC COMPANY, INC",1,1,2
NTP7NWDS9Y49,"MSC INDUSTRIAL DIRECT CO., INC.",1,1,4
H1WGM2HUFNB3,NDI ENGINEERING COMPANY,1,1,1
MXALQCAPGHJ8,"AMET, INC.",1,1,1
C11GZDT8UL88,"SILKTOWN ROOFING, INCORPORATED",1,1,1
YVDFW51N3N61,"WALDO BROTHERS, INC.",3,1,3
MQSPAE7NQQR8,"VITA MOTIVATOR CO., INC.",1,1,2
YS2TNLEU8EK3,"LOCKHEED MARTIN SIPPICAN, INC.",1,1,1
FKE7YM75FN66,"D&D FILTRATION CONSULTANTS & SUPPLIERS, INC.",3,2,3
HEUNPCKQLMN5,KLUMB LUMBER COMPANY,2,1,2
TF2HVUYPRMV1,"CHASE SUPPLY, INC.",1,1,2
EHQGGH9CG9U7,"FAIRLEAD INTEGRATED POWER & CONTROLS, LLC",1,1,1
XW6ZAJKNHM65,VERSAMIL INC,1,1,2
XJJ6S8U3NAR9,Jules Borel & Co.,1,1,1
QLNRJJK28MJ7,"SYSTEMS ENGINEERING AND ANALYTICS, INC.",1,1,1
NTGALU6XECJ5,YOKOGAWA CORP OF AMERICA,1,1,1
JAM1MGE5VDJ7,"PACIFIC WESTERN LUMBER, INC.",1,1,1
JE8QAT3GGJN6,LINTECH COMPONENTS CO INC,1,1,2
MNPUJ84L1AK7,A & A COMPANY INC,1,1,1
XMLNYKT139G8,CRESTWOOD TECHNOLOGY GROUP CORP.,2,1,2
HQEUSUQSKVK7,"ADMARTEC, INC.",2,1,3
Y5HPNMZGC7U3,SEACON ADVANCED PRODUCTS LLC,1,1,1
E3WFXJMWH458,"ADVANCED THEODOLITE TECHNOLOGY, INC.",1,1,1
JGLLLKELFB57,ITT CORPORATION,2,1,2
RHLAM7GSJGJ4,"HOTTINGER BALDWIN MEASUREMENTS, INC.",1,1,1
JK5BGM73XQ58,FEOLE TECHNOLOGIES INC,1,1,1
H63LK5CAFZ46,"W.W. GAY FIRE PROTECTION, INC.",1,1,2
CZXNLVL5TBN3,ROANWELL CORPORATION,1,1,2
RDQDMFHFM8K3,R P M SUPPLY CORPORATION,1,1,1
PZK1KSXFFNX9,"FREEDOM POWER SYSTEMS, INC.",1,1,1
MKG5CAN2J8S7,"SAMTAN ENGINEERING, LLC",1,1,2
MNZGEAM8WG31,"MAZZELLA LIFTING TECHNOLOGIES, INC.",1,1,2
J1PMKPB4HNN5,LEARN,1,1,1
C2HBVLFX4AH7,"ARLAND TOOL & MFG, INC.",2,2,2
DQAYCKTDLND5,"EAGLE INDUSTRIES OF LOUISIANA, L.L.C.",1,1,1
GWJVH3CYE2F1,MID STATE FIRE EQUIPMENT INC,1,1,1
KAJ2U4MCB329,"CHELSEA CLOCK, LLC, THE",1,1,3
KFP8JR5HL191,ARA SERVICES LLC.,1,1,2
PNHTDAAYRXL3,SPACECRAFT COMPONENTS CORP,2,2,2
M8JLMEHJADQ5,"BOEING COMPANY, THE",1,1,2
EDLHL766DYP1,"WESCO DISTRIBUTION, INC.",1,1,2
F4JJL7645T67,LEXINGTON SOFT LLC,1,1,2
ZSJFXM833NA3,Xerox Corporation,3,1,3
GJDDKRPHXAL5,A.M. CASTLE & CO.,1,1,1
LFN2ND9H69T1,PARASOFT CORPORATION,1,1,1
JG24FKGD5Z77,"JOHN WATTS ASSOCIATES, INC.",1,1,1
J1HRLJ1Q1NT6,"MC2 SABTECH HOLDINGS, INC.",1,1,2
V72KJGHK3JF2,MGR EQUIPMENT CORP,2,1,2
NAA7LGTT6WA4,"TRANSCAT, INC.",1,1,1
WQ8LDD3N2K24,BRADDOCK HEAT TREATING COMPANY INC,2,1,5
N5HGL94UC1D6,PIERCE ALUMINUM CO INC,1,1,1
YA86NYHUA353,BRENNTAG LUBRICANTS,1,1,1
ZZG5TB4JCKE1,"KAHN AND COMPANY, INCORPORATED",2,1,3
X4UMAJJTMS97,GERMANE SYSTEMS LC,1,1,1
KWAYELLKNP86,GET ENGINEERING CORP.,1,1,1
DKWCJWBNHCL3,NCP COATINGS INC,2,2,2
PDJ4B4PSZK52,NEW ENGLAND INSTITUTE OF TECHNOLOGY,1,1,1
VC8CKKWDRPD6,Skills For Rhode Island's Future,1,1,1
RFLNANKKZYV5,SAS INSTITUTE INC.,1,1,1
UJMKRGKNXML7,DIEBOLT & COMPANY,1,1,1
LCTCMUR9KYB6,"CAJUN PROCESS SOLUTIONS, LLC",1,1,2
JEH3MF4P6N78,MUNTERS CORPORATION,1,1,1
EPK7A98BB4B6,"HEILIND MIL-AERO, LLC",3,2,3
QJ8GDNZ7RMC5,MCMASTER-CARR SUPPLY COMPANY,1,1,1
E6ACL8BWKN47,"ENERGY FOCUS, INC.",1,1,1
REDAH61ZHLN7,TRI TOOL INC,1,1,1
Q3HHLUDK4ED3,Abrasive Products LLC,1,1,1
J496QWE2LK33,LORD CORPORATION,1,1,1
CUJ6JZJFLMQ8,"VECTOR SOFTWARE, INC.",1,1,2
GMHRX5DU4LS5,"AEROGO, INC",1,1,1
KNY4J2WMVJX3,ASC ENGINEERED SOLUTIONS LLC,1,1,2
DY2JXQ22MA14,KSARIA SERVICE CORPORATION,1,1,1
MNS7TJ9KVTJ1,"HDT EXPEDITIONARY SYSTEMS, INC.",1,1,1
K7L6DELLDU47,"GULF SALES AND SUPPLY, INCORPORATED",1,1,2
UP6CM5LVP5G3,"WARNER SPECIALTY PRODUCTS, INC.",1,1,1
NDF9CNKGHWR3,"CURTIS UNIVERSAL JOINT CO, INC.",1,1,1
G44XUJLFP3A1,TANDEMLOC INC.,1,1,1
UUK2QMVKDKN1,"MANSFIELD INDUSTRIAL, INC.",1,1,1
ZG54KTLANAU7,ANVER CORPORATION,1,1,2
X4YDGJ1UE973,Sunbelt Supply L.P.,1,1,2
UPJ1ASYAGWH4,ALERT TUBING FABRICATORS INC.,1,1,2
NUMJXMNFTW19,SECHAN ELECTRONICS INC,1,1,1
HE98WLUBNW88,"ORACLE AMERICA, INC.",2,2,2
KKPLLYQNK495,"BARTOL HEATING AND COOLING, INC.",1,1,1
C7QXDAE2EUN1,"GENERAL MARINE PRODUCTS, INC.",1,1,1
CPNJM695NH15,"CDP FASTENER GROUP, INC.",1,1,1
FB4ZY68792Y5,TE CONNECTIVITY PHOENIX OPTIX INC.,1,1,1
LKVHTENM62A5,SUPREME CORP,1,1,3
H759C2FR8KA3,ABB INC.,1,1,1
HUYTR5ZGSSN6,"W. & O. SUPPLY, INC.",1,1,1
VAX5URMCQMM5,"SI TECHNOLOGIES, INC",1,1,1
HLW2GH7TF2M4,INDAL TECHNOLOGIES INC.,1,1,1
LLNNTHPDWYV1,LIMCO AIREPAIR INC.,1,1,1
Q9D3LSUU5BN6,"Mercury Systems, Inc.",1,1,2
RU3QHCAJP492,"HOFFER FLOW CONTROLS, INC.",1,1,2
LS77JJSDUXH9,HYDRADYNE LLC,1,1,1
LNRSWFY5UKF7,TALBERT MANUFACTURING INC,1,1,1
XAABQKXTNJ16,ADVANTAGE ENGINEERING INC,1,1,1
V3GKQC7LZE37,FRED L HAWKINS CO INC,1,1,1
WX7ED2HWHJ17,"E7 Solutions, LLC",1,1,1
JUN5EFMB2NZ7,THOMPSON SUPPLY CO INC,1,1,2
NC39YCMEXVJ8,COLUMBUS MCKINNON CORPORATION,2,1,2
VHCPBNRMLK33,"ASSOCIATED FOOD EQUIPMENT AND SUPPLIES, INC.",2,1,2
TB74HBR5ABD6,"HUGHES CIRCUITS, INC.",1,1,1
QVDMAW2TVBE7,"MET LABORATORIES, INC.",2,1,1
ZXGBKBLTY7F1,LBC AQUISITIONS LLC,1,1,1
DKSJBNE34MJ7,"Q-MATION, INC.",1,1,1
MJGFRKACFZB3,MEMKOR INC,1,1,1
UTG3KW3RJ6M3,Shenzhen Nanshan District Gelaimi Clothes Shop,1,1,1
PXB2X38X4V11,CONVERGINT TECHNOLOGIES LLC,1,1,1
DA2CMNNJWSZ4,Captain Freds Sea Trial Support LLC,1,1,1
H4NUSZNWG4K6,"SOUND MECHANICAL, INC.",1,1,1
CVMQHCRDBVT7,"KEVIN GROS CONSULTING & MARINE SERVICES, INC.",2,1,2
KS91NKS9M428,"ORBIS SIBRO, INC.",1,1,1
VK36BNH241M8,"H. O. PENN MACHINERY COMPANY, INC.",1,1,1
D7T3U3HPNR49,J. STEELE SERVICES LLC,1,1,1
VS7NBJG314R6,INTERNATIONAL PAINT LLC,1,1,1
NE3DARLAMEN6,"PROCESS ENGINEERING COMPANY, INC.",1,1,1
KK62PWHW5ZR8,"CRITICAL IO, LLC",1,1,1
YUXJXK8PRML3,"TRANTER, INC.",1,1,2
FHJHVERLNXU7,EAGLE LEASING COMPANY THE,1,1,1
EEE8FHKK1YR9,"LAFAYETTE RESTAURANT SUPPLY, INC.",1,1,1
EJ1DW3A8BFM8,CORE INDUSTRIES INC.,1,1,1
MMTME6UEFEC5,"EIS, INC.",1,1,1
U6JRN865H4E3,TTI INC.,1,1,1
EK4US8MM54U3,"NOANK ELECTRIC, LLC",1,1,1
DVLSV4HZBX23,"EAST COAST METROLOGY, LLC",1,1,1
GV6WMAJUK1R9,SIOUX MANUFACTURING CORPORATION,1,1,1
TL9AYFLSQ189,"JORGENSEN FORGE CORPORATION, THE",1,1,1
Z1YKDWN86HE6,RAYTHEON COMPANY,1,1,1
ELM6EX21EMJ9,CYMBEL CORPORATION,1,1,1
RSKAJD8SNDL3,"RED THREAD SPACES, LLC",1,1,1
J5AJWFZ9H8Q6,"MCNALLY INDUSTRIES, LLC",1,1,1
FMNVM66XGFY7,"WIND RIVER SYSTEMS, INC.",1,1,1
XQ2FNSEVHWL1,GOODWIN-BRADLEY PATTERN CO INC,1,1,3
T4MGJ9BU63J6,"MUNICIPAL EMERGENCY SERVICES, INC.",1,1,1
NZNKGYLA9NT3,DRAFTCO INCORPORATED,1,1,1
MD21J51WM123,TYCO FIRE PRODUCTS LIMITED PARTNERSHIP,1,1,1
RW9ZRN3J3KB3,"POWERHOUSE EQUIPMENT & ENGINEERING COMPANY, INC.",1,1,1
ZFN1PBJXNUA3,"CONX INNOVATIONS, LLC",1,1,2
QT8MN8A81NB7,NGB CORP,1,1,1
YET2PMM1L7J4,AUTOMATED PRECISION INC.,1,1,1
YLE5AAYNVPK6,"NOBLE SUPPLY & LOGISTICS, LLC",1,1,1
W6SWKAS2DBE5,SHILOH INDUSTRIES INC,1,1,1
P4NMA2SHLR53,"CORNET TECHNOLOGY, INC.",1,1,1
ZTAFBECM35Z6,TECNICO CORPORATION,1,1,1
HFDXVMRW2NX8,"TRUSTED SYSTEMS, INC.",1,1,1
Q54KG4JYEWE4,EPSILON SYSTEMS SOLUTIONS INC,1,1,1
LEC1VZC9HL25,"A.C.R. MACHINE, INC.",1,1,1
K3K9GLKWAWQ1,"OHIO SEMITRONICS, INC",1,1,1
LXUMZZ3LETN5,"TEAM INDUSTRIAL SERVICES, INC.",1,1,1
WYLZYTJ1SSJ3,OPERATING & MAINTENANCE SPECIALTIES INC,1,1,1
MC45MKDJLGK6,J J U DISTRIBUTORS INC,1,1,1
RLNZFHWTLKH6,CARR COMPANY LIMITED,1,1,1
TPN7LAC6HGW3,"WARTSILA DEFENSE, INC.",1,1,1
VNP2L293JWL6,"CONTINENTAL MICROWAVE AND TOOL CO., INC.",1,1,1
DR25DM16Y9G8,APPLICATIONS 3D LLC,1,1,1
F99CKJDLYZR3,"WESCO DISTRIBUTION, INC.",1,1,1
KJWPVM8EMCN5,"M2 GLOBAL TECHNOLOGY, LTD.",1,1,1
S4LDURRAY3J9,"Rexnord Industries, LLC",1,1,1
LYKSDHA54JA4,"MILDEF, INC.",1,1,1
MC9KZKMUD8F8,"AGGREKO, LLC",1,1,1
N97CM6A1C2M7,"WESTMORELAND MECHANICAL TESTING & RESEARCH, INC.",1,1,1
JJZ4GXK7SCJ5,"CONCURRENT TECHNOLOGIES, INC.",1,1,1
DMTPEM6MJPB8,PEARSE-BERTRAM LLC,1,1,1
YV2MG1WKYEQ3,JOHNSON CONTROLS SECURITY SOLUTIONS LLC,1,1,1
TC76NMCGN4F4,"DISTRIBUTION INTERNATIONAL SOUTHWEST, INC.",1,1,1
T6HMTJ6CTRF5,PTC INC.,1,1,1
SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",1,1,1
XKM7WDHK1DA7,"RECLAMATION TECHNOLOGIES, INC.",1,1,1
QQ7DAUGJ6MC7,CPI RADANT TECHNOLOGIES DIVISION INC.,1,1,1
ZBR7R1G1MGB3,"TIMKEN CORPORATION, THE",1,1,1
DZTKCR7BXVJ5,"LABORDE PRODUCTS, INC.",1,1,1
X65QG1LNA3J3,"UNITED TITANIUM, INC.",1,1,1
K8KAE356N7N5,"BAT CONSERVATION AND MANAGEMENT, INC.",1,1,1
TT6NACMBJC38,"DIVERSIFIED METALS, INC.",1,1,1
NK62M46B48L8,"JOINING TECHNOLOGIES, INC.",1,1,1
PQ7FJYK7LNM6,B M F TORQUE WRENCH COMPANY,1,1,1
GMKDF9P95AA7,"AK SERVICES, INC.",1,1,1
KC78MF1CL9B8,KINNAMAN ELECTRIC INC,1,1,1
FG19HT8C3MM4,"AMERICAN TRADE GROUP, INC., THE",1,1,1
JKK6MTNJSLH6,"EMC SHOP, LLC, THE",1,1,1
KF3NGNBNQ271,"DELPHINUS ENGINEERING, INC.",1,1,1
CGH1CSXQJ5H7,CAEN TECHNOLOGIES,1,1,1
VTEWM5QSE598,RAYTHEON COMPANY,1,1,1
G1DSEBQKGDF8,"CIRCOR INSTRUMENTATION TECHNOLOGIES, INC.",1,1,1
LPN2BLLPK366,"EGGELHOF, INC.",1,1,1
V8NJNRJ95KX5,B F METALS INC,1,1,1
NX47A388J7L3,LOEFFLER CORPORATION,1,1,1
E2WALWZNMT18,"APEX MACHINE TOOL COMPANY, INC.",1,1,1
F5P5K3L3ZMH5,"ALLIED ELECTRONICS, INC.",1,1,1
JHKFCL4CT7L6,"FACILITIES ENGINEERING ASSOCIATES, P.C.",1,1,1
XP5GHU7EKM33,"Sie Computing Solutions, Inc.",1,1,1
LV9KTAW8RSA3,Continental Emsco Company (inc),1,1,1
PX5GZY3JUU27,HALLMAN SEPTIC SERVICE LLC,1,1,1
JMPNFJGDZLC7,ELLIOTT BAY DESIGN GROUP LLC,1,1,1
XBATVWUECBL3,Actuant Corporation,1,1,1
LUUBKNAN8TK6,PALL AEROPOWER CORPORATION,1,1,1
C7RWMXEE6SD3,"Johnson Controls, Inc.",1,1,1
GL44UBJEKJK1,"TRENTON SYSTEMS, INC",1,1,1
HHFGANSDJXN8,"Southern Rubber & Specialties, , Inc.",1,1,1
JABWYKLD7GL8,"KNOWLEDGE KEY ASSOCIATES, INC.",1,1,1
LKUNMC2NEY97,"MATTHEW WARREN, INC",1,1,1
L2Y7KUMBALU4,"KENSINGTON ELECTRONICS, INC",1,1,1
J6MHT1L54CG4,"DEZURIK, INC.",1,1,1
V8HLLRJLCQH6,"ALBANY VALVE & FITTING CO., INC.",1,1,1
MA6NGUYK9VM1,"SAUER COMPRESSORS USA, INC.",1,1,1
J683M8AF97Q5,ELLISON BRONZE INC,1,1,1
CE2KRB2JPVS4,"WSC FEDERAL, LLC",1,1,1
KNW6WWRKELJ3,CONCURRENT TECHNOLOGIES CORP,1,1,1
VMN5C8N5JXD7,WILMOT MODULAR STRUCTURES INC,1,1,2
JAWVFDNMQ633,PHOTONWORKS ENGINEERING LLP,1,1,1
UJD2HEK94GH8,"KFT FIRE TRAINER, LLC",1,1,1
ERZRH1FL8R66,"PLAINVILLE PLATING COMPANY, INC.",1,1,1
EYSFY8B947C6,COMNET COMMINCATIONS LLC,1,1,1
E9B7STE3MUX9,"C.I.L. Electroplating, Inc.",1,1,1
JKN2Q1EHKF63,LEONHARDT COMPANY INC,1,1,1
CRG3ND68KH28,"MCGILL HOSE & COUPLING, INC.",1,1,1
M6SKXVEXY4G3,"CMT MATERIALS, INC.",1,1,1
MVVAKQUHTTQ6,PROGENY SYSTEMS LLC,1,1,1
K5CLWKFJGGB9,"BEAR MACHINERY, INC.",1,1,1
PTVDFVF3JNX6,SILICO SYSTEMS LLC,1,1,2
M5MVSHNR2BL1,"SHERWIN-WILLIAMS COMPANY, THE",3,2,1
MMRKLNN6PLB3,"SII, INC.",1,1,1
K1PMP7M771E5,"E2 ENGINEERS, LLC",1,1,1
TJ2MWNHN22G8,"FAIRBANKS MORSE, LLC",1,1,1
VQMRYA1EN3J9,"R KEOUGH CONSTRUCTION, CO.",1,1,1
C3B4GMUXK277,BOWMAR LLC,3,2,4
Z2XMD2USH373,APCO TECHNOLOGIES ENGINEERING INC.,2,2,3
LW88Z8MMJHT3,"INSIGHT GLOBAL, LLC",1,1,9
SCCVYEEKLHL3,NATIONAL INSPECTION & CONSULTANTS INC,1,1,2
FYUJEKH32UF5,"L.M. GILL WELDING & MANUFACTURING, L.L.C.",5,2,108
