primary_naics_6,desc,vendors,dollars_$M,pct_dollars
444190,Other Building Material Dealers,1,0.68,0.01
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",1,0.66,0.01
424410,General Line Grocery Merchant Wholesalers,1,0.65,0.0
326220,Rubber and Plastics Hoses and Belting Manufacturing,3,0.64,0.0
713990,All Other Amusement and Recreation Industries,1,0.63,0.0
333618,Other Engine Equipment Manufacturing,1,0.59,0.0
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",2,0.57,0.0
334310,Audio and Video Equipment Manufacturing,1,0.55,0.0
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",1,0.52,0.0
332618,Other Fabricated Wire Product Manufacturing,2,0.52,0.0
332114,Custom Roll Forming,1,0.52,0.0
339920,Sporting and Athletic Goods Manufacturing,1,0.5,0.0
327910,Abrasive Product Manufacturing,1,0.49,0.0
326299,All Other Rubber Product Manufacturing,2,0.48,0.0
333994,Industrial Process Furnace and Oven Manufacturing,1,0.48,0.0
333996,Fluid Power Pump and Motor Manufacturing,1,0.46,0.0
321213,Engineered Wood Member (except Truss) Manufacturing,1,0.43,0.0
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",1,0.43,0.0
325510,Paint and Coating Manufacturing,2,0.43,0.0
314910,Textile Bag and Canvas Mills,2,0.41,0.0
332311,Prefabricated Metal Building and Component Manufacturing,1,0.4,0.0
811210,Electronic and Precision Equipment Repair and Maintenance,1,0.4,0.0
444130,Hardware Stores,1,0.39,0.0
561621,Security Systems Services (except Locksmiths),2,0.38,0.0
532310,General Rental Centers,1,0.37,0.0
339950,Sign Manufacturing,1,0.35,0.0
541620,Environmental Consulting Services,1,0.35,0.0
488330,Navigational Services to Shipping,1,0.33,0.0
561622,Locksmiths,1,0.29,0.0
238220,"Plumbing, Heating, and Air-Conditioning Contractors",1,0.28,0.0
562211,Hazardous Waste Treatment and Disposal,1,0.25,0.0
423740,Refrigeration Equipment and Supplies Merchant Wholesalers,1,0.24,0.0
531120,Lessors of Nonresidential Buildings (except Miniwarehouses),1,0.23,0.0
524291,Claims Adjusting,1,0.23,0.0
325120,Industrial Gas Manufacturing,1,0.23,0.0
423490,Other Professional Equipment and Supplies Merchant Wholesalers,1,0.22,0.0
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,1,0.21,0.0
238350,Finish Carpentry Contractors,1,0.19,0.0
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,1,0.15,0.0
561311,Employment Placement Agencies,1,0.09,0.0
