uei,name,dollars_total_$M,dollars_submarines_$M,dollars_ddg_$M,records,foreign,enriched,sam_match,reg_status,org_structure_desc,primary_naics_6,primary_naics_4,naics_count,all_naics_6,psc_count,psc_list,immediate_owner,highest_owner,cage,exclusion,business_types
J7RQVJ723JM3,MADISON COMPANY,1.848,1.848,0.0,14,no,yes,Active,Active,Manufacturer of Goods,334513,3345,1,334513,0,,,,21603,N,For Profit Organization;Business or Organization;Manufacturer of Goods
KKRWXEQ9FVU6,"HURLEY CONSTRUCTION, INC.",1.838,1.838,0.0,3,no,yes,?,,,,,0,,0,,,,,,
FFKCVFLHNTE7,AMERICAN HYDRO CORPORATION,1.829,1.829,0.0,15,no,yes,Active,Active,Manufacturer of Goods,333611,3336,5,221111;237990;238190;333611;333613,0,,ENPROTECH CORP (DE),AL-AMNYA AL-RAEAH GENERAL CONTRACTING CO. LTD.,0GC17,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
DW33W8L3N1P8,"PHOENIX GROUP OF VIRGINIA, INC.",1.819,0.0,1.819,9,no,yes,Active,Active,Manufacturer of Goods,541330,5413,36,237990;238210;315990;316210;332311;332312;332510;333923;334118;334419;334519;336611;339113;423450;423850;423910;424610;493110;541330;541511;541512;541519;541611;541612;541614;541690;541715;541990;561110;561210;561410;561421;561431;611420;624310;928110,0,,,,4YUB2,N,For Profit Organization;Business or Organization;Manufacturer of Goods
CXQ7A9JSV3K5,"MEASUREMENT SYSTEMS, INC.",1.779,1.779,0.0,15,no,yes,Active,Active,Manufacturer of Goods,335314,3353,1,335314,0,,ESCO TECHNOLOGIES INC.,,22978,N,For Profit Organization;Business or Organization;Manufacturer of Goods
UTWXQFNH47D5,"MEGGITT (NORTH HOLLYWOOD), INC.",1.771,0.0,1.771,6,no,yes,NO_RECORD,,,,,0,,0,,,,,,
XEYGFMKSLWW5,THE BUTLER WELDMENTS CORPORATION,1.759,1.759,0.0,19,no,yes,Active,Active,Manufacturer of Goods,332999,3329,5,332313;332410;332420;332710;332999,0,,BWC ACQUISITION LLC,GMG - BWC HOLDCO LLC,1CVL4,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
UPAPN5VL4KR9,EATON AEROSPACE LLC,1.748,1.748,0.0,8,no,yes,Active,Active,Manufacturer of Goods,333914,3339,7,332912;333914;336411;336412;336413;336992;811310,0,,EATON CORPORATION,EATON CORPORATION PLC,62983,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
FJAVFFKN2LE3,"WATTEREDGE, INC.",1.746,1.746,0.0,11,no,yes,Active,Active,Manufacturer of Goods,335311,3353,8,326220;332999;334416;335311;335313;335929;335931;423510,9,1955;3432;4710;4720;4730;5930;5940;5995;6145,PENN-UNION CORP,,49L85,N,For Profit Organization;Business or Organization;Manufacturer of Goods
DJMMEPKGGNB3,"MEASUREMENT SPECIALTIES, INC.",1.745,1.745,0.0,12,no,yes,Active,Active,Manufacturer of Goods,334513,3345,5,334419;334513;334515;334516;334519,0,,TE CONNECTIVITY CORPORATION,TE CONNECTIVITY PUBLIC LIMITED COMPANY,0ZW31,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
