generated_internal_id,piid,tier,award_amount,recipient,matched_axes
CONT_AWD_N0040617P1479_9700_-NONE-_-NONE-,N0040617P1479,broad_maritime,254294.0,ZETEC INC,psc:2090
CONT_AWD_N0002419F22A1_9700_N0002416G2214_9700,N0002419F22A1,other_small,254083.0,NATIONAL STEEL AND SHIPBUILDING COMPANY,psc:1990
CONT_AWD_N6278918F0025_9700_N0002416G4302_9700,N6278918F0025,broad_maritime,253321.0,ELECTRIC BOAT CORPORATION,psc:1905
CONT_AWD_N3220518P6025_9700_-NONE-_-NONE-,N3220518P6025,broad_maritime,252611.5,PALMER JOHNSON POWER SYSTEMS LLC,psc:2090
CONT_AWD_N3220523F0732_9700_N3220519D9002_9700,N3220523F0732,broad_maritime,252560.4,"STEELSTRAN INDUSTRIES, INC",psc:2090
CONT_AWD_N3220518P6074_9700_-NONE-_-NONE-,N3220518P6074,broad_maritime,252510.0,JA MOODY LLC,psc:2090
CONT_AWD_N0040624F0140_9700_N3220521D4126_9700,N0040624F0140,broad_maritime,252220.29,"DEFENSE MARITIME SOLUTIONS, INC.",psc:2090
CONT_AWD_N0016726P1015_9700_-NONE-_-NONE-,N0016726P1015,broad_maritime,252208.0,MARINE FENDERS INTERNATIONAL INC,psc:2090
CONT_AWD_N6449822F4112_9700_N6449819D4011_9700,N6449822F4112,broad_maritime,252208.0,"LEIDOS, INC.",psc:2090
CONT_AWD_N4523A20P0304_9700_-NONE-_-NONE-,N4523A20P0304,broad_maritime,252170.0,"JOHNSON CONTROLS BUILDING AUTOMATION SYSTEMS, LLC",psc:1905
CONT_AWD_0070_9700_N6554012D0012_9700,0070,broad_maritime,251575.47,ROCKWELL AUTOMATION INC,psc:2090
CONT_AWD_N0010420PEA2B_9700_-NONE-_-NONE-,N0010420PEA2B,small_craft,250985.0,ISA (WYOMING) CORP,naics:336612
CONT_AWD_N4034520P0110_9700_-NONE-_-NONE-,N4034520P0110,broad_maritime,250887.51,"YOKOHAMA ENGINEERING WORKS, LTD.",psc:2090
CONT_AWD_N6893619F0424_9700_N6893615D0002_9700,N6893619F0424,small_craft,250689.96,"THE MOLDING COMPANY, INC.",naics:336612
CONT_AWD_N0002415C2215_9700_-NONE-_-NONE-,N0002415C2215,small_craft,250365.8,"ZODIAC OF NORTH AMERICA, INC.",naics:336612; psc:1940
CONT_AWD_N0001423P1005_9700_-NONE-_-NONE-,N0001423P1005,usv_core,250000.0,FLORIDA INSTITUTE FOR HUMAN & MACHINE COGNITION INC,keyword
CONT_AWD_N0003924F1004_9700_N0003921D6001_9700,N0003924F1004,small_craft,249349.77,"TELEDYNE BROWN ENGINEERING, INC.",psc:1940
CONT_AWD_N0016425PJ567_9700_-NONE-_-NONE-,N0016425PJ567,small_craft,249327.18,"VATN SYSTEMS, INC.",naics:336612; psc:1940
CONT_AWD_N3220524P2203_9700_-NONE-_-NONE-,N3220524P2203,broad_maritime,248931.61,"SCHOTTEL, INC.",psc:2090
CONT_AWD_N0040625PS309_9700_-NONE-_-NONE-,N0040625PS309,broad_maritime,248800.0,"ATLANTIC COAST ELECTRIC SUPPLY, LLC",psc:2090
CONT_AWD_N0016718F0126_9700_N0016718D0006_9700,N0016718F0126,broad_maritime,248800.0,"L.B.I., INC.",psc:2090
CONT_AWD_N0016424FG035_9700_N0016420DGP58_9700,N0016424FG035,broad_maritime,248310.34,"J & N METAL PRODUCTS, LLC",psc:1905
CONT_AWD_N0017321P1229_9700_-NONE-_-NONE-,N0017321P1229,small_craft,248146.0,"DEEP OCEAN ENGINEERING, INCORPORATED",naics:336612; psc:1990
CONT_AWD_N6449820F4273_9700_N6449819D4011_9700,N6449820F4273,broad_maritime,247264.0,"LEIDOS, INC.",psc:2090
CONT_AWD_N0040623P0876_9700_-NONE-_-NONE-,N0040623P0876,broad_maritime,247117.94,17 MACHINERY LLC,psc:2090
CONT_AWD_0007_9700_N0025314D0005_9700,0007,broad_maritime,246980.0,KNUDSEN SYSTEMS INC.,psc:2090
CONT_AWD_N0040624P0115_9700_-NONE-_-NONE-,N0040624P0115,broad_maritime,246601.16,17 MACHINERY LLC,psc:2090
CONT_AWD_N0040624P0409_9700_-NONE-_-NONE-,N0040624P0409,broad_maritime,246540.0,"SCHUYLER RUBBER COMPANY, INC.",psc:2090
CONT_AWD_N0010425PXB16_9700_-NONE-_-NONE-,N0010425PXB16,small_craft,246330.0,"VIRGINIA ELECTRONIC SYSTEMS, INC.",psc:1940
CONT_AWD_N4523A21P0300_9700_-NONE-_-NONE-,N4523A21P0300,broad_maritime,246289.0,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,psc:1905
CONT_AWD_N6817121P6072_9700_-NONE-_-NONE-,N6817121P6072,broad_maritime,245925.59,SUMINISTROS Y MANTENIMIENTOS LAS SALINAS SL,psc:2090
CONT_AWD_N0010421PAD67_9700_-NONE-_-NONE-,N0010421PAD67,small_craft,245730.0,FLOWER HOLDINGS CORPORATION,naics:336612
CONT_AWD_N6449825P2173_9700_-NONE-_-NONE-,N6449825P2173,broad_maritime,245461.48,"HEXAGON US FEDERAL, INC",psc:2090
CONT_AWD_N3220515P1390_9700_-NONE-_-NONE-,N3220515P1390,broad_maritime,245406.0,AMERICAN VULKAN CORPORATION,psc:2090
CONT_AWD_N0040624P0871_9700_-NONE-_-NONE-,N0040624P0871,broad_maritime,245204.19,EMS DEVELOPMENT CORPORATION,psc:2090
CONT_AWD_N0010421PDE09_9700_-NONE-_-NONE-,N0010421PDE09,small_craft,244950.0,SECHAN ELECTRONICS INC,naics:336612
CONT_AWD_N3220524P2298_9700_-NONE-_-NONE-,N3220524P2298,broad_maritime,244381.0,"SHIP INTERIOR SYSTEMS, LLC",psc:2090
CONT_AWD_N0040625PS303_9700_-NONE-_-NONE-,N0040625PS303,broad_maritime,244025.06,JO-KELL INC.,psc:2090
CONT_AWD_N6883618P0432_9700_-NONE-_-NONE-,N6883618P0432,broad_maritime,243428.3,"WACO PRODUCTS, INC",psc:2090
CONT_AWD_N6449819P5101_9700_-NONE-_-NONE-,N6449819P5101,broad_maritime,243225.28,"PRISM MARITIME, INC.",psc:2090
CONT_AWD_N3220518P4429_9700_-NONE-_-NONE-,N3220518P4429,broad_maritime,243032.0,APPLETON MARINE INC,psc:2090
CONT_AWD_N3220518P4025_9700_-NONE-_-NONE-,N3220518P4025,broad_maritime,242394.0,MARINE PROPULSION INC,psc:2090
CONT_AWD_N0024424P0029_9700_-NONE-_-NONE-,N0024424P0029,broad_maritime,241821.0,"BLIND AND VISION IMPAIRED, VIRGINIA DEPARTMENT FOR THE",psc:2090
CONT_AWD_N4044209P3008_9700_-NONE-_-NONE-,N4044209P3008,broad_maritime,241625.56,EVOQUA WATER TECHNOLOGIES LLC,psc:2090
CONT_AWD_N3220517P4257_9700_-NONE-_-NONE-,N3220517P4257,broad_maritime,241529.2,"DEFENSE MARITIME SOLUTIONS, INC.",psc:2090
CONT_AWD_N6449818F4084_9700_N6449816D0003_9700,N6449818F4084,broad_maritime,241138.15,"G. S. E. DYNAMICS, INC.",psc:1905
CONT_AWD_N3220523P2089_9700_-NONE-_-NONE-,N3220523P2089,broad_maritime,241018.4,LOUIS ALLIS LLC,psc:2090
CONT_AWD_N6449820P0062_9700_-NONE-_-NONE-,N6449820P0062,broad_maritime,240900.0,"NAG, LLC",psc:2090
CONT_AWD_0002_9700_N0002415D2211_9700,0002,small_craft,240667.0,GRAVOIS ALUMINUM BOATS LLC,naics:336612
CONT_AWD_N0010418PFD20_9700_-NONE-_-NONE-,N0010418PFD20,small_craft,240400.0,ROLLS-ROYCE MARINE NORTH AMERICA INC.,naics:336612
CONT_AWD_N3220517P4046_9700_-NONE-_-NONE-,N3220517P4046,broad_maritime,240343.0,CIRCOR NAVAL SOLUTIONS LLC,psc:2090
CONT_AWD_N0016422FG057_9700_N0016420DGP58_9700,N0016422FG057,broad_maritime,240106.64,"J & N METAL PRODUCTS, LLC",psc:1905
CONT_AWD_N5005424P0026_9700_-NONE-_-NONE-,N5005424P0026,small_craft,240047.6,"COLONNA'S SHIP YARD, INCORPORATED",naics:336612
CONT_AWD_N6449823P5064_9700_-NONE-_-NONE-,N6449823P5064,broad_maritime,240036.66,"HEXAGON US FEDERAL, INC",psc:2090
CONT_AWD_N3220524P2143_9700_-NONE-_-NONE-,N3220524P2143,small_craft,240000.0,LIFERAFT SYSTEMS AUSTRALIA PTY LTD,naics:336612; psc:2090
CONT_AWD_N6817124F0087_9700_N3220521D6175_9700,N6817124F0087,broad_maritime,240000.0,"FINCANTIERI MARINE SYSTEMS NORTH AMERICA, INC.",psc:2090
CONT_AWD_N3220516C2302_9700_-NONE-_-NONE-,N3220516C2302,broad_maritime,239946.49,"INTEGRITY CORPORATION, INC.",psc:2090
CONT_AWD_N0003923F1018_9700_N0003921D6001_9700,N0003923F1018,small_craft,239934.81,"TELEDYNE BROWN ENGINEERING, INC.",psc:1940
CONT_AWD_N3220521P2615_9700_-NONE-_-NONE-,N3220521P2615,broad_maritime,239644.26,"L3HARRIS TECHNOLOGIES, INC.",psc:2090
