vehicle_piid,tier,vehicle_type,incumbent,naics,psc,obligated_$m,n_orders,recompete_clock,months_to_clock,state,access_gate,portal_notice,last_activity,clock_basis,prev_clock
47QSWA18D009G,small_craft,IDV,"SILVER SHIPS, INC",336611,1940,67.4,3,2028-09-09,26.6,horizon (24-36mo),multiple-award vehicle,NONE,2026-02-13,lastDateToOrder,2026-06-18
N0002424C2222,small_craft,standalone,SYNERGY PARTNERS LLC,336612,1940,17.9,1,2028-10-31,28.3,horizon (24-36mo),open / standalone,NONE,2025-09-17,ultimateCompletionDate,2028-10-31
N0017819D7206,usv_core,IDV,"AVIAN, LLC",541330,R425,32.4,1,2029-01-01,30.4,horizon (24-36mo),multiple-award vehicle,NONE,2026-03-20,lastDateToOrder,2026-08-19
N0017819D7838,usv_core,IDV,"INNOVATIVE PROFESSIONAL SOLUTIONS, INC.",541330,R425,21.6,1,2029-01-01,30.4,horizon (24-36mo),multiple-award vehicle,NONE,2026-03-20,lastDateToOrder,2027-08-31
N0010424GCQ01,small_craft,IDV,"BIRD-JOHNSON PROPELLER COMPANY, LLC",336612,2010,5.9,4,2029-06-06,35.5,horizon (24-36mo),holders-only (FAR 16.5),NONE,2026-03-05,lastDateToOrder,2029-06-06
N0002423D2260,small_craft,IDV,"METALCRAFT MARINE US, INC.",336612,1940,10.8,4,2029-08-31,38.3,horizon (24-36mo),holders-only (FAR 16.5),NONE,2026-01-21,lastDateToOrder,2027-11-02
N0002422C6305,small_craft,standalone,"BOLLINGER SHIPYARDS LOCKPORT, L.L.C.",336611,1940,116.5,1,2029-09-10,38.7,horizon (24-36mo),open / standalone,NONE,2026-03-19,ultimateCompletionDate,2028-09-22
N6600125D0008,small_craft,IDV,HYDRONALIX INC,541330,1940,10.5,1,2029-10-23,40.1,horizon (24-36mo),holders-only (FAR 16.5),NONE,2026-03-18,lastDateToOrder,2027-11-26
N0002421C2209,other_small,standalone,"AUSTAL USA, LLC",336611,1925,383.6,1,2030-05-02,46.3,horizon (24-36mo),open / standalone,NONE,2026-03-05,ultimateCompletionDate,2029-05-02
N0002424D2276,small_craft,IDV,"RECONCRAFT, LLC",336612,1940,14.6,2,2031-05-16,58.8,horizon (24-36mo),multiple-award vehicle,NONE,2024-12-12,lastDateToOrder,2026-05-01
N0002424D2275,small_craft,IDV,GRAVOIS ALUMINUM BOATS LLC,336612,1940,36.4,3,2031-05-16,58.8,horizon (24-36mo),multiple-award vehicle,NONE,2025-09-29,lastDateToOrder,2028-01-09
N0003921D6001,small_craft,IDV,"TELEDYNE BROWN ENGINEERING, INC.",334511,1940,26.3,25,2031-06-30,60.3,horizon (24-36mo),holders-only (FAR 16.5),NONE,2026-01-21,lastDateToOrder,2026-07-30
N0002422D6404,usv_core,IDV,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,541715,AC32,35.2,4,2032-08-21,74.0,horizon (24-36mo),holders-only (FAR 16.5),NONE,2026-03-09,lastDateToOrder,2028-07-27
