prime_piid,prime,prime_uei,sub_key,sub_name,sub_uei,sub_amount,sub_date,capability,report_lag_mo,description
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,PAH8M4BJACA5,TELEDYNE INSTRUMENTS INC,PAH8M4BJACA5,291319.0,2024-05-06,propulsion_power,6.0,Engineering services/materials
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,YQ9EQZJ8PKM6,"AUXILIARY SYSTEMS, INC.",YQ9EQZJ8PKM6,288100.0,2019-02-14,other_unclassified,1.1,#2 REBOILER TUBE REMOVAL; Item #1
N6660418F3022,SERCO-IPS CORPORATION,RGEBPDP8RV96,F8Z3EH848VJ1,FATHOM RESOURCES LLC,F8Z3EH848VJ1,283524.12,2021-05-18,other_unclassified,29.5,Services
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,XNHRXR2HTXA8,"BEAUFORT COMPOSITE TECHNOLOGIES, INC",XNHRXR2HTXA8,282930.0,2021-04-13,platform_hull,0.7,Engineering services/materials
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,RLDUT4AS31N5,"MOBILEASE MODULAR SPACE, INC.",RLDUT4AS31N5,276787.28,2020-08-10,other_unclassified,1.6,Mod offices Charge Change 9/16/19-3/7/20PO item #9
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,RLDUT4AS31N5,"MOBILEASE MODULAR SPACE, INC.",RLDUT4AS31N5,276787.28,2020-03-10,other_unclassified,3.5,"Mod offices Charge Change 9/16/19-3/7/20;item num#9
"
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,GNF1HLLEJDK3,"CKS TECHNOLOGIES, LLC",GNF1HLLEJDK3,276600.0,2021-06-21,propulsion_power,0.6,Engineering services/materials
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,HXDVZG1NZU21,SCORPION TECHNOLOGIES LLC,HXDVZG1NZU21,272083.0,2021-06-17,integration_eng_svcs,34.2,"CableAssy&HarnMulti, Electromech-Mj Assys, Electronic Test Sys, NRE - All."
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,HXDVZG1NZU21,SCORPION TECHNOLOGIES LLC,HXDVZG1NZU21,272083.0,2021-06-17,integration_eng_svcs,21.8,"CableAssy&HarnMulti, Electromech-Mj Assys, Electronic Test Sys, NRE - Other."
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,HXDVZG1NZU21,SCORPION TECHNOLOGIES LLC,HXDVZG1NZU21,272083.0,2021-06-17,integration_eng_svcs,14.5,"CableAssy&HarnMulti, Electromech-Mj Assys, Electronic Test Sys, NRE - Other."
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,PX7XVJDX7TZ7,VICOR CORPORATION,PZK1KSXFFNX9,265488.0,2020-04-23,propulsion_power,8.9,Engineering materials
N6660418F3022,SERCO-IPS CORPORATION,RGEBPDP8RV96,M3WTFLL92KZ3,"DBV TECHNOLOGY, LLC",M3WTFLL92KZ3,264899.74,2022-06-29,other_unclassified,22.1,Services
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,XNHRXR2HTXA8,"BEAUFORT COMPOSITE TECHNOLOGIES, INC",XNHRXR2HTXA8,264190.0,2021-10-19,platform_hull,0.7,Engineering materials
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,RPLNSRFLMJ47,"Delay Holdings, LLC",K8XBC9JAPCJ3,261090.0,2020-10-29,propulsion_power,0.2,Engineering materials
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,F295NQHTL3F9,"APPLIED COMPOSITES HOLDINGS, LLC",W6UDW59QZAZ9,259523.0,2018-10-11,platform_hull,54.1,Fuselage.
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,K3NZPM2GWY95,"SAN DIEGO COMPOSITES, INC",W6UDW59QZAZ9,259523.0,2018-10-11,platform_hull,66.4,Fuselage.
N0002424C2204,"SAAB, INC",H5FMLSGM29L1,DC5VNMMT1FW6,FORCYS INC.,DC5VNMMT1FW6,255137.08,2024-06-03,autonomy_software,0.5,"EIVA EDGE Processing, Software
"
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,ME2BVJ4KGAM1,"SYSTIMA TECHNOLOGIES, INC.",ME2BVJ4KGAM1,250000.0,2021-04-02,other_unclassified,1.5,NRE - Other.
N6660418F3022,SERCO-IPS CORPORATION,RGEBPDP8RV96,M3WTFLL92KZ3,"DBV TECHNOLOGY, LLC",M3WTFLL92KZ3,249750.0,2021-03-18,other_unclassified,31.5,Services
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,MYHSMYECPCR1,"TECNOVA ADVANCED SYSTEMS, INC.",MYHSMYECPCR1,248800.0,2025-11-20,propulsion_power,1.3,Engineering Services/Materials
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,RLDUT4AS31N5,"MOBILEASE MODULAR SPACE, INC.",RLDUT4AS31N5,247463.0,2020-08-10,other_unclassified,1.6,Dismantle & Return FreightPO item #4
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,RLDUT4AS31N5,"MOBILEASE MODULAR SPACE, INC.",RLDUT4AS31N5,247463.0,2020-03-10,other_unclassified,3.5,"Dismantle & Return Freight;item num#4
"
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,LBZEPJN83LB8,MARINE CHEMIST SERVICE INC,LBZEPJN83LB8,245700.0,2019-02-11,other_unclassified,1.2,HEALTH AND SAFETY TECHNICIAN SERVICES; Item #1
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,HGFLCANUEGZ2,PRIMARY AIMLINE LLC,HGFLCANUEGZ2,244332.0,2021-09-08,autonomy_software,19.1,NRE - Other.
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,Q1B3NG6LP9B5,"EXAIL DEFENSE SYSTEMS, INC.",Q1B3NG6LP9B5,238641.71,2023-06-28,autonomy_software,1.1,Engineering services/materials
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,HGFLCANUEGZ2,PRIMARY AIMLINE LLC,HGFLCANUEGZ2,237450.0,2021-09-08,autonomy_software,31.5,NRE - All.
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,WWXGWQMGPUL3,HANWHA CIMARRON LLC,WWXGWQMGPUL3,236306.7,2023-02-24,propulsion_power,0.3,Engineering services/materials
N6660418F3022,SERCO-IPS CORPORATION,RGEBPDP8RV96,GFKFBWG2TV98,WOODS HOLE OCEANOGRAPHIC INSTITUTION,GFKFBWG2TV98,235863.08,2025-06-10,other_unclassified,1.2,Goods
N0002423C6308,"HII UNMANNED SYSTEMS, INC",WN18KN7KQLG9,FD82BKJCMHG7,SICOM INDUSTRIES LTD,FD82BKJCMHG7,235191.69,2025-09-17,platform_hull,1.4,Miscellaneous Fabricated Metal Product Manufacturing
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,GNF1HLLEJDK3,"CKS TECHNOLOGIES, LLC",GNF1HLLEJDK3,233600.0,2020-05-28,propulsion_power,0.3,Engineering services/materials
N0003921F2173,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,PDPJQW8ADE17,"YULISTA SERVICES, LLC",PDPJQW8ADE17,233157.99,2021-07-28,propulsion_power,0.2,Engineering services
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,XNHRXR2HTXA8,"BEAUFORT COMPOSITE TECHNOLOGIES, INC.",XNHRXR2HTXA8,231730.0,2023-11-08,platform_hull,1.7,Engineering services/materials
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,RKXHNMJD8639,WHITESBURG ELECTRONICS INC,RKXHNMJD8639,225377.83,2024-03-26,propulsion_power,0.7,Engineering services/materials
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,K3MRSBC1CYT4,223540.76,2023-04-20,propulsion_power,0.9,Engineering services/materials
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,MYJHF1S2HGV5,"EPSILON SYSTEMS SOLUTIONS, INC.",T1GVZ5Z6K5L4,222526.05,2020-06-02,other_unclassified,1.8,"CVN 77 DPIA JP-5 Pumping Services; item #1
"
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,MYJHF1S2HGV5,"EPSILON SYSTEMS SOLUTIONS, INC.",T1GVZ5Z6K5L4,222526.05,2020-06-02,other_unclassified,1.8,"CVN 77 DPIA JP-5 Pumping Services; item #1
"
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,RKXHNMJD8639,WHITESBURG ELECTRONICS INC,RKXHNMJD8639,220535.27,2023-06-02,propulsion_power,2.0,Engineering services/materials
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,CJGFRMQ3CDM4,"APEX SPECIALTY METALS, INC.",CJGFRMQ3CDM4,214938.85,2021-04-13,propulsion_power,0.7,Engineering services/materials
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,XNHRXR2HTXA8,"BEAUFORT COMPOSITE TECHNOLOGIES, INC.",XNHRXR2HTXA8,212730.0,2023-11-06,platform_hull,1.7,Engineering services/materials
N0002423C6308,"HII UNMANNED SYSTEMS, INC",WN18KN7KQLG9,Q1B3NG6LP9B5,"Exail Defense Systems, Inc.",Q1B3NG6LP9B5,207800.0,2025-09-16,autonomy_software,1.4,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,XNHRXR2HTXA8,"BEAUFORT COMPOSITE TECHNOLOGIES, INC",XNHRXR2HTXA8,207080.0,2021-08-04,platform_hull,1.0,Engineering materials
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,U8LNE16562Z5,COMTECH TELECOMMUNICATIONS CORP.,HKASYSKZWLQ5,205642.0,2022-06-23,propulsion_power,0.4,Engineering services/materials
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,PX7XVJDX7TZ7,VICOR CORPORATION,PZK1KSXFFNX9,204336.0,2021-03-10,propulsion_power,0.9,Engineering services/materials
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,MHZPPJVGRNN6,IXCORE,Q1B3NG6LP9B5,201562.0,2020-10-27,propulsion_power,0.3,Engineering materials
