supplier,sub_key,total_sub_dollars,n_distinct_primes,primary_capability,primes
DE TECHNOLOGIES INC,F1BAZ9LWHKW6,334312.0,1,other_unclassified,RAYTHEON COMPANY
"Teledyne Instruments, Inc.",DJ72XMAJLNL4,323976.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"Delay Holdings, LLC",RPLNSRFLMJ47,321230.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"AMERICAN MARITIME HOLDINGS, INC.",CQUHU3PC44L3,315583.0,1,other_unclassified,HUNTINGTON INGALLS INC
SEEBYTE INC.,EQ17DFU97TJ9,294000.0,1,other_unclassified,SERCO-IPS CORPORATION
"MAIN INDUSTRIES, INC.",EJB6ZB4NKGJ7,287463.0,1,autonomy_software,HUNTINGTON INGALLS INC
HANWHA CIMARRON LLC,WWXGWQMGPUL3,277788.14,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"APPLIED COMPOSITES HOLDINGS, LLC",F295NQHTL3F9,259523.0,1,platform_hull,RAYTHEON COMPANY
"SAN DIEGO COMPOSITES, INC",K3NZPM2GWY95,259523.0,1,platform_hull,RAYTHEON COMPANY
MEASUTRONICS CORPORATION,MTNWQNAC4W27,258241.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
Dell Technologies Inc.,TJCDPVN6RNP7,257437.55,2,other_unclassified,"LEIDOS, INC.; OASIS SYSTEMS, LLC"
ASSESSMENT AND TRAINING SOLUTIONS CONSULTING CORP.,G1UFCBLM51D1,252713.95,1,autonomy_software,"TELEDYNE BROWN ENGINEERING, INC."
SONIC ENCLOSURES LIMITED,YSK5RH6YV5N6,247600.0,1,autonomy_software,"SAAB, INC"
MARINE CHEMIST SERVICE INC,LBZEPJN83LB8,245700.0,1,other_unclassified,HUNTINGTON INGALLS INC
BOOZ ALLEN HAMILTON HOLDING CORPORATION,MBPHTU7Y9S65,244331.89,1,autonomy_software,"AVIAN, LLC"
"AQUA-CHEM, INC.",E3YNKWRANZ18,236506.42,1,other_unclassified,HUNTINGTON INGALLS INC
PURVIS SYSTEMS INCORPORATED,PZGKKRM4AK23,236208.31,1,other_unclassified,SERCO-IPS CORPORATION
SICOM INDUSTRIES LTD,FD82BKJCMHG7,235191.69,1,platform_hull,"HII UNMANNED SYSTEMS, INC"
"KVH INDUSTRIES, INC.",HCJET1PHKSZ1,234650.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"YULISTA SERVICES, LLC",PDPJQW8ADE17,233157.99,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
TRILLIUM ENGINEERING LLC,EZMHKCRK1F13,230400.0,1,sensors_payload,RAYTHEON COMPANY
