cell,desc,net,n,primes,top1,hhi,eff,label,span,n_years
M1AA,OPERATION OF OFFICE BUILDINGS,2877793.62,1,1,1.0,1.0,1.0,High,0,1
4220,MARINE LIFESAVING AND DIVING EQUIP,2776303.76,4,2,0.5067268863980504,0.5000905020012246,1.9996380575081412,High,10,4
7B21,IT AND TELECOM - COMPUTE: MAINFRAM,2499871.1,3,3,0.8000412501268566,0.6600577539227545,1.515018941989474,High,1,2
6150,MISCELLANEOUS ELECTRIC POWER AND D,2357713.4,2,2,0.8398448259232865,0.7309890114136577,1.3680096203718612,High,7,2
5935,"CONNECTORS, ELECTRICAL",2144205.42,2,2,0.9998833414011237,0.9997667100207048,1.0002333444162093,High,5,2
S216,HOUSEKEEPING- FACILITIES OPERATION,2132983.43,1,1,1.0,1.0,1.0,High,0,1
7435,OFFICE INFORMATION SYSTEM EQUIPMEN,2024613.36,1,1,1.0,1.0,1.0,High,0,1
B506,SPECIAL STUDIES/ANALYSIS- DATA (OT,1986898.0,2,1,1.0,1.0,1.0,High,1,2
4810,"VALVES, POWERED",1952500.0,1,1,1.0,1.0,1.0,High,0,1
1730,AIRCRAFT GROUND SERVICING EQUIPMEN,1944084.42,1,1,1.0,1.0,1.0,High,0,1
4320,POWER AND HAND PUMPS,1872350.7200000002,2,2,0.9200701992413045,0.8529179445812585,1.1724457274620383,High,0,1
1325,BOMBS,1733981.77,2,2,0.6041605904541891,0.5216988572075306,1.9168146262628332,High,0,1
U010,EDUCATION/TRAINING- CERTIFICATIONS,1694162.49,2,1,1.0,1.0,1.0,High,2,2
Z2AZ,REPAIR OR ALTERATION OF OTHER ADMI,1472076.0,1,1,1.0,1.0,1.0,High,0,1
B546,SPECIAL STUDIES/ANALYSIS- SECURITY,1447614.0,1,1,1.0,1.0,1.0,High,0,1
3620,RUBBER AND PLASTICS WORKING MACHIN,1271981.84,4,1,1.0,1.0,1.0,High,2,3
6120,TRANSFORMERS: DISTRIBUTION AND POW,1247254.2,1,1,1.0,1.0,1.0,High,0,1
K070,MODIFICATION OF EQUIPMENT- ADP EQU,1243197.45,1,1,1.0,1.0,1.0,High,0,1
N017,INSTALLATION OF EQUIPMENT- AIRCRAF,1240804.84,1,1,1.0,1.0,1.0,High,0,1
R702,SUPPORT- MANAGEMENT: DATA COLLECTI,1170791.22,1,1,1.0,1.0,1.0,High,0,1
H214,EQUIPMENT AND MATERIALS TESTING- G,1148660.9100000001,2,2,0.6474494809786815,0.5434826988817651,1.839984974788591,High,10,2
H170,QUALITY CONTROL- ADP EQUIPMENT/SOF,1059537.0,1,1,1.0,1.0,1.0,High,0,1
D320,IT AND TELECOM- ANNUAL HARDWARE MA,1024761.77,1,1,1.0,1.0,1.0,High,0,1
