generated_internal_id,award_id,recipient_name,award_amount,contract_award_type,award_type_group,awarding_agency,awarding_sub_agency,funding_agency,funding_sub_agency,naics,psc,start_date,end_date,in_scope,matched_axes,matched_queries,description
CONT_AWD_N3220513C5003_9700_-NONE-_-NONE-,N3220513C5003,PARKER-HANNIFIN CORP,363938.52,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '334419', 'description': 'OTHER ELECTRONIC COMPONENT MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2013-01-25,2013-07-01,yes,psc:2090,psc:2090,USS EMORY S LAND (AS 39) UPGRADE TO 30 TON CRANE DRIVE SYSTEM.
CONT_AWD_N3220517P4241_9700_-NONE-_-NONE-,N3220517P4241,VALVE AUTOMATION AND CONTROL OF SAN DIEGO,363640.0,PURCHASE ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '332911', 'description': 'INDUSTRIAL VALVE MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2016-10-06,2017-03-17,yes,psc:2090,psc:2090,N104B1/RUHLING LUG TYPE BUTTERFLY VALVES.
CONT_AWD_N6449818F4095_9700_N6554013D0021_9700,N6449818F4095,"LEIDOS, INC.",362348.72,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2018-06-04,2020-09-30,yes,psc:2090,psc:2090,DVSS - SHIPSET - YEAR 5
CONT_AWD_N6279324F0112_9700_N0002421D4114_9700,N6279324F0112,HII FLEET SUPPORT GROUP LLC,360294.4,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2024-01-08,2024-10-30,yes,psc:1905,psc:1905,AIRCRAFT CARRIER CLIMATE CONTROL IMPROVEMENT TEAM (ACCCIT) MACHINERY VENTILATION SYSTEMS - INSPECTION FOR USS HARRY S. TRUMAN (CVN 75)
CONT_AWD_N3220517P4009_9700_-NONE-_-NONE-,N3220517P4009,"MOTOR-SERVICES HUGO STAMP, INC",360250.0,PURCHASE ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '333618', 'description': 'OTHER ENGINE EQUIPMENT MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2017-05-08,2017-07-03,yes,psc:2090,psc:2090,ENGINE SPARE PARTS FOR T-AO CLASS SHIPS
CONT_AWD_N6449818F4090_9700_N6554013D0025_9700,N6449818F4090,"TRELLEBORG MARINE SYSTEMS NORTH AMERICA, INC.",358578.0,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '332312', 'description': 'FABRICATED STRUCTURAL METAL MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2018-06-01,2018-09-29,yes,psc:2090,psc:2090,IGF::CT::IGF DDG SHIP SEPARATOR
CONT_AWD_N0040622C0006_9700_-NONE-_-NONE-,N0040622C0006,"LAKE SHORE SYSTEMS, INC.",357990.91,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2021-12-28,2022-02-20,yes,psc:2090,psc:2090,"MAINTENANCE, STERN RAMP"
CONT_AWD_N6449819F4144_9700_N6554014D0011_9700,N6449819F4144,"L3 TECHNOLOGIES, INC.",357811.61,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2019-06-06,2020-01-16,yes,psc:2090,psc:2090,SYNCRO KIT 400 HZ AND RUDDER ANGLE TRANSMITTER
CONT_AWD_N3220517P4300_9700_-NONE-_-NONE-,N3220517P4300,WESTLEY GROUP LIMITED,357262.03,PURCHASE ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '333613', 'description': 'MECHANICAL POWER TRANSMISSION EQUIPMENT MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2017-03-30,2017-06-27,yes,psc:2090,psc:2090,"N104B1/GARDNER USNS ARCTIC; PART#: DWG 6360793,"
CONT_AWD_N0010422PJC49_9700_-NONE-_-NONE-,N0010422PJC49,"ADMARTEC, INC",356985.0,PURCHASE ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336612', 'description': 'BOAT BUILDING'}","{'code': '6625', 'description': 'ELECTRICAL AND ELECTRONIC PROPERTIES MEASURING AND TESTING INSTRUMENTS'}",2022-07-26,2023-01-23,yes,naics:336612,naics:336612,"SEPA MAINTENANCE KIT,ELE"
CONT_AWD_N3220516P4011_9700_-NONE-_-NONE-,N3220516P4011,COLTEC INDUSTRIES INC.,356564.76,PURCHASE ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '333618', 'description': 'OTHER ENGINE EQUIPMENT MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2016-03-02,2016-08-26,yes,psc:2090,psc:2090,P/N S014057 CYLINDER LINERS
CONT_AWD_N3220518P4001_9700_-NONE-_-NONE-,N3220518P4001,"MOTOR-SERVICES HUGO STAMP, INC",355956.0,PURCHASE ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '333618', 'description': 'OTHER ENGINE EQUIPMENT MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2017-11-15,2018-02-26,yes,psc:2090,psc:2090,"N04104A1,  BLAIR USNS YUKON ME 24K PARTS"
CONT_AWD_N3220521F1510_9700_N3220521D6175_9700,N3220521F1510,"FINCANTIERI MARINE SYSTEMS NORTH AMERICA, INC.",355315.54,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '333618', 'description': 'OTHER ENGINE EQUIPMENT MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2021-05-19,2021-07-02,yes,psc:2090,psc:2090,N104B3- V. PRINCIPE- N758-USNS BRUNSWICK- PROCUREMENT FOR SSDG SERVICES
CONT_AWD_N0040623C0012_9700_-NONE-_-NONE-,N0040623C0012,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,354697.35,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2023-03-28,2023-07-14,yes,psc:2090,psc:2090,HEAT EXCHANGER
CONT_AWD_N0024424F0477_9700_N0024423D0003_9700,N0024424F0477,"MARINE & RESTAURANT FABRICATORS, INC.",353680.0,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '332322', 'description': 'SHEET METAL WORK MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2024-09-11,2025-05-09,yes,psc:2090,psc:2090,MATERIALS FOR SHIPBOARD HAB RENOVATIONS ONBAORD THE USS JOHN P MURTHA (LPD-26).
CONT_AWD_N0016423FG020_9700_N0016420DGP58_9700,N0016423FG020,"J & N METAL PRODUCTS, LLC",353676.81,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '332710', 'description': 'MACHINE SHOPS'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2023-02-10,2023-12-11,yes,psc:1905,psc:1905,AN/SQS-53C STAVE FRAME SHIPSETS
CONT_AWD_N0010425PLC10_9700_-NONE-_-NONE-,N0010425PLC10,"D. P. BROWN OF PENNSYLVANIA, CORP",353025.0,PURCHASE ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336612', 'description': 'BOAT BUILDING'}","{'code': '6105', 'description': 'MOTORS, ELECTRICAL'}",2025-06-09,2026-03-02,yes,naics:336612,naics:336612,"EAF MOTOR,ALTERNATING C"
