vendor,piid,is_ot,award_type,base_signed,last_signed,ceiling_$m,obligated_$m
AUSTAL USA,N0002411C2301,no,DEFINITIVE CONTRACT,2012-08-24,2025-08-12,5642.7,4464.7
AUSTAL USA,N0002417C2301,no,DEFINITIVE CONTRACT,2020-01-22,2025-12-18,3098.9,2809.9
AUSTAL USA,N0002408C2217,no,DEFINITIVE CONTRACT,2018-01-24,2023-06-07,1673.4,1651.8
AUSTAL USA,70Z02322C93220001,no,DEFINITIVE CONTRACT,2026-04-13,2026-04-13,3311.2,1401.2
AUSTAL USA,N0002419C2227,no,DEFINITIVE CONTRACT,2022-09-08,2026-03-26,1882.0,1245.6
TEXTRON SYSTEMS,N0002417C2480,no,DEFINITIVE CONTRACT,2017-09-01,2025-08-07,970.9,970.9
TEXTRON SYSTEMS,W911QY17C0013,no,DEFINITIVE CONTRACT,2017-01-04,2024-08-16,705.0,685.9
TEXTRON SYSTEMS,N0002412C2401,no,DEFINITIVE CONTRACT,2015-09-16,2022-04-08,663.2,661.6
AUSTAL USA,N0002423C2203,no,DEFINITIVE CONTRACT,2024-12-17,2025-11-06,3196.8,631.8
L3HARRIS TECHNOLOGIES,FA881919C0002,no,DEFINITIVE CONTRACT,2019-03-21,2026-02-24,488.0,468.9
AUSTAL USA,N0002421C2209,no,DEFINITIVE CONTRACT,2022-03-14,2025-07-02,520.4,416.0
AUSTAL USA,N0002416C2217,no,DEFINITIVE CONTRACT,2018-02-16,2019-07-25,350.4,347.4
TEXTRON SYSTEMS,FA868211C0044,no,DEFINITIVE CONTRACT,2012-04-10,2018-05-29,321.3,317.4
TEXTRON SYSTEMS,W58RGZ21C0013,no,DEFINITIVE CONTRACT,2023-07-26,2025-07-24,709.7,313.1
SARONIC TECHNOLOGIES,N000242596305,yes,OTHER TRANSACTION AGREEMENT,2025-05-16,2026-03-09,457.0,296.5
TEXTRON SYSTEMS,W58RGZ15C0047,no,DEFINITIVE CONTRACT,2024-05-15,2024-05-15,294.0,282.1
TEXTRON SYSTEMS,W15QKN06C0161,no,DEFINITIVE CONTRACT,2006-12-13,2010-07-02,372.5,245.7
L3HARRIS TECHNOLOGIES,W9126019C0001,no,DEFINITIVE CONTRACT,2019-05-29,2026-03-18,250.2,184.8
MARITIME APPLIED PHYSICS,N0002422C2228,no,DEFINITIVE CONTRACT,2023-12-28,2024-12-30,211.4,180.9
TEXTRON SYSTEMS,W58RGZ13C0108,no,DEFINITIVE CONTRACT,2014-06-16,2019-07-29,202.8,163.6
L3HARRIS TECHNOLOGIES,W9126012C0001,no,DEFINITIVE CONTRACT,2019-02-04,2019-03-19,156.0,134.3
L3HARRIS TECHNOLOGIES,NMA10097C5001,no,DEFINITIVE CONTRACT,1999-09-09,2005-03-21,0.0,116.8
TEXTRON SYSTEMS,FA867707C0001,no,DEFINITIVE CONTRACT,2008-10-30,2011-02-15,1711.0,115.7
TEXTRON SYSTEMS,W56HZV13C0170,no,DEFINITIVE CONTRACT,2015-06-25,2022-09-15,113.0,113.0
TEXTRON SYSTEMS,FA867706C0010,no,DEFINITIVE CONTRACT,2012-07-30,2012-07-30,0.0,108.0
AUSTAL USA,N0002422C2463,no,DEFINITIVE CONTRACT,2023-04-13,2023-09-06,346.1,100.8
L3HARRIS TECHNOLOGIES,N0003903C0084,no,DEFINITIVE CONTRACT,2017-03-30,2017-03-30,0.0,89.4
TEXTRON SYSTEMS,W15QKN239C001,yes,OTHER TRANSACTION IDV,2022-11-08,2025-09-26,82.7,82.7
BOLLINGER,1305M222CNMAN0006,no,DEFINITIVE CONTRACT,2022-05-05,2026-05-26,77.8,77.8
L3HARRIS TECHNOLOGIES,FA881908C0001,no,DEFINITIVE CONTRACT,2008-09-18,2019-02-05,185.7,71.9
TEXTRON SYSTEMS,W58RGZ12C0071,no,DEFINITIVE CONTRACT,2020-02-26,2020-02-26,69.3,68.5
TEXTRON SYSTEMS,FA861717C6218,no,DEFINITIVE CONTRACT,2021-02-10,2021-02-10,67.6,67.6
TEXTRON SYSTEMS,0001,no,DELIVERY ORDER,2008-04-01,2024-03-06,67.2,67.2
HII UNMANNED SYSTEMS,N0003910C0085,no,DEFINITIVE CONTRACT,2011-03-07,2021-07-14,78.3,49.6
SARONIC TECHNOLOGIES,HQ08452490056,yes,OTHER TRANSACTION AGREEMENT,2024-07-03,2026-03-16,50.3,44.2
TEXTRON SYSTEMS,W56HZV11C0114,no,DEFINITIVE CONTRACT,2018-04-30,2023-09-05,45.9,43.5
TEXTRON SYSTEMS,0002,no,DELIVERY ORDER,2002-10-02,2024-03-06,48.6,41.2
L3HARRIS TECHNOLOGIES,FA881918C0015,no,DEFINITIVE CONTRACT,2018-09-28,2022-05-03,21.7,39.3
TEXTRON SYSTEMS,W58RGZ23F0207,no,DELIVERY ORDER,2023-08-30,2023-08-30,37.6,37.6
TEXTRON SYSTEMS,N0001918F0615,no,DELIVERY ORDER,2020-06-25,2020-06-25,37.6,37.4
TEXTRON SYSTEMS,W58RGZ20F0265,no,DELIVERY ORDER,2020-02-06,2020-02-06,45.4,37.2
TEXTRON SYSTEMS,H9240821F0021,no,DELIVERY ORDER,2024-06-12,2024-06-12,34.9,34.9
TEXTRON SYSTEMS,W56HZV15C0108,no,DEFINITIVE CONTRACT,2015-11-09,2019-01-07,33.8,33.8
AUSTAL USA,N6931620F4000,no,DELIVERY ORDER,2020-12-16,2020-12-16,32.4,30.6
TEXTRON SYSTEMS,0003,no,DELIVERY ORDER,2000-09-27,2020-12-04,32.6,30.3
TEXTRON SYSTEMS,N0001923F2544,no,DELIVERY ORDER,2024-05-10,2024-12-12,51.0,27.9
AUSTAL USA,N6931619F4000,no,DELIVERY ORDER,2020-07-17,2020-07-17,28.5,27.7
SARONIC TECHNOLOGIES,H92405249P013,yes,OTHER TRANSACTION IDV,2024-07-31,2025-09-23,31.0,27.2
AUSTAL USA,N6931619F4002,no,DELIVERY ORDER,2020-02-04,2020-02-04,29.2,27.2
TEXTRON SYSTEMS,W15QKN22F0396,no,DELIVERY ORDER,2022-07-29,2025-07-11,27.1,27.1
TEXTRON SYSTEMS,FA820414C0011,no,DEFINITIVE CONTRACT,2019-07-30,2025-08-29,66.1,26.8
TEXTRON SYSTEMS,H9240822F0009,no,DELIVERY ORDER,2022-06-01,2022-06-01,25.4,25.4
TEXTRON SYSTEMS,NNA07BC07C,no,DEFINITIVE CONTRACT/PURCHASE ORDER,2008-01-10,2012-03-07,34.7,25.4
TEXTRON SYSTEMS,W15QKN08C0475,no,DEFINITIVE CONTRACT,2009-12-15,2010-05-13,29.6,24.5
TEXTRON SYSTEMS,F3365795C0077,no,DEFINITIVE CONTRACT,1996-12-10,1996-12-10,0.0,23.0
TEXTRON SYSTEMS,W91CRB269A007,yes,OTHER TRANSACTION AGREEMENT,2026-01-30,2026-01-30,25.6,22.5
TEXTRON SYSTEMS,N0001423C2006,no,DEFINITIVE CONTRACT,2026-01-14,2026-01-14,112.1,21.2
TEXTRON SYSTEMS,N0002425F6300,no,DELIVERY ORDER,2026-03-13,2026-03-13,106.2,17.6
TEXTRON SYSTEMS,W911QY21F0368,no,DELIVERY ORDER,2021-08-02,2021-11-01,19.7,17.5
TEXTRON SYSTEMS,H9240318F0076,no,DELIVERY ORDER,2020-09-01,2020-09-01,17.3,17.3
TEXTRON SYSTEMS,N6833503C0128,no,DEFINITIVE CONTRACT,2003-02-26,2003-02-26,16.3,16.3
TEXTRON SYSTEMS,N0038320CP023,no,DEFINITIVE CONTRACT,2020-10-07,2020-10-07,16.2,16.2
TEXTRON SYSTEMS,N0001920F0541,no,DELIVERY ORDER,2020-08-12,2020-08-12,40.3,15.4
TEXTRON SYSTEMS,W56HZV14C0239,no,DEFINITIVE CONTRACT,2015-11-04,2015-11-04,15.3,15.3
TEXTRON SYSTEMS,W56HZV05C0313,no,DEFINITIVE CONTRACT,2005-04-29,2009-08-11,0.0,15.0
AUSTAL USA,N0002420C6315,no,DEFINITIVE CONTRACT,2025-03-07,2025-03-07,23.0,14.6
TEXTRON SYSTEMS,N0001922F1125,no,DELIVERY ORDER,2023-02-16,2023-02-16,18.4,14.5
AUSTAL USA,N6931623F4001,no,DELIVERY ORDER,2024-10-03,2024-12-23,13.6,12.7
L3HARRIS TECHNOLOGIES,ZD110199010BDCA20089C0023,no,PURCHASE ORDER,1990-10-15,1990-10-15,0.0,12.0
AUSTAL USA,N6931621F4005,no,DELIVERY ORDER,2023-08-10,2023-08-10,12.0,12.0
TEXTRON SYSTEMS,N6133124F0102,no,DELIVERY ORDER,2025-01-15,2025-05-08,12.0,11.9
TEXTRON SYSTEMS,FA873005C0002,no,DEFINITIVE CONTRACT,2007-07-18,2009-07-07,0.0,11.7
TEXTRON SYSTEMS,F3060285C0179,no,DEFINITIVE CONTRACT,1985-09-30,1985-09-30,33.8,11.2
HII UNMANNED SYSTEMS,HQ08451990004,yes,OTHER TRANSACTION AGREEMENT,2022-09-23,2023-01-09,13.0,10.7
AUSTAL USA,N6931624F4000,no,DELIVERY ORDER,2026-02-12,2026-02-12,10.0,9.9
SPATIAL INTEGRATED SYSTEMS,N0002405FB047,no,DELIVERY ORDER,2007-12-27,2008-09-24,0.0,9.7
AUSTAL USA,N4034523F8003,no,DELIVERY ORDER,2024-06-28,2024-06-28,9.6,9.6
HII UNMANNED SYSTEMS,N0001409C0137,no,DEFINITIVE CONTRACT,2013-10-17,2013-10-17,9.4,9.4
TEXTRON SYSTEMS,N6133125F0103,no,DELIVERY ORDER,2025-06-27,2026-02-17,13.2,9.4
TEXTRON SYSTEMS,W58RGZ12C0011,no,DEFINITIVE CONTRACT,2020-05-04,2020-05-04,9.3,9.3
AUSTAL USA,N4034523F0094,no,DELIVERY ORDER,2022-12-15,2022-12-15,9.2,9.2
AUSTAL USA,N5523624F8418,no,DELIVERY ORDER,2024-05-15,2024-05-15,9.1,9.1
TEXTRON SYSTEMS,H9240819F0003,no,DELIVERY ORDER,2020-08-13,2020-08-13,13.9,8.6
BOLLINGER,1305M221PNMAN0367,no,PURCHASE ORDER,2021-09-17,2024-09-19,8.1,8.1
AUSTAL USA,N6931620F4002,no,DELIVERY ORDER,2023-12-11,2023-12-11,8.9,7.9
BOLLINGER,1305M221PNMAN0377,no,PURCHASE ORDER,2021-09-16,2022-09-16,7.7,7.7
AUSTAL USA,N6931623F4002,no,DELIVERY ORDER,2024-08-27,2026-02-10,7.5,7.5
L3HARRIS TECHNOLOGIES,HJ030198401C0055F3060281C0287,no,DELIVERY ORDER,1984-01-15,1984-01-15,0.0,7.4
BOLLINGER,1305M220PNMAN0538,no,PURCHASE ORDER,2020-08-27,2022-07-18,7.3,7.3
L3HARRIS TECHNOLOGIES,FH020198407C29152915DAAB0779G6229,no,DELIVERY ORDER,1984-07-15,1984-07-15,0.0,7.2
TEXTRON SYSTEMS,0014,no,DELIVERY ORDER,2010-09-27,2010-09-27,6.5,6.5
L3HARRIS TECHNOLOGIES,00023199409DIA2121C4234482,no,DEFINITIVE CONTRACT,1996-08-15,1996-08-15,0.0,6.3
TEXTRON SYSTEMS,N0002406C6109,no,DEFINITIVE CONTRACT,2007-03-06,2008-07-11,0.0,5.8
SARONIC TECHNOLOGIES,HR0011269E015,yes,OTHER TRANSACTION AGREEMENT,2025-12-09,2026-03-13,12.0,5.7
BOLLINGER,1305M222PNMAN0012,no,PURCHASE ORDER,2021-12-06,2023-09-24,5.2,5.2
L3HARRIS TECHNOLOGIES,0ZD04198112C0855MDA90481C0238,no,DELIVERY ORDER,1981-12-15,1981-12-15,0.0,4.9
AUSTAL USA,N6931621F4002,no,DELIVERY ORDER,2022-03-30,2022-03-30,7.5,4.9
TEXTRON SYSTEMS,FA851916C0004,no,DEFINITIVE CONTRACT,2021-10-14,2021-10-14,4.6,4.6
BOLLINGER,1305M226P0124,no,PURCHASE ORDER,2026-06-02,2026-06-10,4.6,4.6
TEXTRON SYSTEMS,N6833525C0097,no,DEFINITIVE CONTRACT,2025-03-25,2025-03-25,4.4,4.4
TEXTRON SYSTEMS,FA486106CC008,no,DEFINITIVE CONTRACT,2007-10-09,2007-10-09,4.3,4.3
TEXTRON SYSTEMS,FA853321F0060,no,DELIVERY ORDER,2023-10-04,2023-10-04,4.2,4.2
TEXTRON SYSTEMS,N0002406C6102,no,DEFINITIVE CONTRACT,2006-06-13,2006-06-13,0.0,4.2
SEA MACHINES,HQ00342090028,yes,OTHER TRANSACTION AGREEMENT,2020-07-17,2022-12-05,10.4,4.1
TEXTRON SYSTEMS,W56KGY21F0062,no,DELIVERY ORDER,2021-06-30,2025-07-17,5.5,3.9
TEXTRON SYSTEMS,HQ08452490055,yes,OTHER TRANSACTION AGREEMENT,2025-02-25,2025-02-25,3.9,3.9
TEXTRON SYSTEMS,W56KGY19F0040,no,DELIVERY ORDER,2020-03-24,2020-03-24,3.9,3.9
TEXTRON SYSTEMS,FA821416F0006,no,DELIVERY ORDER,2016-06-16,2016-07-14,3.9,3.9
HII UNMANNED SYSTEMS,N0017420F0226,no,DELIVERY ORDER,2020-10-15,2020-10-15,5.6,3.5
AUSTAL USA,N5523625F8483,no,DELIVERY ORDER,2025-03-21,2025-03-21,3.5,3.5
SPATIAL INTEGRATED SYSTEMS,FA872616C0001,no,DEFINITIVE CONTRACT,2015-12-10,2017-09-21,4.8,3.4
SPATIAL INTEGRATED SYSTEMS,N0001411C0184,no,DEFINITIVE CONTRACT,2013-07-15,2014-06-16,3.4,3.4
TEXTRON SYSTEMS,FA821417F0003,no,DELIVERY ORDER,2017-05-02,2017-05-02,3.4,3.4
TEXTRON SYSTEMS,W911QY19F0517,no,DELIVERY ORDER,2020-06-09,2020-06-09,4.8,3.3
TEXTRON SYSTEMS,FA868210C0078,no,DEFINITIVE CONTRACT,2010-03-01,2010-03-01,3.3,3.3
TEXTRON SYSTEMS,W911QY20F0083,no,DELIVERY ORDER,2021-07-15,2025-03-24,3.3,3.2
TEXTRON SYSTEMS,FA821421F0007,no,DELIVERY ORDER,2022-04-27,2023-05-02,3.2,3.2
MARITIME APPLIED PHYSICS,N0010424CLA18,no,DEFINITIVE CONTRACT,2024-05-08,2025-07-31,3.1,3.1
HII UNMANNED SYSTEMS,N6133108C0022,no,DEFINITIVE CONTRACT,2008-08-22,2008-08-22,3.1,3.1
HII UNMANNED SYSTEMS,0015,no,DELIVERY ORDER,2021-09-21,2021-09-21,6.1,3.1
SPATIAL INTEGRATED SYSTEMS,N0001420C1066,no,DEFINITIVE CONTRACT,2021-04-20,2023-01-11,10.0,3.0
HII UNMANNED SYSTEMS,N0001420C1066,no,DEFINITIVE CONTRACT,2023-12-04,2023-12-04,10.0,3.0
OCEAN AERO,N0025315C0008,no,DEFINITIVE CONTRACT,2015-08-06,2023-04-11,2.9,2.9
MARITIME APPLIED PHYSICS,N0010423CLA0K,no,DEFINITIVE CONTRACT,2024-05-28,2024-05-28,2.9,2.9
TEXTRON SYSTEMS,H9224109C0001,no,DEFINITIVE CONTRACT,2008-12-16,2008-12-16,2.9,2.9
TEXTRON SYSTEMS,FA853317F0144,no,DELIVERY ORDER,2024-09-17,2024-09-17,2.8,2.8
BOLLINGER,1305M220PNMAN0067,no,PURCHASE ORDER,2019-11-13,2021-07-21,2.8,2.8
TEXTRON SYSTEMS,HR001112C0115,no,DEFINITIVE CONTRACT,2012-11-29,2012-11-29,2.7,2.7
TEXTRON SYSTEMS,N6931625F2000,no,DELIVERY ORDER,2026-01-21,2026-01-21,2.7,2.7
HII UNMANNED SYSTEMS,N6133125F0129,no,DELIVERY ORDER,2025-09-04,2025-09-04,2.9,2.6
HII UNMANNED SYSTEMS,N0003920F0192,no,DELIVERY ORDER,2024-01-25,2024-01-25,2.6,2.6
HII UNMANNED SYSTEMS,N0017421F0171,no,DELIVERY ORDER,2024-01-22,2024-01-22,3.5,2.5
L3HARRIS TECHNOLOGIES,E614A198403C0933N0001483C0309,no,DELIVERY ORDER,1984-03-15,1984-03-15,0.0,2.5
MARITIME APPLIED PHYSICS,N0010424CLA28,no,DEFINITIVE CONTRACT,2025-10-10,2025-11-06,2.4,2.4
TEXTRON SYSTEMS,FA821420F0006,no,DELIVERY ORDER,2021-04-19,2021-04-19,2.4,2.4
AUSTAL USA,N6931621F4000,no,DELIVERY ORDER,2023-07-19,2023-07-19,3.8,2.3
AUSTAL USA,N5523624F8446,no,DELIVERY ORDER,2025-02-27,2025-02-27,2.3,2.3
MARITIME APPLIED PHYSICS,N0017817C9003,no,DEFINITIVE CONTRACT,2018-03-20,2018-03-20,2.4,2.2
HII UNMANNED SYSTEMS,N0001413C0222,no,DEFINITIVE CONTRACT,2014-04-24,2014-04-24,2.2,2.2
L3HARRIS TECHNOLOGIES,80KSC019P0042,no,PURCHASE ORDER,2021-02-25,2021-05-18,2.3,2.2
SPATIAL INTEGRATED SYSTEMS,N0001405C0166,no,DEFINITIVE CONTRACT,2005-02-09,2005-02-09,0.0,2.1
HII UNMANNED SYSTEMS,N0017422F0174,no,DELIVERY ORDER,2022-06-15,2024-01-25,4.0,2.1
TEXTRON SYSTEMS,W56KGY19F0059,no,DELIVERY ORDER,2020-03-26,2020-08-26,2.1,2.1
L3HARRIS TECHNOLOGIES,HC090198011C0011F0470178C0039,no,DELIVERY ORDER,1980-11-15,1980-11-15,0.0,2.0
L3HARRIS TECHNOLOGIES,D2602198306C1043N0003982C0013,no,DELIVERY ORDER,1983-06-15,1983-06-15,0.0,2.0
AUSTAL USA,N4034524F0516,no,DELIVERY ORDER,2024-08-29,2024-08-29,2.0,2.0
MARITIME APPLIED PHYSICS,N6833523C0231,no,DEFINITIVE CONTRACT,2025-01-03,2025-01-03,1.9,1.9
HII UNMANNED SYSTEMS,N0003918F1243,no,DELIVERY ORDER,2020-01-22,2020-01-22,1.9,1.9
MARITIME APPLIED PHYSICS,W912KZ12P0071,no,PURCHASE ORDER,2013-08-17,2013-08-17,1.8,1.8
LEIDOS,47QFNA26F0023,no,DELIVERY ORDER,2026-02-27,2026-06-02,35.4,1.8
MARITIME APPLIED PHYSICS,H92405239P010,yes,OTHER TRANSACTION IDV,2024-03-07,2024-03-07,1.7,1.7
HII UNMANNED SYSTEMS,N0017421F0168,no,DELIVERY ORDER,2024-01-22,2024-01-22,1.7,1.7
HII UNMANNED SYSTEMS,N6600117F0516,no,DELIVERY ORDER,2017-09-29,2017-09-29,1.7,1.7
HII UNMANNED SYSTEMS,0004,no,DELIVERY ORDER,2014-07-21,2015-04-08,1.8,1.7
L3HARRIS TECHNOLOGIES,0ZD04198203C1656MDA90481C0408,no,DELIVERY ORDER,1982-03-15,1982-03-15,0.0,1.7
AUSTAL USA,N5523625F8484,no,DELIVERY ORDER,2025-04-04,2025-04-04,1.7,1.7
HII UNMANNED SYSTEMS,N6133108C0023,no,DEFINITIVE CONTRACT,2008-05-15,2008-05-15,1.6,1.6
TEXTRON SYSTEMS,0006,no,DELIVERY ORDER,2013-08-02,2017-09-10,1.6,1.6
L3HARRIS TECHNOLOGIES,E614A198406C1614N0001483C0309,no,DELIVERY ORDER,1984-06-15,1984-06-15,0.0,1.5
TEXTRON SYSTEMS,W56KGY24F0103,no,DELIVERY ORDER,2025-08-20,2025-08-20,4.4,1.5
MARITIME APPLIED PHYSICS,N0002426C3061,no,DEFINITIVE CONTRACT,2026-03-25,2026-03-25,2.0,1.4
MARITIME APPLIED PHYSICS,N0002425CS059,no,DEFINITIVE CONTRACT,2026-02-20,2026-02-20,2.0,1.4
HII UNMANNED SYSTEMS,N0017421F0173,no,DELIVERY ORDER,2021-09-21,2024-01-25,2.1,1.4
HII UNMANNED SYSTEMS,N0003919F0511,no,DELIVERY ORDER,2020-07-22,2020-07-22,1.9,1.4
L3HARRIS TECHNOLOGIES,00050200005BIA0300Q9234964,no,PURCHASE ORDER,2000-05-15,2000-05-15,0.0,1.4
AUSTAL USA,N5523624F8458,no,DELIVERY ORDER,2024-04-19,2024-07-12,1.4,1.4
SPATIAL INTEGRATED SYSTEMS,N6833520F0551,no,DELIVERY ORDER,2022-01-20,2024-01-25,1.3,1.3
HII UNMANNED SYSTEMS,N0017420F0223,no,DELIVERY ORDER,2020-08-20,2020-08-20,2.0,1.3
L3HARRIS TECHNOLOGIES,JA10A199112C0064N0038388GK085,no,DELIVERY ORDER,1991-12-15,1991-12-15,0.0,1.3
L3HARRIS TECHNOLOGIES,HC090198402C0027F0470182C0041,no,DELIVERY ORDER,1984-02-15,1984-02-15,0.0,1.3
TEXTRON SYSTEMS,W56KGY18F0010,no,DELIVERY ORDER,2019-02-21,2021-04-08,1.5,1.3
TEXTRON SYSTEMS,N6833523C0263,no,DEFINITIVE CONTRACT,2024-04-10,2024-04-10,1.3,1.3
TEXTRON SYSTEMS,HDTRA107C0039,no,DEFINITIVE CONTRACT,2008-03-04,2010-06-17,1.3,1.3
HII UNMANNED SYSTEMS,N0017418F0251,no,DELIVERY ORDER,2020-09-08,2020-09-08,1.3,1.2
L3HARRIS TECHNOLOGIES,LERC0199201BNAS325860,no,PURCHASE ORDER,1992-01-15,1992-01-15,0.0,1.2
TEXTRON SYSTEMS,FA489725P0052,no,PURCHASE ORDER,2025-07-14,2025-07-14,1.2,1.2
AUSTAL USA,N5523624F8461,no,DELIVERY ORDER,2024-09-04,2024-09-04,1.2,1.2
HII UNMANNED SYSTEMS,N0017420F0393,no,DELIVERY ORDER,2020-10-22,2024-01-25,1.2,1.1
HII UNMANNED SYSTEMS,N0003919F0108,no,DELIVERY ORDER,2021-02-12,2021-02-12,1.1,1.1
TEXTRON SYSTEMS,FA481906C0004,no,DEFINITIVE CONTRACT,2009-03-27,2009-03-27,0.0,1.1
SPATIAL INTEGRATED SYSTEMS,N6833520C0245,no,DEFINITIVE CONTRACT,2023-01-11,2023-01-11,1.3,1.0
SPATIAL INTEGRATED SYSTEMS,HC102823F0130,no,DELIVERY ORDER,2023-01-12,2023-01-12,1.0,1.0
HII UNMANNED SYSTEMS,H9222210C0051,no,DEFINITIVE CONTRACT,2010-09-30,2011-05-20,1.0,1.0
L3HARRIS TECHNOLOGIES,AB070198201C8301DAAK8081C0103,no,DELIVERY ORDER,1982-01-15,1982-01-15,0.0,1.0
AUSTAL USA,N5523625F8495,no,DELIVERY ORDER,2025-08-05,2025-08-05,1.0,1.0
SPATIAL INTEGRATED SYSTEMS,HC102821F0349,no,DELIVERY ORDER,2021-09-20,2021-11-24,0.9,0.9
MARITIME APPLIED PHYSICS,N6600120C4009,no,DEFINITIVE CONTRACT,2022-03-23,2022-03-23,0.9,0.9
HII UNMANNED SYSTEMS,N0017422F0151,no,DELIVERY ORDER,2025-07-30,2025-07-30,1.6,0.9
HII UNMANNED SYSTEMS,N0017423F0129,no,DELIVERY ORDER,2024-02-05,2024-02-05,2.2,0.9
HII UNMANNED SYSTEMS,N6600117F0080,no,DELIVERY ORDER,2017-04-21,2017-04-21,0.9,0.9
HII UNMANNED SYSTEMS,N0003920F0487,no,DELIVERY ORDER,2021-02-17,2021-02-17,0.9,0.9
L3HARRIS TECHNOLOGIES,HC090198204C0033F0470178C0039,no,DELIVERY ORDER,1982-04-15,1982-04-15,0.0,0.9
L3HARRIS TECHNOLOGIES,LERC0198912DNAS325860,no,DEFINITIVE CONTRACT,1989-12-15,1989-12-15,0.0,0.9
L3HARRIS TECHNOLOGIES,MSFC0197912DNAS833687,no,DEFINITIVE CONTRACT,1979-12-15,1979-12-15,0.0,0.9
TEXTRON SYSTEMS,N6893625F0494,no,DELIVERY ORDER,2026-01-28,2026-01-28,1.0,0.9
TEXTRON SYSTEMS,N6893622F0530,no,DELIVERY ORDER,2024-01-26,2024-01-26,1.2,0.9
TEXTRON SYSTEMS,0005,no,DELIVERY ORDER,2015-12-21,2015-12-21,0.9,0.9
TEXTRON SYSTEMS,0007,no,DELIVERY ORDER,2012-09-28,2012-09-28,0.9,0.9
TEXTRON SYSTEMS,N0038318FNQ00,no,DELIVERY ORDER,2019-11-27,2019-11-27,0.9,0.9
TEXTRON SYSTEMS,NNA14AA75D,no,DELIVERY ORDER,2015-01-08,2015-01-08,0.9,0.9
TEXTRON SYSTEMS,W52P1J22C0035,no,DEFINITIVE CONTRACT,2022-07-06,2022-07-06,0.9,0.9
OCEAN AERO,N0016424PX005,no,PURCHASE ORDER,2024-06-12,2024-06-12,0.8,0.8
MARITIME APPLIED PHYSICS,N0010424CLA06,no,DEFINITIVE CONTRACT,2023-11-22,2024-11-14,0.8,0.8
MARITIME APPLIED PHYSICS,N0001410C0316,no,DEFINITIVE CONTRACT,2010-07-21,2011-08-05,1.5,0.8
SARONIC TECHNOLOGIES,HQ0845269E021,yes,OTHER TRANSACTION AGREEMENT,2025-12-19,2026-03-02,0.7,0.7
MARITIME APPLIED PHYSICS,N0010423PLA06,no,PURCHASE ORDER,2022-10-19,2024-01-25,0.7,0.7
MARITIME APPLIED PHYSICS,N0010422PLD37,no,PURCHASE ORDER,2023-08-22,2023-10-04,0.7,0.7
MARITIME APPLIED PHYSICS,W56HZV09C0042,no,DEFINITIVE CONTRACT,2011-03-01,2011-03-01,0.7,0.7
MARITIME APPLIED PHYSICS,N0002400C4083,no,DEFINITIVE CONTRACT,2000-12-22,2002-03-21,0.0,0.7
MARITIME APPLIED PHYSICS,MDA97201C0043,no,DEFINITIVE CONTRACT,2001-06-06,2001-06-06,0.0,0.7
MARITIME APPLIED PHYSICS,N0002424CS054,no,DEFINITIVE CONTRACT,2024-05-07,2024-05-07,2.0,0.7
HII UNMANNED SYSTEMS,0031,no,DELIVERY ORDER,2012-09-25,2012-09-25,1.4,0.7
HII UNMANNED SYSTEMS,0025,no,DELIVERY ORDER,2011-08-31,2011-08-31,0.7,0.7
L3HARRIS TECHNOLOGIES,0ZD11198808C2865DCA20085C0013,no,DELIVERY ORDER,1988-08-15,1988-08-15,0.0,0.7
L3HARRIS TECHNOLOGIES,D2602198403C0673N0003982C0013,no,DELIVERY ORDER,1984-03-15,1984-03-15,0.0,0.7
TEXTRON SYSTEMS,N0017825PC608,no,PURCHASE ORDER,2025-07-02,2025-08-29,0.7,0.7
TEXTRON SYSTEMS,0010,no,DELIVERY ORDER,2008-11-19,2013-09-03,0.3,0.7
TEXTRON SYSTEMS,70Z03819PR0000433,no,PURCHASE ORDER,2019-09-16,2019-09-16,0.7,0.7
TEXTRON SYSTEMS,W911QX23C0029,no,DEFINITIVE CONTRACT,2024-01-18,2025-07-01,1.2,0.7
HII UNMANNED SYSTEMS,N0017424F0129,no,DELIVERY ORDER,2024-05-31,2024-05-31,1.6,0.6
HII UNMANNED SYSTEMS,N0017422F0200,no,DELIVERY ORDER,2022-09-09,2022-09-09,2.0,0.6
HII UNMANNED SYSTEMS,N0003918F1356,no,DELIVERY ORDER,2019-08-07,2019-08-07,0.8,0.6
HII UNMANNED SYSTEMS,N6660413C0650,no,DEFINITIVE CONTRACT,2013-09-27,2013-09-27,0.6,0.6
L3HARRIS TECHNOLOGIES,0ZD04198210C0381MDA90481C0238,no,DELIVERY ORDER,1982-10-15,1982-10-15,0.0,0.6
L3HARRIS TECHNOLOGIES,YG020198907C0362F0162088D0086,no,DELIVERY ORDER,1989-07-15,1989-07-15,0.0,0.6
L3HARRIS TECHNOLOGIES,YG020199108BF0162088D0086,no,PURCHASE ORDER,1991-08-15,1991-08-15,0.0,0.6
L3HARRIS TECHNOLOGIES,YG020199005C0204F0162088D0086,no,DELIVERY ORDER,1990-05-15,1990-05-15,0.0,0.6
L3HARRIS TECHNOLOGIES,GS030199201BF2960191C0008,no,PURCHASE ORDER,1992-01-15,1992-01-15,0.0,0.6
TEXTRON SYSTEMS,N0038324FZD0B,no,DELIVERY ORDER,2024-08-28,2024-08-28,0.6,0.6
TEXTRON SYSTEMS,N0017812C1013,no,DEFINITIVE CONTRACT,2012-09-14,2012-09-14,0.6,0.6
