generated_internal_id,award_id,recipient_name,award_amount,contract_award_type,award_type_group,awarding_agency,awarding_sub_agency,funding_agency,funding_sub_agency,naics,psc,start_date,end_date,in_scope,matched_axes,matched_queries,description
CONT_AWD_W912EE22F0086_9700_W912EE19A0001_9700,W912EE22F0086,BIG RIVER SHIPBUILDERS INC,72020.07,BPA CALL,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J020', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIP AND MARINE EQUIPMENT'}",2022-08-19,2022-09-02,yes,naics:336611,naics:336611,DRY DOCK REPAIRS FOR FUEL BARGE 9701
CONT_AWD_W912ES20P0055_9700_-NONE-_-NONE-,W912ES20P0055,2E FABRICATION LLC,71600.0,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '332999', 'description': 'ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2020-06-16,2020-11-30,yes,psc:2090,psc:2090,ROLL-IN DOCKS - GALVANIZED STEEL
CONT_AWD_W912EE23F0117_9700_W912EE19A0001_9700,W912EE23F0117,BIG RIVER SHIPBUILDERS INC,71594.29,BPA CALL,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J019', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS'}",2023-08-18,2023-09-15,yes,naics:336611,naics:336611,DRY DOCK AND REPAIRS FOR USACE-MVK'S MOTOR VESSEL HARRISON AND SECURITY BARGE 322.
CONT_AWD_W9123721P0048_9700_-NONE-_-NONE-,W9123721P0048,"MCGINNIS, INC.",71590.0,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J019', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS'}",2021-04-20,2021-06-25,yes,naics:336611,naics:336611,"DRY DOCK SERVICES FOR 793/794 FOR REGIONAL RIVER REPAIR FLEET, US ARMY CORPS OF ENGINEERS"
CONT_AWD_W912P922F0175_9700_W912P922A0034_9700,W912P922F0175,JOHN FABICK TRACTOR CO,71350.0,BPA CALL,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J019', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS'}",2022-07-07,2023-05-16,yes,naics:336611,naics:336611,FY22 PATHFINDER GENSET OVERHAUL
CONT_AWD_0001_9700_W9127N15D0001_9700,0001,"DIVERSIFIED MARINE, INC.",71108.98,DELIVERY ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J019', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS'}",2015-06-02,2015-09-25,yes,naics:336611,naics:336611,IGF::OT::IGF  OVER AND ABOVE WORK FOR HAMILTONJET AND MTU MAIN ENGINE SERVICES.  SERVICING FOR VESSELS ELTON AND REDLINGER.
CONT_AWD_W912DR15P0098_9700_-NONE-_-NONE-,W912DR15P0098,THE GENERAL SHIP REPAIR CORPORATION,70974.38,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '2050', 'description': 'BUOYS'}",2015-08-20,2016-08-19,yes,naics:336611,naics:336611,IGF::OT::IGF  LINTHICUM MAINTENANCE SERVICE FOR OPERATIONS DIVISION SURVEY/DEBRIS TEAM
CONT_AWD_W9127N24P0008_9700_-NONE-_-NONE-,W9127N24P0008,IHC AMERICA INC,70896.0,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '2030', 'description': 'DECK MACHINERY'}",2024-02-06,2024-05-24,yes,naics:336611,naics:336611,RUBBER FLEX HOSE FOR YAQUINA DRAGARM
CONT_AWD_W912BU22P0036_9700_-NONE-_-NONE-,W912BU22P0036,YANK MARINE SERVICES LLC,70722.0,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J019', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS'}",2022-08-29,2023-10-12,yes,naics:336611,naics:336611,SHIPYARD OVERHAUL OF THE H.R. SPIES
CONT_AWD_W9127S18P0168_9700_-NONE-_-NONE-,W9127S18P0168,CANADY ENTERPRISES INC.,70491.75,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336612', 'description': 'BOAT BUILDING'}","{'code': '1940', 'description': 'SMALL CRAFT'}",2018-09-28,2019-02-14,yes,naics:336612; psc:1940,naics:336612; psc:1940,DIERKS LAKE - PATROL BOAT
