Parent UEI or fallback key,Display name,Total $M,Sub action count,% of total
D942LBXESNH6,VIDEO DISPLAY CORPORATION,14.72,25,0.14%
QFAKS4WUGES3,TCLAD INC,14.56,9,0.14%
RHZWB8JCWU95,"AM AND S MFG, INC.",14.53,3,0.14%
N3N5N1E2WZR8,"BARRON INDUSTRIES, INC.",14.42,3,0.14%
XWS1CAAY1SH8,"SYPRIS ELECTRONICS, LLC",14.41,4,0.14%
NUL8Z35S3LJ5,"CENTURY TOOL, INC.",14.34,140,0.14%
FAZSFFE6CST9,"GENERAL DYNAMICS ORDNANCE AND TACTICAL SYSTEMS, INC.",14.34,11,0.14%
JCBMC726D155,BOGUE SYSTEMS INC.,14.3,43,0.14%
SNP5XVVL5896,ELLWOOD NATIONAL FORGE COMPANY,14.26,3,0.14%
LR2HQKYJLDZ7,ESI ACQUISITION CORP.,14.18,64,0.14%
KLW3ZYL15493,RAYTHEON COMPANY,14.01,27,0.14%
KNEFNMWXBK39,JO-KELL INC.,13.88,85,0.14%
SKKACASET588,DYNALEC CORPORATION,13.41,136,0.13%
CVK8KJNMJL36,AI CONVOY HOLDCO LIMITED,13.2,10,0.13%
J25BBETQML24,"ADVANCED MARINE PRESERVATION, LLC",13.14,14,0.13%
CKNVB8P26F26,ALFA LAVAL INC,12.62,9,0.12%
H6DDCK12JBM7,"SIRIUS COMPUTER SOLUTIONS, INC.",12.56,61,0.12%
C1E2GZE3JAE3,"WESTERN INDUSTRIAL MACHINING, INC.",12.48,178,0.12%
UADFAUDS5Q14,STAR LAB CORP.,12.08,29,0.12%
FKFNNKJ38MG8,KYOCERA AVX COMPONENTS CORPORATION,11.93,13,0.12%
TKJ1TW2YRNL3,"MEGGITT DEFENSE SYSTEMS, INC.",11.81,22,0.12%
H4ZMPGLLZ8D9,"ARTCRAFT FABRICATORS, INC.",11.69,4,0.11%
U6JRN865H4E3,TTI INC.,11.6,37,0.11%
ZNF9TR5FKT76,"CARMIN INDUSTRIES, INC.",11.51,14,0.11%
CELUQLJ64TZ9,"MARCH ELECTRONICS, INC.",11.24,100,0.11%
CNNMP74968J4,MARTIN RESOURCE MANAGEMENT CORPORATION,11.04,15,0.11%
YVBHN7GKLQ44,"GLENAIR, INC.",11.02,58,0.11%
XBPBNLMJ3QP4,KYOCERA CORPORATION,10.97,16,0.11%
HA12C222DC59,"SKYWORKS SOLUTIONS, INC.",10.73,14,0.10%
CF35WM68N343,"RAYCO ELECTRONIC MANUFACTURING, INC.",10.61,22,0.10%
N1PJDANWUJ61,SCOT FORGE COMPANY,10.58,16,0.10%
Q6U3PVL5BND8,"N T M, INC.",10.49,57,0.10%
TCCLSQU7ZMW5,ITT ENIDINE INC.,10.42,26,0.10%
GXAYGRWJPQK6,"DUCOMMUN LABARGE TECHNOLOGIES, INC.",10.24,1,0.10%
VBRHLB2HLEM4,CECO ENVIRONMENTAL CORP,10.22,12,0.10%
QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",9.97,28,0.10%
K1K5EKJ2KK29,RHINESTAHL CORPORATION,9.76,44,0.10%
SQRKBV7ET8S9,ALFA LAVAL INC.,9.69,17,0.09%
HNBVLFD51NM9,"MTK ELECTRONICS, INC.",9.67,52,0.09%
J8WCYWJQKJE9,"AVNET, INC.",9.65,85,0.09%
LGL1LNBH8KM5,"GRISWOLD INDUSTRIES, CO.",9.45,76,0.09%
SFBKKM3ZYN48,FILTRATION GROUP CORPORATION,9.28,27,0.09%
MX63C2VRKCJ6,HOUDSTERMAATSCHAPPIJ WILG B.V.,9.16,41,0.09%
DQ35GXAUTW61,"INDUSTRIAL CORROSION CONTROL, INC.",9.11,29,0.09%
DPRHABDR4A45,"ATESSA, INC",9.08,9,0.09%
ZA1KMNAJMVT3,SURFACE TECHNOLOGIES CORPORATION,8.9,35,0.09%
UXVTFYJT5PN7,"MARWAY POWER SYSTEMS, INC.",8.83,5,0.09%
ZVFUENFF77T1,"HUTCHINSON AEROSPACE & INDUSTRY, INC.",8.8,11,0.09%
E57FS3E4CQ19,DRS NAVAL POWER SYSTEMS INC,8.75,13,0.09%
EVZMB1757DW5,"STEELFAB, INC.",8.7,1,0.08%
MC77SUMRLXY5,"MILWAUKEE VALVE COMPANY, INC.",8.63,68,0.08%
HWLGUR28KMS6,APPLETON MARINE INC,8.62,13,0.08%
KLDTZDR12ZB7,JUNIPER ELBOW CO. INC.,8.61,46,0.08%
X4UMAJJTMS97,"GERMANE SYSTEMS, LC",8.53,3,0.08%
SRYMAMZMUVC8,ITRON CORPORATION (DEL),8.51,19,0.08%
SL6NLJ9UC1Y3,FALSTROM COMPANY,8.29,4,0.08%
D57NSHMC6Z47,"HUTCHINSON MANUFACTURING, INC.",8.29,35,0.08%
GV95CCPKRQX1,"FEDTECH, INC.",8.22,93,0.08%
JJMSRWKWWQ87,NIBCO INC.,8.21,36,0.08%
UWTUDYBNL9D9,CEC COMPUTING INC,8.2,37,0.08%
C7QHHMJEALN1,"MONROE CABLE COMPANY, INC., THE",8.13,2,0.08%
FWF8QBPCGLG3,GENERAL TOOL COMPANY,7.92,23,0.08%
MBJ8ANU347W7,EATON CORPORATION PUBLIC LIMITED COMPANY,7.87,34,0.08%
C8RHMP5H2FR7,"PNY TECHNOLOGIES, INC.",7.84,8,0.08%
CMGLLVFSFYL3,"HYBRID SOURCES, INC.",7.83,14,0.08%
PDZ9LHNSJXN4,YYK ENTERPRISES OPERATIONS LLC,7.7,3,0.08%
XPM8X8SF8Y68,QUALITY PACIFIC MANUFACTURING INC.,7.55,13,0.07%
KS1DHJKB2V54,SIGNATURE AVIATION PLC,7.53,7,0.07%
Z6Q7SVHPK8P5,"BORG DESIGN, INC.",7.42,7,0.07%
LRNPUBGWKNA1,PORT ELECTRONICS CORPORATION,7.38,34,0.07%
SMLSDML8NKE4,ELECTROMET CORPORATION,7.32,15,0.07%
MM1NRCJ1YZL3,MACKAY CONSOLIDATED INDUSTRIES PTY. LIMITED,7.24,12,0.07%
EV4ZGUNNKMJ6,"PACIFIC SHIP REPAIR & FABRICATION, INC.",7.19,39,0.07%
JQ22KVJNANT9,"SAFRAN POWER USA, LLC",7.06,16,0.07%
WNDYZX3ALFB1,"COMARK, LLC",6.98,12,0.07%
G3KMHX33NMQ8,CARTRIDGE ACTUATED DEVICES INC,6.89,7,0.07%
JBMKQ8ZH6FN9,"DOVER PUMPS & PROCESS SOLUTIONS SEGMENT, INC.",6.74,32,0.07%
W3JAYMPSP864,"REMTEC, INCORPORATED",6.65,9,0.06%
N8XXNTTKKU55,"ARROW ELECTRONICS, INC.",6.65,50,0.06%
KQJTYTVTATY8,"NORTH ATLANTIC INDUSTRIES, INC.",6.63,13,0.06%
NECUC7NJ1UZ5,"AJ'S POWER SOURCE, INC.",6.61,13,0.06%
CDYFHMTAZWN9,"AYON CYBERSECURITY, INC.",6.53,6,0.06%
CK4FF75JLQS8,ELECTRO SWITCH BUSINESS TRUST,6.51,41,0.06%
KZA5CX3J8KE8,CARLYLE HOLDING CORP,6.4,34,0.06%
PJRYS7EFXQD9,"B.N.L. INDUSTRIES, INC.",6.26,52,0.06%
YND8DQMYF5L6,SYSTEMS ENGINEERING & MANAGEMENT COMPANY,6.24,15,0.06%
FSCFKJMXU1X8,API TECHNOLOGIES CORP.,6.23,16,0.06%
UNBUG7BAWZL3,DANTE VALVE COMPANY INC,6.11,56,0.06%
HTHFAYHMJWT4,"HEILIND ELECTRONICS, INC",6.0,71,0.06%
MDTGPS4LMMR5,NCS TECHNOLOGIES INC,5.97,3,0.06%
X99SLLWX4NV1,THE HELLAN STRAINER CO,5.96,25,0.06%
UR1EVYZH84D5,"ARC TECHNOLOGY SOLUTIONS, LLC",5.95,7,0.06%
DTCND1MN7J15,ASPEQ HEATING GROUP LLC,5.94,30,0.06%
C6JLNHMRYZ84,"TTM TECHNOLOGIES, INC.",5.94,6,0.06%
QEHMNH93DYH6,"INNOVATIVE DEFENSE TECHNOLOGIES, LLC",5.93,20,0.06%
J13LTHC2FKL5,AI CONVOY & CY S.C.A.,5.84,3,0.06%
VCFNC31LV829,CRANE PUMPS & SYSTEMS PFT CORP,5.81,39,0.06%
FW6HSJUX1JK9,"DIVERSIFIED MACHINING, INC.",5.7,42,0.06%
XJTAAHL58NB6,"EASTERN SHIPBUILDING GROUP, INC.",5.65,3,0.06%
HRWVLG2TBLM3,BLACK & VEATCH SPECIAL PROJECTS CORP.,5.59,12,0.05%
VYX7EB53JLK5,KEY TRONIC CORPORATION,5.59,33,0.05%
